,Unnamed: 0_x,year,rank_x,player_name,rounds_x,distance_avg,total_distance,total_drives,Unnamed: 0_y,rank_y,rounds_y,sg_putting_avg,sg_putting_total,measured_rounds
4454,4454,2004,"
        1","
Hank Kuehne
",91,314.4,55959,178,100.0,"
        101",91.0,0.024,2.05,84.0
4455,4455,2004,"
        2","
Scott Hend
",81,312.6,49389,158,166.0,"
        167",81.0,-0.268,-18.774,70.0
4456,4456,2004,"
        3","
John Daly
",79,306.0,48347,158,87.0,"
        88",79.0,0.095,6.385,67.0
4457,4457,2004,"
        4","
Mike Heinen
",53,305.2,32351,106,70.0,"
        71",53.0,0.16,8.18,51.0
4458,4458,2004,"
        5","
Chris Smith
",105,304.0,63533,209,171.0,"
        172",105.0,-0.282,-26.23,93.0
4459,4459,2004,"
        6","
Lucas Glover
",95,303.4,55212,182,173.0,"
        T174",95.0,-0.312,-26.168000000000003,84.0
4460,4460,2004,"
        7","
Geoff Ogilvy
",91,303.3,52776,174,43.0,"
        44",91.0,0.264,20.034000000000002,76.0
4461,4461,2004,"
        8","
Chris Couch
",55,302.1,33230,110,132.0,"
        T133",55.0,-0.10400000000000001,-4.788,46.0
4462,4462,2004,"
        9","
Tiger Woods
",78,301.9,43476,144,0.0,"
        1",78.0,0.853,46.067,54.0
4463,4463,2004,"
        10","
J.J. Henry
",103,301.3,61762,205,89.0,"
        90",103.0,0.063,5.702000000000001,91.0
4464,4464,2004,"
        11","
Steve Allan
",102,301.2,59631,198,146.0,"
        T147",102.0,-0.147,-12.929,88.0
4465,4465,2004,"
        12","
Tag Ridings
",53,301.0,30103,100,27.0,"
        28",53.0,0.32899999999999996,14.785,45.0
4466,4466,2004,"
        13","
Vijay Singh
",112,300.8,66184,220,128.0,"
        129",112.0,-0.08900000000000001,-7.937,89.0
4467,4467,2004,"
        T14","
Davis Love III
",85,300.1,45012,150,65.0,"
        66",85.0,0.18100000000000002,11.015999999999998,61.0
4468,4468,2004,"
        T14","
Dennis Paulson
",71,300.1,42613,142,74.0,"
        T74",71.0,0.15,9.883,66.0
4469,4469,2004,"
        16","
Kris Cox
",73,299.1,42475,142,133.0,"
        T133",73.0,-0.10400000000000001,-6.371,61.0
4470,4470,2004,"
        17","
Brenden Pappas
",111,298.9,64570,216,29.0,"
        30",111.0,0.322,31.836,99.0
4471,4471,2004,"
        18","
Harrison Frazar
",86,298.8,48995,164,37.0,"
        38",86.0,0.27699999999999997,19.662,71.0
4472,4472,2004,"
        19","
Ernie Els
",62,298.0,34569,116,77.0,"
        78",62.0,0.124,5.075,41.0
4473,4473,2004,"
        20","
Andre Stolz
",53,297.9,31574,106,164.0,"
        165",53.0,-0.24600000000000002,-11.785,48.0
4474,4474,2004,"
        21","
Roger Tambellini
",81,297.8,46450,156,170.0,"
        T170",81.0,-0.281,-19.692,70.0
4475,4475,2004,"
        22","
Rich Beem
",81,296.7,45696,154,185.0,"
        T186",81.0,-0.43799999999999994,-26.701,61.0
4476,4476,2004,"
        23","
John Senden
",99,296.6,56950,192,130.0,"
        131",99.0,-0.09699999999999999,-8.329,86.0
4477,4477,2004,"
        24","
Tom Carter
",113,296.5,65234,220,45.0,"
        46",113.0,0.254,24.351,96.0
4478,4478,2004,"
        25","
Dan Olsen
",75,296.0,43213,146,69.0,"
        70",75.0,0.163,10.615,65.0
4479,4479,2004,"
        T26","
Daniel Chopra
",108,295.9,62721,212,73.0,"
        T74",108.0,0.15,13.779000000000002,92.0
4480,4480,2004,"
        T26","
Kenny Perry
",79,295.9,44979,152,120.0,"
        121",79.0,-0.069,-4.284,62.0
4481,4481,2004,"
        28","
Jonathan Byrd
",85,295.8,49102,166,46.0,"
        T47",85.0,0.252,18.377,73.0
4482,4482,2004,"
        29","
Ryan Palmer
",103,295.6,59125,200,125.0,"
        126",103.0,-0.08199999999999999,-7.375,90.0
4483,4483,2004,"
        T30","
Phil Mickelson
",83,295.4,46670,158,127.0,"
        128",83.0,-0.087,-4.713,54.0
4484,4484,2004,"
        T30","
Adam Scott
",55,295.4,30723,104,1.0,"
        2",55.0,0.8240000000000001,32.95,40.0
4485,4485,2004,"
        32","
Deane Pappas
",72,295.3,41344,140,101.0,"
        102",72.0,0.021,1.33,64.0
4486,4486,2004,"
        33","
Sergio Garcia
",65,295.1,37778,128,191.0,"
        192",65.0,-0.573,-28.638,50.0
4487,4487,2004,"
        34","
Robert Allenby
",93,294.9,51894,176,165.0,"
        166",93.0,-0.267,-19.243,72.0
4488,4488,2004,"
        35","
Fred Couples
",54,294.5,30628,104,184.0,"
        185",54.0,-0.43700000000000006,-19.241,44.0
4489,4489,2004,"
        36","
Bo Van Pelt
",107,294.4,61243,208,26.0,"
        27",107.0,0.34600000000000003,28.331,82.0
4490,4490,2004,"
        37","
Brett Quigley
",102,294.3,57675,196,58.0,"
        59",102.0,0.205,18.03,88.0
4491,4491,2004,"
        38","
Retief Goosen
",56,294.2,32364,110,53.0,"
        T53",56.0,0.222,8.876,40.0
4492,4492,2004,"
        39","
Scott McCarron
",88,294.1,50581,172,42.0,"
        43",88.0,0.26899999999999996,20.167,75.0
4493,4493,2004,"
        40","
Tim Herron
",84,293.8,48775,166,80.0,"
        81",84.0,0.12,7.915,66.0
4494,4494,2004,"
        41","
Jason Bohn
",98,293.3,55725,190,157.0,"
        158",98.0,-0.205,-18.043,88.0
4495,4495,2004,"
        42","
Stuart Appleby
",84,293.2,45741,156,83.0,"
        84",84.0,0.107,6.327000000000001,59.0
4496,4496,2004,"
        T43","
Rich Barcelo
",67,293.1,38105,130,123.0,"
        T124",67.0,-0.08,-4.71,59.0
4497,4497,2004,"
        T43","
Roland Thatcher
",66,293.1,38683,132,188.0,"
        189",66.0,-0.511,-31.19,61.0
4498,4498,2004,"
        45","
Hunter Mahan
",94,293.0,55091,188,36.0,"
        37",94.0,0.28,23.279,83.0
4499,4499,2004,"
        46","
Vaughn Taylor
",84,292.5,47975,164,179.0,"
        180",84.0,-0.387,-29.798000000000002,77.0
4500,4500,2004,"
        47","
Brian Kortan
",65,292.4,36253,124,64.0,"
        65",65.0,0.183,10.434000000000001,57.0
4501,4501,2004,"
        T48","
Brian Bateman
",84,292.2,46744,160,22.0,"
        23",84.0,0.364,26.553,73.0
4502,4502,2004,"
        T48","
Rory Sabbatini
",89,292.2,50252,172,61.0,"
        62",89.0,0.193,14.247,74.0
4503,4503,2004,"
        T50","
Mathias Grönberg
",91,292.1,50833,174,144.0,"
        T145",91.0,-0.145,-10.758,74.0
4504,4504,2004,"
        T50","
Rod Pampling
",98,292.1,54918,188,103.0,"
        T103",98.0,0.018000000000000002,1.38,78.0
4505,4505,2004,"
        52","
Neal Lancaster
",106,291.6,59773,205,107.0,"
        T107",106.0,-0.016,-1.4480000000000002,93.0
4506,4506,2004,"
        53","
Joey Sindelar
",100,291.5,57125,196,168.0,"
        169",100.0,-0.272,-24.212,89.0
4507,4507,2004,"
        T54","
Peter Lonard
",68,291.4,38461,132,187.0,"
        188",68.0,-0.502,-27.096,54.0
4508,4508,2004,"
        T54","
Pat Perez
",102,291.4,58278,200,162.0,"
        163",102.0,-0.24100000000000002,-20.691999999999997,86.0
4509,4509,2004,"
        T56","
Woody Austin
",94,291.3,54755,188,190.0,"
        191",94.0,-0.527,-43.705,83.0
4510,4510,2004,"
        T56","
Mark Calcavecchia
",79,291.3,45441,156,136.0,"
        137",79.0,-0.125,-7.519,60.0
4511,4511,2004,"
        T56","
Brent Geiberger
",94,291.3,53021,182,12.0,"
        13",94.0,0.512,43.034,84.0
4512,4512,2004,"
        59","
Cameron Beckman
",99,291.2,55914,192,102.0,"
        T103",99.0,0.018000000000000002,1.534,87.0
4513,4513,2004,"
        60","
Michael Allen
",87,291.1,49484,170,57.0,"
        58",87.0,0.20800000000000002,16.02,77.0
4514,4514,2004,"
        61","
Craig Barlow
",80,291.0,45401,156,176.0,"
        177",80.0,-0.344,-23.726,69.0
4515,4515,2004,"
        T62","
Jeff Brehaut
",106,290.9,60509,208,163.0,"
        164",106.0,-0.242,-22.74,94.0
4516,4516,2004,"
        T62","
Jonathan Kaye
",79,290.9,44212,152,167.0,"
        168",79.0,-0.26899999999999996,-16.697,62.0
4517,4517,2004,"
        64","
Carl Pettersson
",100,290.8,56417,194,48.0,"
        49",100.0,0.247,19.509,79.0
4518,4518,2004,"
        T65","
D.J. Brigman
",79,290.7,44188,152,158.0,"
        159",79.0,-0.213,-14.681,69.0
4519,4519,2004,"
        T65","
Jason Dufner
",79,290.7,45931,158,121.0,"
        122",79.0,-0.07400000000000001,-5.353,72.0
4520,4520,2004,"
        T65","
Kevin Muncrief
",50,290.7,29065,100,194.0,"
        195",50.0,-0.8240000000000001,-37.080999999999996,45.0
4521,4521,2004,"
        T65","
Justin Rose
",77,290.7,41866,144,161.0,"
        162",77.0,-0.231,-14.543,63.0
4522,4522,2004,"
        69","
Carlos Franco
",99,290.6,57539,198,139.0,"
        140",99.0,-0.134,-12.075999999999999,90.0
4523,4523,2004,"
        T70","
Tommy Armour III
",87,290.5,50540,174,129.0,"
        130",87.0,-0.09,-6.843,76.0
4524,4524,2004,"
        T70","
Stewart Cink
",103,290.5,56361,194,2.0,"
        3",103.0,0.6829999999999999,53.928000000000004,79.0
4525,4525,2004,"
        72","
Patrick Sheehan
",113,290.3,64444,222,17.0,"
        18",113.0,0.439,43.913999999999994,100.0
4526,4526,2004,"
        T73","
Arjun Atwal
",85,289.4,48033,166,111.0,"
        112",85.0,-0.034,-2.537,75.0
4527,4527,2004,"
        T73","
Briny Baird
",100,289.4,56153,194,150.0,"
        151",100.0,-0.16699999999999998,-13.505,81.0
4528,4528,2004,"
        T73","
Craig Perks
",75,289.4,41677,144,147.0,"
        T147",75.0,-0.147,-9.289,63.0
4529,4529,2004,"
        76","
Ted Purdy
",114,289.2,64778,224,118.0,"
        119",114.0,-0.057999999999999996,-5.96,103.0
4530,4530,2004,"
        77","
Niclas Fasth
",61,289.1,34694,120,177.0,"
        178",61.0,-0.35700000000000004,-18.581,52.0
4531,4531,2004,"
        78","
Darren Clarke
",54,289.0,27740,96,14.0,"
        15",54.0,0.467,16.343,35.0
4532,4532,2004,"
        T79","
Jay Delsing
",76,288.8,42170,146,85.0,"
        T85",76.0,0.106,6.752000000000001,64.0
4533,4533,2004,"
        T79","
Steve Lowery
",91,288.8,51411,178,148.0,"
        149",91.0,-0.16,-11.827,74.0
4534,4534,2004,"
        T79","
Joe Ogilvie
",104,288.8,58908,204,67.0,"
        68",104.0,0.177,15.052,85.0
4535,4535,2004,"
        82","
Charles Howell III
",104,288.5,58273,202,104.0,"
        105",104.0,0.002,0.14300000000000002,76.0
4536,4536,2004,"
        T83","
J.L. Lewis
",106,288.3,61122,212,152.0,"
        153",106.0,-0.184,-16.377,89.0
4537,4537,2004,"
        T83","
Grant Waite
",79,288.3,44394,154,178.0,"
        179",79.0,-0.366,-24.879,68.0
4538,4538,2004,"
        T85","
Robert Gamez
",103,288.1,59348,206,126.0,"
        127",103.0,-0.084,-7.542000000000001,90.0
4539,4539,2004,"
        T85","
Jay Williamson
",100,288.1,56176,195,138.0,"
        T138",100.0,-0.128,-11.561,90.0
4540,4540,2004,"
        T87","
Aaron Baddeley
",87,288.0,48967,170,6.0,"
        7",87.0,0.579,43.993,76.0
4541,4541,2004,"
        T87","
Chad Campbell
",100,288.0,53573,186,153.0,"
        T154",100.0,-0.18600000000000003,-14.339,77.0
4542,4542,2004,"
        T89","
Stephen Ames
",97,287.9,54694,190,18.0,"
        19",97.0,0.43799999999999994,35.078,80.0
4543,4543,2004,"
        T89","
Freddie Jacobson
",83,287.9,46060,160,9.0,"
        10",83.0,0.531,33.427,63.0
4544,4544,2004,"
        T89","
Jesper Parnevik
",86,287.9,49520,172,10.0,"
        11",86.0,0.522,38.607,74.0
4545,4545,2004,"
        92","
Tommy Tolles
",67,287.8,38563,134,25.0,"
        26",67.0,0.35100000000000003,21.385,61.0
4546,4546,2004,"
        93","
Shaun Micheel
",93,287.5,52323,182,82.0,"
        83",93.0,0.109,7.632999999999999,70.0
4547,4547,2004,"
        T94","
Greg Chalmers
",70,287.3,40227,140,3.0,"
        4",70.0,0.6509999999999999,42.29,65.0
4548,4548,2004,"
        T94","
Matt Kuchar
",83,287.3,47699,166,96.0,"
        97",83.0,0.028999999999999998,2.2159999999999997,77.0
4549,4549,2004,"
        T94","
Frank Lickliter II
",89,287.3,49423,172,39.0,"
        T40",89.0,0.271,21.12,78.0
4550,4550,2004,"
        T97","
Joe Durant
",85,287.2,48829,170,183.0,"
        184",85.0,-0.426,-32.344,76.0
4551,4551,2004,"
        T97","
Tom Lehman
",70,287.2,37906,132,156.0,"
        157",70.0,-0.201,-11.639000000000001,58.0
4552,4552,2004,"
        T97","
Tim Petrovic
",111,287.2,61455,214,32.0,"
        33",111.0,0.315,27.401999999999997,87.0
4553,4553,2004,"
        100","
Steve Elkington
",64,287.1,35025,122,115.0,"
        T116",64.0,-0.052000000000000005,-2.928,56.0
4554,4554,2004,"
        T101","
Danny Ellis
",81,286.7,44158,154,59.0,"
        60",81.0,0.204,14.095999999999998,69.0
4555,4555,2004,"
        T101","
John Rollins
",90,286.7,48740,170,71.0,"
        72",90.0,0.159,11.456,72.0
4556,4556,2004,"
        T103","
John Huston
",62,286.4,32081,112,193.0,"
        194",62.0,-0.6829999999999999,-30.724,45.0
4557,4557,2004,"
        T103","
Kent Jones
",99,286.4,55560,194,99.0,"
        100",99.0,0.026000000000000002,2.271,87.0
4558,4558,2004,"
        105","
Kevin Sutherland
",86,286.3,46383,162,112.0,"
        113",86.0,-0.045,-3.032,67.0
4559,4559,2004,"
        106","
Tripp Isenhour
",55,286.2,30332,106,145.0,"
        T145",55.0,-0.145,-6.825,47.0
4560,4560,2004,"
        T107","
Glen Day
",101,286.1,56654,198,47.0,"
        T47",101.0,0.252,22.191,88.0
4561,4561,2004,"
        T107","
Lee Janzen
",84,286.1,46627,163,175.0,"
        176",84.0,-0.319,-22.32,70.0
4562,4562,2004,"
        109","
Tom Pernice Jr.
",103,286.0,56626,198,93.0,"
        94",103.0,0.04,3.4189999999999996,86.0
4563,4563,2004,"
        T110","
Notah Begay III
",71,285.8,38293,134,155.0,"
        156",71.0,-0.195,-12.279000000000002,63.0
4564,4564,2004,"
        T110","
David Branshaw
",84,285.8,46878,164,159.0,"
        160",84.0,-0.225,-16.208,72.0
4565,4565,2004,"
        T110","
Alex Cejka
",76,285.8,40009,140,105.0,"
        106",76.0,-0.006,-0.36,57.0
