,Unnamed: 0_x,year,rank_x,player_name,rounds_x,distance_avg,total_distance,total_drives,Unnamed: 0_y,rank_y,rounds_y,average,total_sg_T,total_sg_T2G,total_sg_P,measured_rounds
0,4454,2004,"
        1","
Hank Kuehne
",91,314.4,55959,178,131.0,"
        132",91.0,-0.068,-5.737,-7.787999999999999,2.05,84.0
1,4455,2004,"
        2","
Scott Hend
",81,312.6,49389,158,151.0,"
        152",81.0,-0.261,-18.294,0.48200000000000004,-18.774,70.0
2,4456,2004,"
        3","
John Daly
",79,306.0,48347,158,31.0,"
        32",79.0,0.8029999999999999,53.831,47.445,6.385,67.0
3,4457,2004,"
        4","
Mike Heinen
",53,305.2,32351,106,161.0,"
        162",53.0,-0.344,-17.54,-25.721,8.18,51.0
4,4458,2004,"
        5","
Chris Smith
",105,304.0,63533,209,138.0,"
        139",105.0,-0.10400000000000001,-9.681000000000001,16.545,-26.23,93.0
5,4459,2004,"
        6","
Lucas Glover
",95,303.4,55212,182,132.0,"
        133",95.0,-0.069,-5.787000000000001,20.384,-26.168000000000003,84.0
6,4460,2004,"
        7","
Geoff Ogilvy
",91,303.3,52776,174,37.0,"
        38",91.0,0.6409999999999999,48.725,28.691,20.034000000000002,76.0
7,4461,2004,"
        8","
Chris Couch
",55,302.1,33230,110,194.0,"
        195",55.0,-2.237,-102.891,-98.103,-4.788,46.0
8,4462,2004,"
        9","
Tiger Woods
",78,301.9,43476,144,0.0,"
        1",78.0,2.3819999999999997,128.654,82.583,46.067,54.0
9,4463,2004,"
        10","
J.J. Henry
",103,301.3,61762,205,53.0,"
        54",103.0,0.52,47.338,41.636,5.702000000000001,91.0
10,4464,2004,"
        11","
Steve Allan
",102,301.2,59631,198,128.0,"
        129",102.0,-0.046,-4.02,8.908999999999999,-12.929,88.0
11,4465,2004,"
        12","
Tag Ridings
",53,301.0,30103,100,110.0,"
        111",53.0,0.126,5.664,-9.122,14.785,45.0
12,4466,2004,"
        13","
Vijay Singh
",112,300.8,66184,220,1.0,"
        2",112.0,2.25,200.22099999999998,208.158,-7.937,89.0
13,4467,2004,"
        T14","
Davis Love III
",85,300.1,45012,150,19.0,"
        20",85.0,1.0590000000000002,64.626,53.606,11.015999999999998,61.0
14,4468,2004,"
        T14","
Dennis Paulson
",71,300.1,42613,142,44.0,"
        45",71.0,0.5770000000000001,38.105,28.219,9.883,66.0
