,year,player_name,distance_avg,average,bin
0,2004,"
Hank Kuehne
",314.4,-0.068,29
1,2004,"
Scott Hend
",312.6,-0.261,28
2,2004,"
John Daly
",306.0,0.8029999999999999,25
3,2004,"
Mike Heinen
",305.2,-0.344,24
4,2004,"
Chris Smith
",304.0,-0.10400000000000001,24
5,2004,"
Lucas Glover
",303.4,-0.069,23
6,2004,"
Geoff Ogilvy
",303.3,0.6409999999999999,23
7,2004,"
Chris Couch
",302.1,-2.237,23
8,2004,"
Tiger Woods
",301.9,2.3819999999999997,22
9,2004,"
J.J. Henry
",301.3,0.52,22
10,2004,"
Steve Allan
",301.2,-0.046,22
11,2004,"
Tag Ridings
",301.0,0.126,22
12,2004,"
Vijay Singh
",300.8,2.25,22
13,2004,"
Davis Love III
",300.1,1.0590000000000002,22
14,2004,"
Dennis Paulson
",300.1,0.5770000000000001,22
15,2004,"
Kris Cox
",299.1,-0.674,21
16,2004,"
Brenden Pappas
",298.9,-0.11199999999999999,21
17,2004,"
Harrison Frazar
",298.8,0.489,21
18,2004,"
Ernie Els
",298.0,1.899,21
19,2004,"
Andre Stolz
",297.9,-1.247,20
20,2004,"
Roger Tambellini
",297.8,-0.41600000000000004,20
21,2004,"
Rich Beem
",296.7,-0.16,20
22,2004,"
John Senden
",296.6,0.342,20
23,2004,"
Tom Carter
",296.5,-0.426,20
24,2004,"
Dan Olsen
",296.0,-0.9740000000000001,20
25,2004,"
Daniel Chopra
",295.9,0.195,19
26,2004,"
Kenny Perry
",295.9,1.157,19
27,2004,"
Jonathan Byrd
",295.8,0.37799999999999995,19
28,2004,"
Ryan Palmer
",295.6,0.09699999999999999,19
29,2004,"
Phil Mickelson
",295.4,1.324,19
30,2004,"
Adam Scott
",295.4,1.4269999999999998,19
31,2004,"
Deane Pappas
",295.3,-0.29,19
32,2004,"
Sergio Garcia
",295.1,1.3359999999999999,19
33,2004,"
Robert Allenby
",294.9,0.733,19
34,2004,"
Fred Couples
",294.5,0.599,19
35,2004,"
Bo Van Pelt
",294.4,1.146,19
36,2004,"
Brett Quigley
",294.3,0.401,19
37,2004,"
Retief Goosen
",294.2,1.419,19
38,2004,"
Scott McCarron
",294.1,0.266,19
39,2004,"
Tim Herron
",293.8,0.738,18
40,2004,"
Jason Bohn
",293.3,0.132,18
41,2004,"
Stuart Appleby
",293.2,0.9740000000000001,18
42,2004,"
Rich Barcelo
",293.1,-0.43799999999999994,18
43,2004,"
Roland Thatcher
",293.1,-0.43200000000000005,18
44,2004,"
Hunter Mahan
",293.0,0.08900000000000001,18
