,Unnamed: 0,year,rank_x,player_name,rounds_x,distance_avg,total_distance_x,total_drives,rank_y,rounds_y,avg_drive,total_distance_y,num_drives
0,0.0,1980,"
        1","
Dan Pohl
",96.0,274.3,51839.0,189.0,,,,,
1,1.0,1980,"
        2","
Buddy Gardner
",108.0,272.9,58138.0,213.0,,,,,
2,2.0,1980,"
        3","
Fuzzy Zoeller
",80.0,271.5,43167.0,159.0,,,,,
3,3.0,1980,"
        T4","
Joe Hager
",73.0,270.4,38932.0,144.0,,,,,
4,4.0,1980,"
        T4","
Tommy Valentine
",74.0,270.4,39745.0,147.0,,,,,
5,5.0,1980,"
        6","
J.C. Snead
",113.0,270.3,58115.0,215.0,,,,,
6,6.0,1980,"
        7","
Dana Quigley
",84.0,269.7,44774.0,166.0,,,,,
7,7.0,1980,"
        8","
Tom Purtzer
",93.0,269.4,49025.0,182.0,,,,,
8,8.0,1980,"
        9","
Tom Weiskopf
",88.0,269.1,46015.0,171.0,,,,,
9,9.0,1980,"
        10","
Jack Nicklaus
",49.0,269.0,26091.0,97.0,,,,,
10,10.0,1980,"
        11","
Stanton Altgelt
",68.0,268.5,36245.0,135.0,,,,,
11,11.0,1980,"
        12","
Barney Thompson
",54.0,268.2,28970.0,108.0,,,,,
12,12.0,1980,"
        13","
Jim Thorpe
",80.0,268.0,42617.0,159.0,,,,,
13,13.0,1980,"
        14","
Ed Dougherty
",62.0,267.9,32684.0,122.0,,,,,
14,14.0,1980,"
        15","
Keith Fergus
",91.0,267.5,47890.0,179.0,,,,,
15,15.0,1980,"
        T16","
Jim Dent
",64.0,267.3,33410.0,125.0,,,,,
16,16.0,1980,"
        T16","
Peter Jacobsen
",102.0,267.3,51047.0,191.0,,,,,
17,17.0,1980,"
        18","
Mike White
",51.0,267.0,26437.0,99.0,,,,,
18,18.0,1980,"
        19","
Mick Soli
",53.0,266.8,27751.0,104.0,,,,,
19,19.0,1980,"
        20","
Lon Hinkle
",78.0,266.5,40775.0,153.0,,,,,
20,20.0,1980,"
        21","
Bill Sander
",66.0,266.3,34351.0,129.0,,,,,
21,21.0,1980,"
        22","
Bruce Lietzke
",87.0,266.2,44996.0,169.0,,,,,
22,22.0,1980,"
        23","
Craig Stadler
",91.0,266.1,47105.0,177.0,,,,,
23,23.0,1980,"
        T24","
Bill Calfee
",90.0,266.0,46808.0,176.0,,,,,
