,Unnamed: 0_x,year,rank_x,player_name,rounds_x,average,total_sg_T,total_sg_T2G,total_sg_P,measured_rounds_x,Unnamed: 0_y,rank_y,rounds_y,sg_putting_avg,sg_putting_total,measured_rounds_y
0,0,2004,"
        1","
Tiger Woods
",78,2.3819999999999997,128.654,82.583,46.067,54,0.0,"
        1",78.0,0.853,46.067,54.0
1,1,2004,"
        2","
Vijay Singh
",112,2.25,200.22099999999998,208.158,-7.937,89,128.0,"
        129",112.0,-0.08900000000000001,-7.937,89.0
2,2,2004,"
        3","
Ernie Els
",62,1.899,77.876,72.798,5.075,41,77.0,"
        78",62.0,0.124,5.075,41.0
3,3,2004,"
        4","
Stewart Cink
",103,1.655,130.779,76.847,53.928000000000004,79,2.0,"
        3",103.0,0.6829999999999999,53.928000000000004,79.0
4,4,2004,"
        5","
Scott Verplank
",92,1.49,101.32799999999999,86.663,14.665,68,56.0,"
        57",92.0,0.21600000000000003,14.665,68.0
5,5,2004,"
        6","
Adam Scott
",55,1.4269999999999998,57.077,24.124000000000002,32.95,40,1.0,"
        2",55.0,0.8240000000000001,32.95,40.0
6,6,2004,"
        7","
Retief Goosen
",56,1.419,56.74100000000001,47.863,8.876,40,53.0,"
        T53",56.0,0.222,8.876,40.0
7,7,2004,"
        8","
Sergio Garcia
",65,1.3359999999999999,66.78699999999999,95.42299999999999,-28.638,50,191.0,"
        192",65.0,-0.573,-28.638,50.0
8,8,2004,"
        9","
Phil Mickelson
",83,1.324,71.477,76.187,-4.713,54,127.0,"
        128",83.0,-0.087,-4.713,54.0
9,9,2004,"
        10","
Stephen Ames
",97,1.29,103.165,68.085,35.078,80,18.0,"
        19",97.0,0.43799999999999994,35.078,80.0
10,10,2004,"
        11","
Jay Haas
",84,1.261,76.895,75.217,1.676,61,98.0,"
        99",84.0,0.027000000000000003,1.676,61.0
11,11,2004,"
        12","
Zach Johnson
",109,1.206,107.35799999999999,55.974,51.383,89,7.0,"
        8",109.0,0.5770000000000001,51.383,89.0
12,12,2004,"
        13","
Jerry Kelly
",113,1.202,105.79700000000001,83.336,22.461,88,44.0,"
        45",113.0,0.255,22.461,88.0
13,13,2004,"
        14","
Kenny Perry
",79,1.157,71.705,75.987,-4.284,62,120.0,"
        121",79.0,-0.069,-4.284,62.0
14,14,2004,"
        15","
Rory Sabbatini
",89,1.1540000000000001,85.367,71.118,14.247,74,61.0,"
        62",89.0,0.193,14.247,74.0
15,15,2004,"
        16","
Bo Van Pelt
",107,1.146,93.949,65.62,28.331,82,26.0,"
        27",107.0,0.34600000000000003,28.331,82.0
16,16,2004,"
        17","
Luke Donald
",72,1.078,66.814,54.456,12.357999999999999,62,60.0,"
        61",72.0,0.19899999999999998,12.357999999999999,62.0
17,17,2004,"
        18","
Justin Rose
",77,1.065,67.125,81.667,-14.543,63,161.0,"
        162",77.0,-0.231,-14.543,63.0
18,18,2004,"
        19","
Chris DiMarco
",105,1.063,81.82600000000001,72.536,9.291,77,79.0,"
        80",105.0,0.121,9.291,77.0
19,19,2004,"
        20","
Davis Love III
",85,1.0590000000000002,64.626,53.606,11.015999999999998,61,65.0,"
        66",85.0,0.18100000000000002,11.015999999999998,61.0
20,20,2004,"
        21","
Shigeki Maruyama
",93,1.048,81.718,32.551,49.165,78,4.0,"
        5",93.0,0.63,49.165,78.0
21,21,2004,"
        22","
Tom Lehman
",70,0.9840000000000001,57.058,68.696,-11.639000000000001,58,156.0,"
        157",70.0,-0.201,-11.639000000000001,58.0
