,"year","rank","player_name","rounds","value","attempts_less_eq_5","tot_made_greater_eq_20","tot_made_less_eq_5"
0,2001,"
        1","
Tom Scherrer
",69,36.36,11,0,4
1,2001,"
        T2","
Michael Clark II
",87,29.41,17,1,4
2,2001,"
        T2","
Matt Gogel
",83,29.41,17,0,5
3,2001,"
        T4","
Dicky Pride
",78,27.27,11,1,2
4,2001,"
        T4","
Chris Smith
",101,27.27,11,1,2
5,2001,"
        6","
Scott Dunlap
",80,25,12,0,3
6,2001,"
        7","
Stuart Appleby
",105,23.68,38,1,8
7,2001,"
        8","
Kaname Yokoo
",81,21.74,23,0,5
8,2001,"
        9","
Paul Azinger
",79,20.83,24,0,5
9,2001,"
        T10","
Pete Jordan
",105,20,15,1,2
10,2001,"
        T10","
Gary Nicklaus
",96,20,15,0,3
11,2001,"
        12","
Per-Ulrik Johansson
",82,18.75,16,0,3
12,2001,"
        13","
José Coceres
",60,17.65,34,0,6
13,2001,"
        14","
Bob Tway
",109,17.14,35,1,5
14,2001,"
        T15","
Doug Barron
",62,16.67,12,0,2
15,2001,"
        T15","
Corey Pavin
",72,16.67,12,0,2
16,2001,"
        T15","
Mike Weir
",86,16.67,24,0,4
17,2001,"
        18","
Rory Sabbatini
",73,16,25,0,4
18,2001,"
        19","
Gabriel Hjertstedt
",76,15.79,19,0,3
19,2001,"
        T20","
Charles Howell III
",89,15.63,32,0,5
20,2001,"
        T20","
Tom Pernice Jr.
",106,15.63,32,0,5
21,2001,"
        T22","
Glen Hnatiuk
",104,15.38,26,0,4
22,2001,"
        T22","
Jerry Kelly
",104,15.38,13,0,2
23,2001,"
        T22","
Skip Kendall
",111,15.38,26,0,4
24,2001,"
        T22","
Michael Muehr
",94,15.38,26,0,4
25,2001,"
        26","
Scott McCarron
",98,15.22,46,0,7
26,2001,"
        T27","
Mark Brooks
",88,15,20,1,2
27,2001,"
        T27","
Craig Perks
",78,15,20,0,3
28,2001,"
        29","
Rocco Mediate
",69,14.29,14,0,2
29,2001,"
        30","
J.L. Lewis
",108,13.79,29,0,4
30,2001,"
        31","
Geoff Ogilvy
",60,13.33,15,0,2
31,2001,"
        T32","
Nick Price
",74,13.04,23,0,3
32,2001,"
        T32","
Paul Stankowski
",91,13.04,23,0,3
33,2001,"
        T34","
Olin Browne
",99,12.5,24,0,3
34,2001,"
        T34","
Harrison Frazar
",88,12.5,16,0,2
35,2001,"
        T34","
Jeff Hart
",87,12.5,16,0,2
36,2001,"
        37","
Bernhard Langer
",62,12,25,0,3
37,2001,"
        38","
Fred Couples
",68,11.76,17,0,2
38,2001,"
        39","
Mike Sposa
",96,11.11,27,0,3
39,2001,"
        T40","
Woody Austin
",99,10.53,19,0,2
40,2001,"
        T40","
Stewart Cink
",102,10.53,57,0,6
41,2001,"
        T40","
John Daly
",84,10.53,19,0,2
42,2001,"
        T40","
Bob Estes
",91,10.53,38,0,4
43,2001,"
        T40","
Scott Simpson
",73,10.53,19,0,2
44,2001,"
        T45","
Glen Day
",89,10.34,29,1,2
45,2001,"
        T45","
Fred Funk
",118,10.34,29,0,3
46,2001,"
        47","
Greg Kraft
",105,10.26,39,0,4
47,2001,"
        T48","
Steve Flesch
",112,10,30,0,3
48,2001,"
        T48","
Brandt Jobe
",96,10,20,0,2
49,2001,"
        T48","
Neal Lancaster
",107,10,20,1,1
50,2001,"
        T48","
Lee Porter
",93,10,10,0,1
51,2001,"
        52","
Jim Carter
",103,9.68,31,0,3
52,2001,"
        T53","
Brent Geiberger
",84,9.52,21,1,1
53,2001,"
        T53","
Billy Mayfair
",102,9.52,42,1,3
54,2001,"
        T55","
Jay Don Blake
",100,9.38,32,0,3
55,2001,"
        T55","
David Toms
",100,9.38,32,0,3
56,2001,"
        T57","
Chris DiMarco
",108,9.09,44,0,4
57,2001,"
        T57","
Danny Ellis
",76,9.09,33,0,3
58,2001,"
        59","
Bob Burns
",92,8.7,23,0,2
59,2001,"
        60","
Tom Lehman
",82,8.57,35,0,3
60,2001,"
        T61","
Lee Janzen
",96,8.33,24,0,2
61,2001,"
        T61","
Jay Williamson
",92,8.33,24,0,2
62,2001,"
        63","
Kenny Perry
",94,8.16,49,0,4
63,2001,"
        64","
Jeff Sluman
",106,8,50,0,4
64,2001,"
        T65","
John Cook
",91,7.69,26,1,1
65,2001,"
        T65","
Bob May
",86,7.69,13,0,1
66,2001,"
        T65","
Vijay Singh
",98,7.69,39,0,3
67,2001,"
        68","
Tommy Armour III
",93,7.41,27,0,2
68,2001,"
        69","
Steve Lowery
",100,7.32,41,0,3
69,2001,"
        T70","
Justin Leonard
",106,7.14,42,0,3
70,2001,"
        T70","
Jesper Parnevik
",91,7.14,28,0,2
71,2001,"
        T70","
John Riegger
",86,7.14,28,0,2
72,2001,"
        73","
Tiger Woods
",76,6.67,30,0,2
73,2001,"
        74","
J.J. Henry
",86,6.45,31,0,2
74,2001,"
        T75","
Stephen Ames
",88,6.25,16,0,1
75,2001,"
        T75","
Jeff Maggert
",84,6.25,16,0,1
76,2001,"
        T75","
David Morland IV
",88,6.25,16,0,1
77,2001,"
        T78","
Ernie Els
",70,6.06,33,0,2
78,2001,"
        T78","
Brian Henninger
",81,6.06,33,1,1
79,2001,"
        T80","
Paul Goydos
",86,5.88,17,0,1
80,2001,"
        T80","
Chris Riley
",104,5.88,17,0,1
81,2001,"
        T80","
Scott Verplank
",99,5.88,34,0,2
82,2001,"
        T83","
David Berganio Jr.
",76,5.56,18,0,1
83,2001,"
        T83","
Brad Elder
",111,5.56,18,0,1
84,2001,"
        T83","
Brian Gay
",114,5.56,18,0,1
85,2001,"
        86","
Briny Baird
",106,5.41,37,1,1
86,2001,"
        T87","
Fulton Allem
",56,5.26,19,0,1
87,2001,"
        T87","
Robert Allenby
",108,5.26,38,0,2
88,2001,"
        T87","
Jonathan Kaye
",116,5.26,19,1,
89,2001,"
        T87","
Jerry Smith
",95,5.26,19,0,1
90,2001,"
        91","
Kirk Triplett
",88,5,20,1,
91,2001,"
        T92","
Joe Durant
",80,4.76,21,0,1
92,2001,"
        T92","
Brad Faxon
",95,4.76,42,0,2
93,2001,"
        T92","
Ian Leggatt
",84,4.76,21,0,1
94,2001,"
        T92","
Mark O'Meara
",69,4.76,21,0,1
95,2001,"
        96","
Tom Byrum
",85,4.55,22,1,
96,2001,"
        T97","
David Frost
",87,4.35,23,0,1
97,2001,"
        T97","
Kevin Sutherland
",101,4.35,23,0,1
98,2001,"
        T97","
Esteban Toledo
",116,4.35,23,0,1
99,2001,"
        T100","
Andrew Magee
",97,3.85,26,0,1
100,2001,"
        T100","
Shaun Micheel
",103,3.85,26,0,1
101,2001,"
        T100","
Grant Waite
",78,3.85,26,0,1
102,2001,"
        103","
Mathew Goggin
",96,3.57,28,0,1
103,2001,"
        T104","
Jim Furyk
",88,3.45,29,0,1
104,2001,"
        T104","
Blaine McCallister
",80,3.45,29,0,1
105,2001,"
        T104","
Ted Tryba
",110,3.45,29,0,1
106,2001,"
        107","
David Duval
",78,2.94,34,0,1
107,2001,"
        108","
Davis Love III
",75,1.92,52,0,1
108,2001,"
        T109","
Billy Andrade
",82,0,13,0,
109,2001,"
        T109","
Cameron Beckman
",103,0,26,0,
110,2001,"
        T109","
Mark Calcavecchia
",81,0,18,0,
111,2001,"
        T109","
Russ Cochran
",76,0,19,0,
112,2001,"
        T109","
Robert Damron
",91,0,20,0,
113,2001,"
        T109","
Joel Edwards
",99,0,25,0,
114,2001,"
        T109","
Steve Elkington
",64,0,14,0,
115,2001,"
        T109","
Carlos Franco
",87,0,10,0,
116,2001,"
        T109","
Robin Freeman
",105,0,10,0,
117,2001,"
        T109","
Sergio Garcia
",64,0,27,0,
118,2001,"
        T109","
Bill Glasson
",69,0,18,0,
119,2001,"
        T109","
Jason Gore
",82,0,10,0,
120,2001,"
        T109","
Paul Gow
",79,0,10,0,
121,2001,"
        T109","
Jimmy Green
",94,0,24,0,
122,2001,"
        T109","
Scott Hoch
",84,0,22,0,
123,2001,"
        T109","
Bradley Hughes
",96,0,23,0,
124,2001,"
        T109","
Steve Jones
",75,0,10,0,
125,2001,"
        T109","
Frank Lickliter II
",102,0,40,0,
126,2001,"
        T109","
Shigeki Maruyama
",98,0,20,0,
127,2001,"
        T109","
Len Mattiace
",98,0,22,0,
128,2001,"
        T109","
Andrew McLardy
",75,0,11,0,
129,2001,"
        T109","
Spike McRoy
",95,0,18,0,
130,2001,"
        T109","
Larry Mize
",76,0,25,0,
131,2001,"
        T109","
Frank Nobilo
",91,0,15,0,
132,2001,"
        T109","
Joe Ogilvie
",110,0,17,0,
133,2001,"
        T109","
Carl Paulson
",93,0,18,0,
134,2001,"
        T109","
David Peoples
",96,0,43,0,
135,2001,"
        T109","
Loren Roberts
",84,0,17,0,
136,2001,"
        T109","
Steve Stricker
",73,0,17,0,
137,2001,"
        T109","
Hal Sutton
",96,0,33,0,
138,2001,"
        T109","
Garrett Willis
",88,0,19,0,
139,2001,"
        T109","
Brian Wilson
",88,0,14,0,
140,2002,"
        1","
Lee Janzen
",101,104.94,385,22,382
141,2002,"
        2","
Richard Zokol
",53,103.85,208,12,204
142,2002,"
        3","
John Cook
",85,103.73,268,16,262
143,2002,"
        4","
Ben Crane
",91,103.71,350,24,339
144,2002,"
        5","
Retief Goosen
",56,103.67,218,9,217
145,2002,"
        6","
Tim Herron
",102,103.66,383,18,379
146,2002,"
        7","
Paul Azinger
",69,103.45,203,13,197
147,2002,"
        8","
Scott Hoch
",71,103.41,264,14,259
148,2002,"
        9","
Chad Campbell
",111,103.37,475,27,464
149,2002,"
        10","
Brent Geiberger
",95,103.2,375,23,364
150,2002,"
        11","
Shigeki Maruyama
",87,103.13,288,15,282
151,2002,"
        12","
David Toms
",106,103.1,451,26,439
152,2002,"
        13","
Michael Muehr
",73,103.04,263,14,257
153,2002,"
        14","
Steve Pate
",64,103.03,231,13,225
154,2002,"
        15","
Esteban Toledo
",106,102.89,381,21,371
155,2002,"
        16","
Jay Haas
",83,102.78,324,18,315
156,2002,"
        17","
Billy Andrade
",100,102.74,401,21,391
157,2002,"
        18","
Phil Tataurangi
",88,102.71,332,16,325
158,2002,"
        19","
Bernhard Langer
",55,102.67,150,6,148
159,2002,"
        T20","
Stephen Ames
",89,102.62,305,15,298
160,2002,"
        T20","
Bart Bryant
",69,102.62,343,22,330
161,2002,"
        22","
Brad Faxon
",93,102.6,308,13,303
162,2002,"
        23","
Scott McCarron
",106,102.59,386,21,375
163,2002,"
        T24","
Brett Quigley
",93,102.45,408,24,394
164,2002,"
        T24","
Grant Waite
",98,102.45,449,25,435
165,2002,"
        26","
Tiger Woods
",69,102.43,247,11,242
166,2002,"
        27","
David Frost
",90,102.31,390,21,378
167,2002,"
        28","
Jesper Parnevik
",85,102.3,217,14,208
168,2002,"
        29","
Rocco Mediate
",79,102.27,309,15,301
169,2002,"
        30","
Kenny Perry
",98,102.23,403,22,390
170,2002,"
        31","
Chris Riley
",104,102.22,406,22,393
171,2002,"
        32","
Brian Gay
",117,102.16,463,26,447
172,2002,"
        33","
Brandt Jobe
",94,102.05,439,15,433
173,2002,"
        T34","
Steve Elkington
",82,101.99,301,14,293
174,2002,"
        T34","
Craig Perks
",91,101.99,301,18,289
175,2002,"
        36","
Shaun Micheel
",100,101.97,457,22,444
176,2002,"
        37","
Chris Smith
",103,101.96,408,18,398
177,2002,"
        T38","
Brad Elder
",76,101.95,307,14,299
178,2002,"
        T38","
Jeff Sluman
",118,101.95,512,22,500
179,2002,"
        40","
Davis Love III
",92,101.92,365,13,359
180,2002,"
        41","
Kevin Sutherland
",96,101.91,314,14,306
