,"year","rank","player_name","rounds","accuracy_percent","fairways_hit","possible_fairways"
0,1980,"
        1","
Mike Reid
",111,79.45,1187,1494
1,1980,"
        2","
Calvin Peete
",96,78.74,1063,1350
2,1980,"
        3","
Bill Rogers
",98,77.92,1069,1372
3,1980,"
        4","
John Mahaffey
",89,75.68,943,1246
4,1980,"
        5","
Hubert Green
",85,74.7,886,1186
5,1980,"
        6","
Larry Nelson
",103,73.92,1063,1438
6,1980,"
        7","
Gene Littler
",69,73.81,713,966
7,1980,"
        8","
Hale Irwin
",87,72.69,865,1190
8,1980,"
        9","
Jay Haas
",112,72.41,1131,1562
9,1980,"
        10","
Jack Renner
",87,72.4,876,1210
10,1980,"
        11","
Gil Morgan
",88,72.36,890,1230
11,1980,"
        12","
Lee Trevino
",82,72.28,824,1140
12,1980,"
        13","
Jack Nicklaus
",49,71.57,491,686
13,1980,"
        14","
D.A. Weibring
",93,71.37,925,1296
14,1980,"
        15","
Lee Elder
",84,71.29,817,1146
15,1980,"
        16","
Mike McCullough
",56,71.15,555,780
16,1980,"
        17","
Bob Murphy
",105,71.14,1040,1462
17,1980,"
        18","
Miller Barber
",107,70.84,1047,1478
18,1980,"
        19","
Curtis Strange
",114,70.29,1119,1592
19,1980,"
        20","
Jim Simons
",88,70.15,839,1196
20,1980,"
        21","
Keith Fergus
",91,69.53,883,1270
21,1980,"
        22","
John Cook
",97,69.5,900,1295
22,1980,"
        23","
Tom Kite
",96,69.48,931,1340
23,1980,"
        24","
Doug Tewell
",91,69.47,885,1274
24,1980,"
        25","
Antonio Cerda
",56,69.28,539,778
25,1980,"
        26","
Jack Newton
",56,69.13,542,784
26,1980,"
        27","
Wayne Levi
",102,69.06,982,1422
27,1980,"
        28","
David Graham
",71,69.01,686,994
28,1980,"
        29","
Howard Twitty
",108,68.99,1028,1490
29,1980,"
        30","
Jack Ferenz
",49,68.66,460,670
30,1980,"
        31","
Gibby Gilbert
",92,68.63,884,1288
31,1980,"
        32","
David Edwards
",79,68.59,738,1076
32,1980,"
        33","
Peter Jacobsen
",102,68.49,937,1368
33,1980,"
        34","
Bob Gilder
",93,68.31,899,1316
34,1980,"
        35","
Joe Inman
",107,68.21,1019,1494
35,1980,"
        36","
Rex Caldwell
",120,67.88,1135,1672
36,1980,"
        37","
Skip Dunaway
",60,67.87,566,834
37,1980,"
        38","
Lanny Wadkins
",90,67.75,851,1256
38,1980,"
        39","
Ed Sneed
",86,67.67,812,1200
39,1980,"
        40","
Jeff Thomsen
",53,67.66,498,736
40,1980,"
        41","
Bruce Lietzke
",87,67.65,824,1218
41,1980,"
        42","
Al Geiberger
",55,67.53,520,770
42,1980,"
        43","
Andy Bean
",104,67.31,980,1456
43,1980,"
        44","
Mark Hayes
",97,66.72,894,1340
44,1980,"
        45","
Ed Fiori
",105,66.55,977,1468
45,1980,"
        46","
Johnny Miller
",62,66.47,577,868
46,1980,"
        47","
Terry Diehl
",102,66.2,940,1420
47,1980,"
        48","
Phillip Hancock
",89,66.17,792,1197
48,1980,"
        49","
Don Pooley
",98,66.15,905,1368
49,1980,"
        50","
Brad Bryant
",113,66.06,1024,1550
50,1980,"
        51","
Pat Lindsey
",63,65.96,562,852
51,1980,"
        52","
Don January
",48,65.92,443,672
52,1980,"
        53","
Charles Coody
",86,65.8,783,1190
53,1980,"
        54","
Allen Miller
",72,65.7,657,1000
54,1980,"
        T55","
Tom Shaw
",55,65.65,495,754
55,1980,"
        T55","
Bobby Walzel
",83,65.65,751,1144
56,1980,"
        57","
Mike Sullivan
",95,65.54,869,1326
57,1980,"
        T58","
Michael Brannan
",88,65.5,803,1226
58,1980,"
        T58","
Tom Watson
",88,65.5,807,1232
59,1980,"
        60","
Lyn Lott
",85,65.46,758,1158
60,1980,"
        61","
Bud Allin
",89,65.35,775,1186
61,1980,"
        62","
Jerry Pate
",95,65.11,866,1330
62,1980,"
        63","
Bruce Devlin
",55,65.06,501,770
63,1980,"
        64","
Bob Shearer
",52,64.94,452,696
64,1980,"
        65","
Bob Smith
",56,64.74,505,780
65,1980,"
        66","
Butch Baird
",70,64.58,620,960
66,1980,"
        67","
Dan Halldorson
",95,64.56,847,1312
67,1980,"
        68","
David Thore
",59,64.55,528,818
68,1980,"
        69","
Fuzzy Zoeller
",80,64.34,718,1116
69,1980,"
        70","
Orville Moody
",67,64.32,602,936
70,1980,"
        71","
Rod Funseth
",51,64.23,456,710
71,1980,"
        72","
Scott Simpson
",108,64.15,970,1512
72,1980,"
        73","
Rik Massengale
",55,64.05,490,765
73,1980,"
        74","
Bobby Wadkins
",116,63.84,1024,1604
74,1980,"
        75","
Wally Armstrong
",92,63.76,820,1286
75,1980,"
        76","
Billy Kratzert
",115,63.5,1021,1608
76,1980,"
        77","
Gary Koch
",93,63.33,822,1298
77,1980,"
        78","
Raymond Floyd
",103,63.28,910,1438
78,1980,"
        79","
Morris Hatalsky
",86,63.19,757,1198
79,1980,"
        80","
Ben Crenshaw
",101,63.15,893,1414
80,1980,"
        81","
Lindy Miller
",86,63.02,755,1198
81,1980,"
        82","
Tom Weiskopf
",88,62.99,776,1232
82,1980,"
        83","
Leonard Thompson
",100,62.97,879,1396
83,1980,"
        84","
Mike Nicolette
",52,62.77,457,728
84,1980,"
        85","
Artie McNickle
",87,62.71,750,1196
85,1980,"
        86","
Skeeter Heath
",56,62.63,486,776
86,1980,"
        87","
Bob Byman
",70,62.5,595,952
87,1980,"
        88","
Roger Maltbie
",72,62.42,618,990
88,1980,"
        89","
Lon Hinkle
",78,62.36,681,1092
89,1980,"
        90","
George Burns
",106,62.21,922,1482
90,1980,"
        91","
Danny Edwards
",94,62.16,818,1316
91,1980,"
        92","
Dave Hill
",85,62.12,728,1172
92,1980,"
        T93","
Mark Lye
",104,62.05,901,1452
93,1980,"
        T93","
Tom Storey
",56,62.05,484,780
94,1980,"
        95","
Lonnie Nielsen
",87,61.8,699,1131
95,1980,"
        96","
John Fought
",102,61.76,877,1420
96,1980,"
        97","
George Archer
",112,61.72,956,1549
97,1980,"
        98","
Dave Stockton
",75,61.71,643,1042
98,1980,"
        99","
Tom Jenkins
",68,61.35,589,960
99,1980,"
        T100","
Jim Colbert
",93,61.31,797,1300
100,1980,"
        T100","
Ron Streck
",110,61.31,943,1538
101,1980,"
        102","
Mike Morley
",87,61.28,701,1144
102,1980,"
        103","
Tom Purtzer
",93,61.25,795,1298
103,1980,"
        104","
George Cadle
",97,61.24,812,1326
104,1980,"
        105","
Tom Jones
",51,61.19,432,706
105,1980,"
        T106","
Forrest Fezler
",64,61.18,539,881
106,1980,"
        T106","
Lou Graham
",86,61.18,728,1190
107,1980,"
        108","
Scott Watkins
",75,61.11,638,1044
108,1980,"
        109","
Chip Beck
",76,60.88,638,1048
109,1980,"
        110","
Mike Donald
",50,60.78,423,696
110,1980,"
        111","
Bobby Cole
",54,60.77,457,752
111,1980,"
        112","
Jon Chaffee
",58,60.71,482,794
112,1980,"
        113","
Greg Powers
",71,60.7,590,972
113,1980,"
        114","
Craig Stadler
",91,60.55,769,1270
114,1980,"
        115","
Victor Regalado
",95,59.53,787,1322
115,1980,"
        116","
Vance Heafner
",52,59.51,457,768
116,1980,"
        117","
John Schroeder
",83,59.31,688,1160
117,1980,"
        118","
Jim Nelford
",100,59.12,817,1382
118,1980,"
        119","
Tim Simpson
",83,59.09,676,1144
119,1980,"
        120","
Mark Pfeil
",83,59.07,684,1158
120,1980,"
        121","
Chi Chi Rodriguez
",82,58.97,651,1104
121,1980,"
        122","
Andy North
",81,58.87,657,1116
122,1980,"
        123","
Bill Calfee
",90,58.84,739,1256
123,1980,"
        124","
Barry Jaeckel
",96,58.67,785,1338
124,1980,"
        T125","
Dana Quigley
",84,58.63,686,1170
125,1980,"
        T125","
Kermit Zarley
",71,58.63,574,979
126,1980,"
        T127","
Terry Mauney
",99,58.51,777,1328
127,1980,"
        T127","
Alan Tapie
",96,58.51,784,1340
128,1980,"
        129","
Rod Curl
",99,58.33,805,1380
129,1980,"
        130","
Mark McCumber
",91,58.19,739,1270
130,1980,"
        131","
Jaime Gonzalez
",54,58.16,435,748
131,1980,"
        132","
Ed Dougherty
",62,58.06,504,868
132,1980,"
        133","
Mike Hill
",87,58.05,689,1187
133,1980,"
        134","
J.C. Snead
",113,57.99,907,1564
134,1980,"
        135","
Mick Soli
",53,57.88,426,736
135,1980,"
        136","
Bob Mann
",62,57.85,501,866
136,1980,"
        137","
Lance Ten Broeck
",81,57.8,652,1128
137,1980,"
        138","
Dale Douglass
",68,57.73,545,944
138,1980,"
        139","
John Mazza
",54,57.69,435,754
139,1980,"
        140","
Doug Black
",52,57.62,416,722
140,1980,"
        141","
David Eger
",75,57.57,593,1030
141,1980,"
        142","
Bob Eastwood
",84,57.45,671,1168
142,1980,"
        143","
Roger Calvin
",62,57.31,494,862
143,1980,"
        144","
Mike Peck
",59,57.18,470,822
144,1980,"
        145","
Tommy Valentine
",74,57.17,590,1032
145,1980,"
        146","
Jeff Mitchell
",90,57.09,717,1256
146,1980,"
        147","
Woody Blackburn
",66,57.08,508,890
147,1980,"
        148","
Mike White
",51,57.02,406,712
148,1980,"
        149","
Bobby Nichols
",62,56.51,486,860
149,1980,"
        150","
Jim Thorpe
",80,56.27,628,1116
150,1980,"
        151","
Pat McGowan
",90,56.22,705,1254
151,1980,"
        152","
Barney Thompson
",54,55.98,421,752
152,1980,"
        153","
Joe Hager
",73,55.57,559,1006
153,1980,"
        154","
Peter Oosterhuis
",95,55.5,737,1328
154,1980,"
        155","
Dave Eichelberger
",110,55.34,819,1480
155,1980,"
        156","
Tommy Aaron
",72,55.21,540,978
156,1980,"
        157","
Mitch Mooney
",49,55.12,377,684
157,1980,"
        158","
Larry Ziegler
",84,54.94,645,1174
158,1980,"
        159","
Jim Dent
",64,54.91,492,896
159,1980,"
        160","
Jim Chancey
",66,54.75,496,906
160,1980,"
        161","
John Adams
",61,54.53,457,838
161,1980,"
        162","
Buddy Gardner
",108,54.5,812,1490
162,1980,"
        163","
Frank Conner
",91,54.42,690,1268
163,1980,"
        164","
Gary McCord
",60,54.4,457,840
164,1980,"
        165","
Bruce Douglass
",51,54.23,385,710
165,1980,"
        166","
Dan Pohl
",96,54.1,719,1329
166,1980,"
        167","
Fred Marti
",50,53.57,375,700
167,1980,"
        168","
Jerry McGee
",83,53.36,603,1130
168,1980,"
        169","
Stanton Altgelt
",68,53.18,502,944
169,1980,"
        170","
Beau Baugh
",62,53.13,458,862
170,1980,"
        171","
Steve Melnyk
",75,52.58,550,1046
171,1980,"
        172","
Ron Terry
",56,52.31,408,780
172,1980,"
        173","
Stan Lee
",59,51.46,423,822
173,1980,"
        174","
Bill Sander
",66,50.55,458,906
174,1980,"
        175","
Dave Barr
",53,50,356,712
175,1981,"
        1","
Calvin Peete
",100,81.86,1128,1378
176,1981,"
        2","
Mike Reid
",89,76.09,945,1242
177,1981,"
        3","
Bill Rogers
",91,75.04,956,1274
178,1981,"
        4","
Jack Renner
",104,74.66,1084,1452
179,1981,"
        5","
Larry Nelson
",95,73.98,984,1330
180,1981,"
        6","
Hubert Green
",91,73.46,933,1270
181,1981,"
        7","
Tom Kite
",103,73.23,1053,1438
182,1981,"
        8","
Bob Murphy
",97,72.59,980,1350
183,1981,"
        9","
Tim Norris
",85,72.34,855,1182
184,1981,"
        10","
John Mahaffey
",80,71.77,801,1116
185,1981,"
        11","
Lee Elder
",109,70.86,1077,1520
186,1981,"
        T12","
Jack Nicklaus
",62,70.74,614,868
187,1981,"
        T12","
Lee Trevino
",73,70.74,723,1022
188,1981,"
        14","
Doug Tewell
",87,70.43,855,1214
189,1981,"
        15","
Bud Allin
",58,70.25,569,810
190,1981,"
        16","
John Cook
",101,69.99,977,1396
191,1981,"
        17","
David Graham
",58,69.46,564,812
192,1981,"
        18","
Jim Simons
",108,69.41,1044,1504
193,1981,"
        19","
Gene Littler
",52,69.23,504,728
194,1981,"
        20","
Lanny Wadkins
",92,69.18,891,1288
195,1981,"
        21","
Dan Halldorson
",81,68.96,782,1134
196,1981,"
        22","
Wally Armstrong
",63,68.86,606,880
197,1981,"
        23","
Curtis Strange
",101,68.79,970,1410
198,1981,"
        24","
Gil Morgan
",85,68.58,812,1184
199,1981,"
        25","
Forrest Fezler
",66,68.18,630,924
200,1981,"
        26","
Skip Dunaway
",53,68.07,501,736
201,1981,"
        27","
Bruce Devlin
",50,68,476,700
202,1981,"
        28","
Keith Fergus
",93,67.72,879,1298
203,1981,"
        29","
Ed Sneed
",88,67.67,831,1228
204,1981,"
        30","
Jay Haas
",108,67.62,1017,1504
205,1981,"
        31","
Hale Irwin
",86,67.61,814,1204
206,1981,"
        32","
Wayne Levi
",107,67.38,1004,1490
207,1981,"
        33","
Joe Inman
",81,67.26,760,1130
208,1981,"
        34","
D.A. Weibring
",101,66.6,939,1410
209,1981,"
        35","
Allen Miller
",64,66.26,591,892
210,1981,"
        36","
Gibby Gilbert
",88,66.21,813,1228
211,1981,"
        37","
Lyn Lott
",82,66.08,756,1144
212,1981,"
        38","
Thomas Gray
",53,66.04,490,742
213,1981,"
        39","
Bruce Lietzke
",92,65.84,848,1288
214,1981,"
        40","
Don Pooley
",106,65.74,973,1480
215,1981,"
        41","
Mark O'Meara
",112,65.64,1024,1560
216,1981,"
        42","
Rod Nuckolls
",70,65.57,640,976
217,1981,"
        43","
Rik Massengale
",64,65.47,584,892
218,1981,"
        44","
Gary Koch
",77,65.43,704,1076
219,1981,"
        T45","
Peter Jacobsen
",81,65.4,741,1133
220,1981,"
        T45","
Tom Jenkins
",121,65.4,1104,1688
221,1981,"
        47","
Jerry Pate
",95,65.26,868,1330
222,1981,"
        T48","
Miller Barber
",81,65.22,737,1130
223,1981,"
        T48","
David Edwards
",89,65.22,810,1242
224,1981,"
        50","
Scott Simpson
",100,65.21,909,1394
225,1981,"
        51","
Roger Maltbie
",103,65.18,936,1436
226,1981,"
        52","
Bob Gilder
",108,64.99,980,1508
227,1981,"
        53","
Johnny Miller
",62,64.86,563,868
228,1981,"
        54","
Raymond Floyd
",90,64.84,817,1260
229,1981,"
        55","
Mark Hayes
",109,64.57,984,1524
230,1981,"
        56","
Gary Player
",48,64.43,433,672
231,1981,"
        57","
Tom Storey
",69,64.35,619,962
232,1981,"
        58","
David Thore
",48,63.96,426,666
233,1981,"
        59","
Mike McCullough
",82,63.9,731,1144
234,1981,"
        60","
Rex Caldwell
",79,63.73,701,1100
235,1981,"
        61","
Jim Colbert
",102,63.69,907,1424
236,1981,"
        62","
Danny Edwards
",80,63.57,712,1120
237,1981,"
        63","
John Schroeder
",85,63.55,755,1188
238,1981,"
        64","
Scott Watkins
",60,63.31,528,834
239,1981,"
        65","
J.C. Snead
",101,62.91,887,1410
240,1981,"
        66","
Fuzzy Zoeller
",88,62.87,772,1228
241,1981,"
        67","
Tom Purtzer
",105,62.69,919,1466
242,1981,"
        68","
Bob Eastwood
",107,62.62,933,1490
243,1981,"
        69","
Mike Sullivan
",107,62.57,936,1496
244,1981,"
        70","
Tommy Valentine
",102,62.45,888,1422
245,1981,"
        71","
Phillip Hancock
",76,62.41,659,1056
246,1981,"
        72","
Bobby Wadkins
",118,62.29,1024,1644
247,1981,"
        73","
Chip Beck
",79,62.2,683,1098
248,1981,"
        74","
Lonnie Nielsen
",60,62.08,519,836
249,1981,"
        75","
Terry Diehl
",94,62.06,813,1310
250,1981,"
        76","
Vance Heafner
",126,62.05,1092,1760
251,1981,"
        77","
Ben Crenshaw
",87,61.99,755,1218
252,1981,"
        78","
Bill Britton
",86,61.96,741,1196
253,1981,"
        79","
Ed Fiori
",98,61.95,850,1372
254,1981,"
        80","
Jerry Heard
",58,61.88,500,808
255,1981,"
        81","
Tim Simpson
",108,61.84,930,1504
256,1981,"
        82","
Leonard Thompson
",103,61.82,889,1438
257,1981,"
        83","
Mike Holland
",82,61.78,708,1146
258,1981,"
        84","
John Fought
",85,61.72,732,1186
259,1981,"
        85","
Ron Streck
",98,61.66,841,1364
260,1981,"
        86","
Mike Donald
",97,61.61,833,1352
