,"year","rank","player_name","rounds","distance_avg","total_distance","total_drives"
0,1980,"
        1","
Dan Pohl
",96,274.3,51839,189
1,1980,"
        2","
Buddy Gardner
",108,272.9,58138,213
2,1980,"
        3","
Fuzzy Zoeller
",80,271.5,43167,159
3,1980,"
        T4","
Joe Hager
",73,270.4,38932,144
4,1980,"
        T4","
Tommy Valentine
",74,270.4,39745,147
5,1980,"
        6","
J.C. Snead
",113,270.3,58115,215
6,1980,"
        7","
Dana Quigley
",84,269.7,44774,166
7,1980,"
        8","
Tom Purtzer
",93,269.4,49025,182
8,1980,"
        9","
Tom Weiskopf
",88,269.1,46015,171
9,1980,"
        10","
Jack Nicklaus
",49,269,26091,97
10,1980,"
        11","
Stanton Altgelt
",68,268.5,36245,135
11,1980,"
        12","
Barney Thompson
",54,268.2,28970,108
12,1980,"
        13","
Jim Thorpe
",80,268,42617,159
13,1980,"
        14","
Ed Dougherty
",62,267.9,32684,122
14,1980,"
        15","
Keith Fergus
",91,267.5,47890,179
15,1980,"
        T16","
Jim Dent
",64,267.3,33410,125
16,1980,"
        T16","
Peter Jacobsen
",102,267.3,51047,191
17,1980,"
        18","
Mike White
",51,267,26437,99
18,1980,"
        19","
Mick Soli
",53,266.8,27751,104
19,1980,"
        20","
Lon Hinkle
",78,266.5,40775,153
20,1980,"
        21","
Bill Sander
",66,266.3,34351,129
21,1980,"
        22","
Bruce Lietzke
",87,266.2,44996,169
22,1980,"
        23","
Craig Stadler
",91,266.1,47105,177
23,1980,"
        T24","
Bill Calfee
",90,266,46808,176
24,1980,"
        T24","
Tom Watson
",88,266,46277,174
25,1980,"
        26","
John Fought
",102,265.8,53423,201
26,1980,"
        27","
Terry Mauney
",99,265.7,49693,187
27,1980,"
        28","
Larry Ziegler
",84,265,43989,166
28,1980,"
        29","
Andy Bean
",104,264.9,53518,202
29,1980,"
        T30","
John Adams
",61,264.7,31762,120
30,1980,"
        T30","
Jerry Pate
",95,264.7,49226,186
31,1980,"
        T30","
Greg Powers
",71,264.7,36531,138
