,"year","rank","player_name","events","money_won"
0,2007,"
        1","
Tiger Woods
",3,10000000
1,2007,"
        2","
Steve Stricker
",4,3000000
2,2007,"
        3","
Phil Mickelson
",3,2000000
3,2007,"
        4","
Rory Sabbatini
",4,1500000
4,2007,"
        5","
K.J. Choi
",4,1000000
5,2007,"
        6","
Aaron Baddeley
",4,800000
6,2007,"
        7","
Zach Johnson
",4,700000
7,2007,"
        8","
Mark Calcavecchia
",4,600000
8,2007,"
        9","
Sergio Garcia
",4,550000
9,2007,"
        10","
Vijay Singh
",4,500000
10,2007,"
        11","
Jim Furyk
",4,300000
11,2007,"
        12","
Adam Scott
",4,290000
12,2007,"
        13","
Geoff Ogilvy
",4,280000
13,2007,"
        14","
Scott Verplank
",3,270000
14,2007,"
        15","
Hunter Mahan
",4,250000
15,2007,"
        16","
Justin Rose
",4,245000
16,2007,"
        17","
Woody Austin
",4,240000
17,2007,"
        18","
Charles Howell III
",4,235000
18,2007,"
        19","
Ernie Els
",3,230000
19,2007,"
        20","
Brandt Snedeker
",4,225000
20,2007,"
        21","
Tim Clark
",4,220000
21,2007,"
        22","
Stewart Cink
",4,215000
22,2007,"
        23","
Robert Allenby
",4,210000
23,2007,"
        24","
Camilo Villegas
",4,205000
24,2007,"
        25","
Boo Weekley
",4,200000
25,2007,"
        26","
John Rollins
",4,195000
26,2007,"
        27","
Brett Wetterich
",4,190000
27,2007,"
        28","
Jonathan Byrd
",4,185000
28,2007,"
        29","
Padraig Harrington
",3,180000
29,2007,"
        30","
Heath Slocum
",4,175000
30,2007,"
        31","
Luke Donald
",3,165000
31,2007,"
        32","
Jerry Kelly
",3,155000
32,2007,"
        33","
David Toms
",3,150000
33,2007,"
        34","
Arron Oberholser
",3,145000
34,2007,"
        35","
Lucas Glover
",3,142000
35,2007,"
        36","
Stuart Appleby
",3,140000
36,2007,"
        37","
Bubba Watson
",3,138000
37,2007,"
        38","
Carl Pettersson
",3,137000
38,2007,"
        39","
Henrik Stenson
",3,136000
39,2007,"
        40","
Trevor Immelman
",3,135000
40,2007,"
        41","
Nick Watney
",3,134000
41,2007,"
        42","
Mark Wilson
",3,133000
42,2007,"
        43","
Anthony Kim
",3,132000
43,2007,"
        44","
Pat Perez
",3,131000
44,2007,"
        45","
Ken Duke
",3,130000
45,2007,"
        46","
Nathan Green
",3,129000
46,2007,"
        47","
Ángel Cabrera
",3,128000
47,2007,"
        48","
Troy Matteson
",3,127000
48,2007,"
        49","
Billy Mayfair
",3,126000
49,2007,"
        50","
Charley Hoffman
",3,125000
50,2007,"
        51","
Jeff Quinney
",3,120000
51,2007,"
        52","
Ryan Moore
",3,115000
52,2007,"
        53","
Rod Pampling
",3,114000
53,2007,"
        54","
Ryuji Imada
",3,113000
54,2007,"
        55","
John Senden
",3,110000
55,2007,"
        56","
Kevin Sutherland
",3,110000
56,2007,"
        57","
Ian Poulter
",3,110000
57,2007,"
        58","
Sean O'Hair
",3,110000
58,2007,"
        59","
Paul Goydos
",2,110000
59,2007,"
        60","
Kenny Perry
",3,110000
60,2007,"
        61","
John Mallinger
",3,110000
61,2007,"
        62","
Nick O'Hern
",3,110000
62,2007,"
        63","
Vaughn Taylor
",3,110000
63,2007,"
        64","
Bo Van Pelt
",3,110000
64,2007,"
        65","
Rocco Mediate
",3,110000
65,2007,"
        66","
José Coceres
",3,110000
66,2007,"
        67","
Brian Bateman
",3,110000
67,2007,"
        68","
Bernhard Langer
",0,110000
68,2007,"
        69","
Stephen Ames
",2,110000
69,2007,"
        70","
Steve Marino
",3,110000
70,2007,"
        71","
Steve Flesch
",2,80000
71,2007,"
        72","
Peter Lonard
",2,80000
72,2007,"
        73","
Will MacKenzie
",2,80000
73,2007,"
        74","
Stephen Leaney
",2,80000
74,2007,"
        75","
Dean Wilson
",2,80000
75,2007,"
        76","
Brian Davis
",2,80000
76,2007,"
        77","
Fred Funk
",2,80000
77,2007,"
        78","
Brian Gay
",2,80000
78,2007,"
        79","
Bart Bryant
",2,80000
79,2007,"
        80","
Tim Petrovic
",2,80000
80,2007,"
        81","
Jason Gore
",2,75000
81,2007,"
        82","
Joe Ogilvie
",2,75000
82,2007,"
        83","
Davis Love III
",2,75000
83,2007,"
        84","
Freddie Jacobson
",2,75000
84,2007,"
        85","
Charles Warren
",2,75000
85,2007,"
        86","
Justin Leonard
",2,75000
86,2007,"
        87","
Mike Weir
",2,75000
87,2007,"
        88","
Steve Elkington
",2,75000
88,2007,"
        89","
Retief Goosen
",2,75000
89,2007,"
        T90","
Tom Lehman
",1,75000
90,2007,"
        T90","
Charlie Wi
",2,75000
91,2007,"
        92","
Matt Kuchar
",2,75000
92,2007,"
        93","
Tom Pernice Jr.
",2,75000
93,2007,"
        94","
J.J. Henry
",2,75000
94,2007,"
        95","
Cliff Kresge
",2,75000
95,2007,"
        96","
Robert Garrigus
",2,75000
96,2007,"
        97","
Chris DiMarco
",2,75000
97,2007,"
        98","
Kevin Na
",2,75000
98,2007,"
        99","
Shaun Micheel
",2,75000
99,2007,"
        100","
José María Olazábal
",0,75000
100,2007,"
        101","
Briny Baird
",2,70000
101,2007,"
        102","
Jeff Maggert
",2,70000
102,2007,"
        103","
Craig Kanada
",2,70000
103,2007,"
        104","
Tim Herron
",2,70000
104,2007,"
        105","
Ted Purdy
",2,70000
105,2007,"
        106","
George McNeill
",2,70000
106,2007,"
        107","
Chad Campbell
",2,70000
107,2007,"
        108","
Kevin Stadler
",2,70000
108,2007,"
        109","
Bob Estes
",2,70000
109,2007,"
        110","
Rich Beem
",2,70000
110,2007,"
        111","
Jeff Overton
",2,70000
111,2007,"
        112","
Tommy Armour III
",2,70000
112,2007,"
        113","
J.B. Holmes
",2,70000
113,2007,"
        114","
Ben Curtis
",2,70000
114,2007,"
        115","
Daniel Chopra
",2,70000
115,2007,"
        116","
Brett Quigley
",2,70000
116,2007,"
        117","
D.J. Trahan
",2,70000
117,2007,"
        118","
J.P. Hayes
",2,70000
118,2007,"
        119","
Harrison Frazar
",2,70000
