,"year","rank","player_name","rounds","gir_percent","total_greens_hit","total_greens_att","rtp_score"
0,1980,"
        1","
Jack Nicklaus
",49,72.11,636,882,
1,1980,"
        2","
Mike Reid
",111,71.6,1379,1926,
2,1980,"
        3","
Calvin Peete
",96,70.85,1237,1746,
3,1980,"
        4","
John Mahaffey
",89,70.79,1134,1602,
4,1980,"
        5","
Curtis Strange
",114,70.47,1446,2052,
5,1980,"
        6","
Lee Trevino
",82,70.39,1039,1476,
6,1980,"
        7","
Jay Haas
",112,70.09,1413,2016,
7,1980,"
        8","
Peter Jacobsen
",102,69.73,1230,1764,
8,1980,"
        9","
Tom Watson
",88,69.26,1097,1584,
9,1980,"
        10","
Dan Halldorson
",95,69.09,1169,1692,
10,1980,"
        11","
Billy Kratzert
",115,69.03,1429,2070,
11,1980,"
        T12","
Keith Fergus
",91,68.99,1130,1638,
12,1980,"
        T12","
Bob Murphy
",105,68.99,1304,1890,
13,1980,"
        14","
Gil Morgan
",88,68.69,1088,1584,
14,1980,"
        15","
Larry Nelson
",103,68.55,1271,1854,
15,1980,"
        T16","
Bobby Cole
",54,68.52,666,972,
16,1980,"
        T16","
Bruce Lietzke
",87,68.52,1073,1566,
17,1980,"
        18","
Hale Irwin
",87,68.5,1048,1530,
18,1980,"
        19","
George Cadle
",97,68.48,1171,1710,
19,1980,"
        20","
John Cook
",97,68.46,1146,1674,
20,1980,"
        21","
Tom Jenkins
",68,68.44,850,1242,
21,1980,"
        22","
Johnny Miller
",62,68.37,763,1116,
22,1980,"
        23","
Bill Rogers
",98,68.25,1204,1764,
23,1980,"
        24","
Jim Thorpe
",80,68.19,982,1440,
24,1980,"
        25","
Tom Purtzer
",93,67.92,1137,1674,
25,1980,"
        26","
Bobby Wadkins
",116,67.87,1405,2070,
26,1980,"
        27","
Charles Coody
",86,67.84,1038,1530,
27,1980,"
        28","
Andy Bean
",104,67.79,1269,1872,
28,1980,"
        29","
Jack Renner
",87,67.69,1060,1566,
29,1980,"
        30","
Roger Maltbie
",72,67.61,864,1278,
30,1980,"
        31","
Dan Pohl
",96,67.6,1156,1710,
31,1980,"
        32","
Lon Hinkle
",78,67.59,949,1404,
32,1980,"
        33","
Stanton Altgelt
",68,67.32,824,1224,
33,1980,"
        34","
Roger Calvin
",62,67.2,750,1116,
34,1980,"
        35","
Phillip Hancock
",89,67.12,1039,1548,
35,1980,"
        36","
Lyn Lott
",85,67.07,1002,1494,
36,1980,"
        37","
Bob Shearer
",52,67,603,900,
37,1980,"
        38","
Tim Simpson
",83,66.87,987,1476,
38,1980,"
        39","
Lou Graham
",86,66.86,1023,1530,
