,"year","rank","player_name","rounds","gir_percent","total_greens_hit","num_holes"
0,1992,"
        1","
John Cook
",79,82.22,555,675
1,1992,"
        2","
Tom Lehman
",103,81.74,743,909
2,1992,"
        3","
Davis Love III
",92,81.56,637,781
3,1992,"
        4","
Joel Edwards
",54,81.01,418,516
4,1992,"
        5","
Dave Barr
",92,80.49,689,856
5,1992,"
        6","
Joey Sindelar
",107,80.39,734,913
6,1992,"
        7","
Mark O'Meara
",81,80.05,590,737
7,1992,"
        8","
Rocco Mediate
",82,80.03,593,741
8,1992,"
        9","
Mark McCumber
",81,79.86,555,695
9,1992,"
        10","
Russ Cochran
",96,79.84,693,868
10,1992,"
        11","
Ted Schulz
",106,79.82,720,902
11,1992,"
        12","
Mark Calcavecchia
",96,79.81,589,738
12,1992,"
        13","
Fred Couples
",84,79.8,545,683
13,1992,"
        14","
John Adams
",93,79.7,593,744
14,1992,"
        15","
David Peoples
",99,79.57,697,876
15,1992,"
        T16","
Steve Elkington
",86,79.56,619,778
16,1992,"
        T16","
Payne Stewart
",82,79.56,580,729
17,1992,"
        T18","
Dan Forsman
",109,79.52,769,967
18,1992,"
        T18","
Dan Pohl
",60,79.52,462,581
19,1992,"
        20","
Tim Simpson
",69,79.46,530,667
20,1992,"
        21","
Mike Standly
",99,79.32,744,938
21,1992,"
        22","
John Ross
",86,79.08,605,765
22,1992,"
        23","
Jim Gallagher Jr.
",105,79.01,749,948
23,1992,"
        24","
Brad Bryant
",113,78.86,772,979
24,1992,"
        25","
Fuzzy Zoeller
",62,78.74,426,541
25,1992,"
        26","
Steve Pate
",105,78.72,688,874
26,1992,"
        27","
Curtis Strange
",60,78.64,416,529
27,1992,"
        28","
Chip Beck
",89,78.58,631,803
28,1992,"
        29","
Paul Azinger
",86,78.57,594,756
29,1992,"
        30","
Roger Maltbie
",64,78.51,442,563
30,1992,"
        31","
Larry Silveira
",54,78.45,375,478
31,1992,"
        32","
Scott Gump
",111,78.41,817,1042
32,1992,"
        33","
Richard Zokol
",67,78.4,508,648
33,1992,"
        34","
Phil Blackmar
",80,78.37,518,661
34,1992,"
        35","
Gene Sauers
",78,78.29,559,714
35,1992,"
        36","
John Daly
",78,78.27,479,612
36,1992,"
        37","
Steve Lamontagne
",88,78.23,600,767
37,1992,"
        38","
Mark Brooks
",107,78.22,808,1033
38,1992,"
        39","
Ken Green
",87,78.19,631,807
