,"year","rank","player_name","rounds","gir_percent","total_greens_hit","num_holes"
0,2001,"
        1","
Charles Howell III
",89,58.96,204,346
1,2001,"
        2","
Kenny Perry
",94,58.12,229,394
2,2001,"
        3","
Tom Lehman
",82,57.69,210,364
3,2001,"
        4","
Bob Tway
",109,57.63,253,439
4,2001,"
        5","
Brandt Jobe
",96,57.35,234,408
5,2001,"
        6","
Cameron Beckman
",103,56.67,259,457
6,2001,"
        7","
Donnie Hammond
",51,56.65,115,203
7,2001,"
        8","
Chris Smith
",101,56.54,242,428
8,2001,"
        9","
Scott McCarron
",98,56.1,230,410
9,2001,"
        10","
Stephen Ames
",88,55.14,193,350
10,2001,"
        11","
Rocco Mediate
",69,54.98,160,291
11,2001,"
        12","
Fred Couples
",68,54.8,194,354
12,2001,"
        13","
Jeremy Anderson
",69,54.71,180,329
13,2001,"
        14","
Kirk Triplett
",88,54.7,157,287
14,2001,"
        15","
Chris Perry
",80,54.41,185,340
15,2001,"
        16","
Brent Schwarzrock
",63,54.35,125,230
16,2001,"
        17","
Joey Sindelar
",69,54.29,177,326
17,2001,"
        18","
Jeff Brehaut
",80,54.15,176,325
18,2001,"
        19","
Jason Gore
",82,53.98,210,389
19,2001,"
        20","
David Peoples
",96,53.97,204,378
20,2001,"
        21","
Briny Baird
",106,53.77,228,424
21,2001,"
        22","
Neal Lancaster
",107,53.74,244,454
22,2001,"
        23","
John Daly
",84,53.63,251,468
23,2001,"
        24","
Spike McRoy
",95,53.62,215,401
24,2001,"
        25","
Rich Beem
",91,53.58,202,377
25,2001,"
        26","
Bradley Hughes
",96,53.57,195,364
26,2001,"
        27","
Hal Sutton
",96,53.52,175,327
27,2001,"
        28","
Ronnie Black
",51,53.49,161,301
28,2001,"
        29","
Frank Nobilo
",91,53.47,185,346
29,2001,"
        30","
David Berganio Jr.
",76,53.36,159,298
30,2001,"
        31","
Lee Janzen
",96,53.32,217,407
31,2001,"
        32","
John Cook
",91,53.13,153,288
32,2001,"
        33","
Chris Tidland
",83,53.06,234,441
33,2001,"
        34","
Woody Austin
",99,52.9,219,414
34,2001,"
        35","
Tiger Woods
",76,52.84,214,405
35,2001,"
        36","
Kevin Johnson
",93,52.72,242,459
36,2001,"
        37","
K.J. Choi
",95,52.69,245,465
37,2001,"
        38","
Michael Muehr
",94,52.57,256,487
38,2001,"
        39","
Olin Browne
",99,52.47,170,324
39,2001,"
        T40","
Jay Haas
",75,52.41,152,290
40,2001,"
        T40","
Jerry Kelly
",104,52.41,239,456
41,2001,"
        42","
Jeff Sluman
",106,52.33,269,514
42,2001,"
        43","
Craig Barlow
",74,52.24,175,335
43,2001,"
        44","
Tommy Armour III
",93,52.17,204,391
44,2001,"
        45","
Paul Azinger
",79,52.16,181,347
45,2001,"
        46","
Brian Watts
",56,51.98,131,252
46,2001,"
        47","
Bob May
",86,51.97,198,381
47,2001,"
        48","
Greg Kraft
",105,51.96,239,460
48,2001,"
        49","
Paul Stankowski
",91,51.93,215,414
49,2001,"
        50","
Harrison Frazar
",88,51.92,203,391
50,2001,"
        51","
David Toms
",100,51.81,215,415
51,2001,"
        52","
Tim Herron
",97,51.72,225,435
52,2001,"
        53","
Joe Durant
",80,51.71,121,234
53,2001,"
        54","
Tommy Tolles
",89,51.65,219,424
54,2001,"
        55","
Marco Dawson
",57,51.41,146,284
55,2001,"
        56","
Fulton Allem
",56,51.39,111,216
56,2001,"
        57","
Skip Kendall
",111,51.38,205,399
57,2001,"
        58","
J.J. Henry
",86,51.31,176,343
58,2001,"
        59","
Greg Chalmers
",92,51.3,197,384
59,2001,"
        60","
Kaname Yokoo
",81,51.15,178,348
60,2001,"
        61","
Glen Hnatiuk
",104,51.12,160,313
61,2001,"
        62","
Steve Pate
",89,51.06,217,425
62,2001,"
        63","
Bill Glasson
",69,50.9,142,279
63,2001,"
        64","
Michael Clark II
",87,50.79,193,380
64,2001,"
        65","
Russ Cochran
",76,50.68,150,296
65,2001,"
        66","
Jonathan Kaye
",116,50.53,237,469
66,2001,"
        67","
John Riegger
",86,50.46,165,327
67,2001,"
        68","
Cliff Kresge
",84,50.38,198,393
68,2001,"
        69","
Vijay Singh
",98,50.32,235,467
69,2001,"
        70","
Shaun Micheel
",103,50.31,240,477
70,2001,"
        71","
Lee Porter
",93,50.28,177,352
71,2001,"
        72","
Steve Flesch
",112,50.2,246,490
72,2001,"
        73","
Brett Quigley
",67,50.15,165,329
73,2001,"
        74","
Ian Leggatt
",84,50.14,183,365
74,2001,"
        75","
Esteban Toledo
",116,50.11,219,437
