,"year","rank","player_name","rounds","missed_frwy_other_percent","total_missed_other","possible_fairways","relative_to_par"
0,2001,"
        T1","
Steve Allan
",88,0,0,11,"E"
1,2001,"
        T1","
Fulton Allem
",56,0,0,32,"E"
2,2001,"
        T1","
Jeremy Anderson
",69,0,0,12,"E"
3,2001,"
        T1","
Billy Andrade
",82,0,0,16,"E"
4,2001,"
        T1","
Stuart Appleby
",105,0,0,55,"E"
5,2001,"
        T1","
Tommy Armour III
",93,0,0,45,"E"
6,2001,"
        T1","
Briny Baird
",106,0,0,40,"E"
7,2001,"
        T1","
Doug Barron
",62,0,0,17,"E"
8,2001,"
        T1","
Rich Beem
",91,0,0,4,"E"
9,2001,"
        T1","
David Berganio Jr.
",76,0,0,25,"E"
10,2001,"
        T1","
Jay Don Blake
",100,0,0,58,"E"
11,2001,"
        T1","
Mark Brooks
",88,0,0,27,"E"
12,2001,"
        T1","
Tom Byrum
",85,0,0,34,"E"
13,2001,"
        T1","
Mark Calcavecchia
",81,0,0,32,"E"
14,2001,"
        T1","
Jim Carter
",103,0,0,52,"E"
15,2001,"
        T1","
Brandel Chamblee
",77,0,0,11,"E"
16,2001,"
        T1","
K.J. Choi
",95,0,0,12,"E"
17,2001,"
        T1","
Keith Clearwater
",62,0,0,9,"E"
18,2001,"
        T1","
José Coceres
",60,0,0,57,"E"
19,2001,"
        T1","
Richie Coughlan
",66,0,0,9,"E"
20,2001,"
        T1","
John Daly
",84,0,0,23,"E"
21,2001,"
        T1","
Robert Damron
",91,0,0,40,"E"
22,2001,"
        T1","
Marco Dawson
",57,0,0,26,"E"
23,2001,"
        T1","
Doug Dunakey
",83,0,0,22,"E"
24,2001,"
        T1","
Scott Dunlap
",80,0,0,17,"E"
25,2001,"
        T1","
Joe Durant
",80,0,0,41,"E"
26,2001,"
        T1","
Joel Edwards
",99,0,0,43,"E"
27,2001,"
        T1","
Ernie Els
",70,0,0,39,"E"
28,2001,"
        T1","
Ben Ferguson
",76,0,0,12,"E"
29,2001,"
        T1","
Carlos Franco
",87,0,0,24,"E"
30,2001,"
        T1","
Robin Freeman
",105,0,0,23,"E"
31,2001,"
        T1","
David Frost
",87,0,0,36,"E"
32,2001,"
        T1","
Edward Fryatt
",93,0,0,15,"E"
33,2001,"
        T1","
Fred Funk
",118,0,0,44,"E"
34,2001,"
        T1","
Jim Furyk
",88,0,0,42,"E"
35,2001,"
        T1","
Robert Gamez
",59,0,0,4,"E"
36,2001,"
        T1","
Brent Geiberger
",84,0,0,34,"E"
37,2001,"
        T1","
Bill Glasson
",69,0,0,34,"E"
38,2001,"
        T1","
Mathew Goggin
",96,0,0,42,"E"
39,2001,"
        T1","
Jason Gore
",82,0,0,21,"E"
40,2001,"
        T1","
Paul Gow
",79,0,0,15,"E"
41,2001,"
        T1","
J.J. Henry
",86,0,0,37,"E"
42,2001,"
        T1","
Mark Hensby
",71,0,0,6,"E"
43,2001,"
        T1","
Tim Herron
",97,0,0,4,"E"
44,2001,"
        T1","
Gabriel Hjertstedt
",76,0,0,21,"E"
45,2001,"
        T1","
Glen Hnatiuk
",104,0,0,33,"E"
46,2001,"
        T1","
Scott Hoch
",84,0,0,37,"E"
47,2001,"
        T1","
Charles Howell III
",89,0,0,55,"E"
48,2001,"
        T1","
John Huston
",64,0,0,19,"E"
49,2001,"
        T1","
Lee Janzen
",96,0,0,56,"E"
50,2001,"
        T1","
Brandt Jobe
",96,0,0,22,"E"
51,2001,"
        T1","
Kevin Johnson
",93,0,0,11,"E"
52,2001,"
        T1","
Kent Jones
",74,0,0,12,"E"
53,2001,"
        T1","
Steve Jones
",75,0,0,16,"E"
54,2001,"
        T1","
Jonathan Kaye
",116,0,0,33,"E"
55,2001,"
        T1","
Cliff Kresge
",84,0,0,12,"E"
56,2001,"
        T1","
Neal Lancaster
",107,0,0,34,"E"
57,2001,"
        T1","
Ian Leggatt
",84,0,0,32,"E"
58,2001,"
        T1","
J.L. Lewis
",108,0,0,50,"E"
59,2001,"
        T1","
Jeff Maggert
",84,0,0,34,"E"
60,2001,"
        T1","
Shigeki Maruyama
",98,0,0,35,"E"
61,2001,"
        T1","
Len Mattiace
",98,0,0,25,"E"
62,2001,"
        T1","
Bob May
",86,0,0,20,"E"
63,2001,"
        T1","
Blaine McCallister
",80,0,0,44,"E"
64,2001,"
        T1","
Jim McGovern
",66,0,0,3,"E"
65,2001,"
        T1","
Spike McRoy
",95,0,0,34,"E"
66,2001,"
        T1","
Rocco Mediate
",69,0,0,31,"E"
67,2001,"
        T1","
Larry Mize
",76,0,0,31,"E"
68,2001,"
        T1","
David Morland IV
",88,0,0,32,"E"
69,2001,"
        T1","
Sean Murphy
",70,0,0,8,"E"
70,2001,"
        T1","
Gary Nicklaus
",96,0,0,19,"E"
71,2001,"
        T1","
Geoff Ogilvy
",60,0,0,22,"E"
72,2001,"
        T1","
Craig Parry
",68,0,0,19,"E"
73,2001,"
        T1","
Carl Paulson
",93,0,0,44,"E"
74,2001,"
        T1","
Dennis Paulson
",75,0,0,3,"E"
75,2001,"
        T1","
Craig Perks
",78,0,0,33,"E"
76,2001,"
        T1","
Lee Porter
",93,0,0,26,"E"
77,2001,"
        T1","
Nick Price
",74,0,0,45,"E"
78,2001,"
        T1","
Dicky Pride
",78,0,0,22,"E"
79,2001,"
        T1","
John Riegger
",86,0,0,48,"E"
80,2001,"
        T1","
Chris Riley
",104,0,0,29,"E"
81,2001,"
        T1","
Loren Roberts
",84,0,0,32,"E"
82,2001,"
        T1","
Vijay Singh
",98,0,0,70,"E"
83,2001,"
        T1","
Chris Smith
",101,0,0,23,"E"
84,2001,"
        T1","
Jerry Smith
",95,0,0,37,"E"
85,2001,"
        T1","
Mike Sposa
",96,0,0,44,"E"
86,2001,"
        T1","
Kevin Sutherland
",101,0,0,45,"E"
87,2001,"
        T1","
Hal Sutton
",96,0,0,40,"E"
88,2001,"
        T1","
Chris Tidland
",83,0,0,11,"E"
89,2001,"
        T1","
Esteban Toledo
",116,0,0,32,"E"
90,2001,"
        T1","
Tommy Tolles
",89,0,0,9,"E"
91,2001,"
        T1","
Ted Tryba
",110,0,0,41,"E"
92,2001,"
        T1","
Grant Waite
",78,0,0,40,"E"
93,2001,"
        T1","
Rocky Walcher
",59,0,0,21,"E"
94,2001,"
        T1","
Duffy Waldorf
",77,0,0,17,"E"
95,2001,"
        T1","
Mark Wiebe
",62,0,0,3,"E"
96,2001,"
        T1","
Garrett Willis
",88,0,0,32,"E"
97,2001,"
        98","
Stewart Cink
",102,1.18,1,85,1
98,2001,"
        99","
Billy Mayfair
",102,1.41,1,71,1
99,2001,"
        100","
Kenny Perry
",94,1.47,1,68,"E"
100,2001,"
        101","
Bob Estes
",91,1.61,1,62,1
101,2001,"
        T102","
Frank Lickliter II
",102,1.72,1,58,"E"
102,2001,"
        T102","
Jesper Parnevik
",91,1.72,1,58,"E"
103,2001,"
        104","
Brian Henninger
",81,1.75,1,57,-1
104,2001,"
        T105","
Steve Flesch
",112,1.79,1,56,"E"
105,2001,"
        T105","
David Peoples
",96,1.79,1,56,"E"
106,2001,"
        107","
Greg Kraft
",105,1.82,1,55,"E"
107,2001,"
        108","
Skip Kendall
",111,1.85,1,54,1
108,2001,"
        109","
David Duval
",78,1.92,1,52,1
109,2001,"
        110","
David Toms
",100,1.96,1,51,1
110,2001,"
        111","
Bernhard Langer
",62,2,1,50,1
111,2001,"
        112","
Mike Weir
",86,2.08,1,48,-1
112,2001,"
        113","
Tom Pernice Jr.
",106,2.13,1,47,-1
113,2001,"
        114","
Andrew Magee
",97,2.22,1,45,"E"
114,2001,"
        T115","
John Cook
",91,2.27,1,44,"E"
115,2001,"
        T115","
Danny Ellis
",76,2.27,1,44,"E"
