,"year","rank","player_name","rounds","one_putt_percent","num_one_putts","num_holes"
0,1992,"
        1","
David Frost
",81,42.04,613,1458
1,1992,"
        2","
Frank Conner
",87,40.93,641,1566
2,1992,"
        3","
Mitch Adcock
",75,40.74,550,1350
3,1992,"
        4","
Bill Britton
",84,40.16,600,1494
4,1992,"
        5","
Morris Hatalsky
",75,39.93,539,1350
5,1992,"
        6","
Loren Roberts
",102,39.87,732,1836
6,1992,"
        7","
J.P. Hayes
",73,39.65,521,1314
7,1992,"
        8","
John Inman
",98,39.51,697,1764
8,1992,"
        9","
Ben Crenshaw
",82,39.43,582,1476
9,1992,"
        10","
Jeff Maggert
",89,39.33,630,1602
10,1992,"
        11","
Stan Utley
",73,39.27,509,1296
11,1992,"
        12","
Hubert Green
",50,39.11,352,900
12,1992,"
        13","
Keith Clearwater
",107,39.1,746,1908
13,1992,"
        14","
Jerry Haas
",59,39.08,415,1062
14,1992,"
        15","
Bob Lohr
",89,39.01,625,1602
15,1992,"
        16","
Greg Kraft
",81,38.96,568,1458
16,1992,"
        17","
Ronnie Black
",89,38.83,622,1602
17,1992,"
        18","
Dave Schreyer
",53,38.68,369,954
18,1992,"
        19","
Jim McGovern
",101,38.61,702,1818
19,1992,"
        20","
Mike Springer
",85,38.56,583,1512
20,1992,"
        21","
Tom Byrum
",76,38.52,527,1368
21,1992,"
        22","
Dudley Hart
",95,38.48,651,1692
22,1992,"
        23","
Tom Sieckmann
",93,38.35,642,1674
23,1992,"
        T24","
P.H. Horgan III
",75,38.22,516,1350
24,1992,"
        T24","
Jodie Mudd
",66,38.22,454,1188
25,1992,"
        26","
David Toms
",87,38.19,598,1566
26,1992,"
        27","
Lon Hinkle
",58,38.12,398,1044
27,1992,"
        28","
E.J. Pfister
",58,37.93,396,1044
28,1992,"
        29","
Kim Young
",67,37.89,457,1206
29,1992,"
        30","
Mark Wiebe
",83,37.88,566,1494
30,1992,"
        31","
Jerry Anderson
",87,37.74,591,1566
31,1992,"
        T32","
Marco Dawson
",80,37.64,542,1440
32,1992,"
        T32","
Peter Persons
",99,37.64,664,1764
33,1992,"
        34","
Howard Twitty
",85,37.63,569,1512
34,1992,"
        35","
Ed Dougherty
",108,37.59,724,1926
35,1992,"
        36","
Buddy Gardner
",89,37.58,602,1602
36,1992,"
        37","
David Edwards
",94,37.47,634,1692
37,1992,"
        38","
John Huston
",105,37.41,707,1890
38,1992,"
        39","
Chris Perry
",79,37.39,525,1404
39,1992,"
        40","
Jon Chaffee
",66,37.37,444,1188
40,1992,"
        41","
Larry Rinker
",82,37.2,549,1476
41,1992,"
        42","
D.A. Weibring
",81,37.17,542,1458
42,1992,"
        43","
Rick Fehr
",85,37.12,568,1530
43,1992,"
        44","
Bob Wolcott
",102,37.04,680,1836
44,1992,"
        45","
Wayne Levi
",83,37.01,553,1494
45,1992,"
        T46","
Jay Delsing
",93,36.98,619,1674
46,1992,"
        T46","
Tom Kite
",91,36.98,599,1620
47,1992,"
        48","
Don Pooley
",57,36.94,379,1026
48,1992,"
        49","
Carl Cooper
",76,36.92,505,1368
49,1992,"
        50","
Dick Mast
",73,36.91,485,1314
50,1992,"
        51","
Greg Whisman
",78,36.89,518,1404
51,1992,"
        52","
Steve Hart
",90,36.85,597,1620
52,1992,"
        53","
Dicky Thompson
",70,36.83,464,1260
53,1992,"
        54","
Doug Martin
",85,36.8,563,1530
54,1992,"
        T55","
Dave Rummells
",96,36.75,635,1728
55,1992,"
        T55","
Bob Tway
",65,36.75,430,1170
56,1992,"
        57","
Mike Standly
",99,36.7,654,1782
57,1992,"
        58","
Ed Fiori
",97,36.69,634,1728
58,1992,"
        59","
Chip Beck
",89,36.68,581,1584
59,1992,"
        60","
Jeff Sluman
",111,36.64,732,1998
60,1992,"
        T61","
Michael Cunning
",82,36.52,539,1476
61,1992,"
        T61","
Corey Pavin
",89,36.52,585,1602
62,1992,"
        63","
Mark Brooks
",107,36.5,703,1926
63,1992,"
        64","
Kenny Knox
",82,36.49,532,1458
64,1992,"
        65","
Lee Janzen
",104,36.43,682,1872
65,1992,"
        66","
Lanny Wadkins
",87,36.33,569,1566
66,1992,"
        T67","
Brad Faxon
",89,36.27,581,1602
67,1992,"
        T67","
Gary Hallberg
",87,36.27,568,1566
68,1992,"
        T69","
Brad Bryant
",113,36.23,737,2034
69,1992,"
        T69","
Brad Fabel
",94,36.23,613,1692
70,1992,"
        71","
Larry Mize
",81,36.21,528,1458
71,1992,"
        T72","
Phil Blackmar
",80,36.18,521,1440
72,1992,"
        T72","
Robert Wrenn
",82,36.18,534,1476
73,1992,"
        74","
Bruce Fleisher
",102,36.17,664,1836
74,1992,"
        75","
Lance Ten Broeck
",107,36.09,695,1926
75,1992,"
        76","
Kelly Gibson
",93,36.08,604,1674
76,1992,"
        T77","
Greg Lesher
",78,36.04,506,1404
77,1992,"
        T77","
Doug Tewell
",76,36.04,493,1368
78,1992,"
        79","
Jay Haas
",104,36,674,1872
79,1992,"
        80","
Fred Funk
",109,35.98,706,1962
80,1992,"
        81","
Jay Don Blake
",78,35.97,505,1404
81,1992,"
        82","
Peter Jacobsen
",93,35.96,602,1674
82,1992,"
        T83","
Ed Humenik
",100,35.86,639,1782
83,1992,"
        T83","
Tony Sills
",66,35.86,426,1188
84,1992,"
        T83","
Bruce Zabriski
",80,35.86,510,1422
85,1992,"
        86","
Brad Bell
",54,35.8,348,972
86,1992,"
        87","
Mike Smith
",106,35.74,682,1908
87,1992,"
        88","
Fran Quinn
",61,35.7,392,1098
88,1992,"
        T89","
Brian Claar
",99,35.69,636,1782
89,1992,"
        T89","
Duffy Waldorf
",86,35.69,546,1530
90,1992,"
        91","
Greg Twiggs
",52,35.68,334,936
91,1992,"
        92","
Mike Donald
",101,35.64,648,1818
92,1992,"
        93","
Bob Friend
",97,35.62,622,1746
93,1992,"
        94","
David Canipe
",78,35.57,493,1386
94,1992,"
        95","
David Ogrin
",80,35.56,512,1440
95,1992,"
        96","
Steve Lamontagne
",88,35.54,563,1584
96,1992,"
        97","
Mike Sullivan
",80,35.49,511,1440
97,1992,"
        98","
Billy Ray Brown
",75,35.48,479,1350
98,1992,"
        99","
Blaine McCallister
",96,35.47,613,1728
99,1992,"
        100","
Dan Forsman
",109,35.44,689,1944
100,1992,"
        T101","
Dave Peege
",69,35.43,440,1242
101,1992,"
        T101","
Payne Stewart
",82,35.43,523,1476
