,"year","rank","player_name","rounds","birdie_plus_percent","total_birdie_or_better","par4_holes"
0,1980,"
        1","
Jerry Pate
",95,18.03,185,1026
1,1980,"
        2","
Andy Bean
",104,17.44,196,1124
2,1980,"
        3","
Lee Trevino
",82,17.3,154,890
3,1980,"
        4","
George Burns
",106,16.7,190,1138
4,1980,"
        5","
Ben Crenshaw
",101,16.48,180,1092
5,1980,"
        6","
Tom Watson
",88,16.14,153,948
6,1980,"
        7","
Jack Nicklaus
",49,15.79,84,532
7,1980,"
        8","
Lon Hinkle
",78,15.74,136,864
8,1980,"
        9","
Mike Reid
",111,15.33,176,1148
9,1980,"
        10","
John Mahaffey
",89,15.31,147,960
10,1980,"
        11","
Rod Curl
",99,15.28,162,1060
11,1980,"
        12","
Howard Twitty
",108,15.2,173,1138
12,1980,"
        13","
Rik Massengale
",55,15.04,88,585
13,1980,"
        14","
Calvin Peete
",96,15.01,153,1019
14,1980,"
        15","
Larry Nelson
",103,14.83,161,1086
15,1980,"
        16","
Keith Fergus
",91,14.62,143,978
16,1980,"
        17","
Tom Kite
",96,14.58,149,1022
17,1980,"
        18","
Hubert Green
",85,14.56,131,900
18,1980,"
        19","
Dan Pohl
",96,14.5,148,1021
19,1980,"
        20","
Alan Tapie
",96,14.48,146,1008
20,1980,"
        21","
Mike Sullivan
",95,14.47,145,1002
21,1980,"
        22","
Beau Baugh
",62,14.42,94,652
22,1980,"
        T23","
David Edwards
",79,14.4,121,840
23,1980,"
        T23","
Curtis Strange
",114,14.4,177,1229
24,1980,"
        25","
Bobby Walzel
",83,14.35,126,878
25,1980,"
        T26","
Mark Lye
",104,14.31,158,1104
26,1980,"
        T26","
Bob Shearer
",52,14.31,75,524
27,1980,"
        T28","
Hale Irwin
",87,14.29,132,924
28,1980,"
        T28","
Doug Tewell
",91,14.29,140,980
29,1980,"
        30","
George Cadle
",97,14.26,146,1024
30,1980,"
        31","
Peter Jacobsen
",102,14.2,150,1056
31,1980,"
        32","
Tommy Valentine
",74,14.03,111,791
32,1980,"
        33","
Dave Eichelberger
",110,13.98,156,1116
33,1980,"
        T34","
Bruce Devlin
",55,13.95,84,602
34,1980,"
        T34","
Mike Morley
",87,13.95,123,882
35,1980,"
        T36","
Phillip Hancock
",89,13.93,128,919
36,1980,"
        T36","
Jim Thorpe
",80,13.93,119,854
37,1980,"
        T38","
Andy North
",81,13.92,118,848
38,1980,"
        T38","
Tom Weiskopf
",88,13.92,132,948
39,1980,"
        40","
D.A. Weibring
",93,13.85,136,982
40,1980,"
        41","
Bill Rogers
",98,13.82,147,1064
41,1980,"
        42","
John Adams
",61,13.81,87,630
42,1980,"
        43","
Craig Stadler
",91,13.8,133,964
43,1980,"
        44","
Johnny Miller
",62,13.76,93,676
44,1980,"
        45","
Fuzzy Zoeller
",80,13.68,119,870
45,1980,"
        46","
Jim Nelford
",100,13.65,145,1062
46,1980,"
        47","
Terry Mauney
",99,13.63,136,998
47,1980,"
        T48","
George Archer
",112,13.61,162,1190
48,1980,"
        T48","
Dana Quigley
",84,13.61,123,904
49,1980,"
        50","
Gibby Gilbert
",92,13.6,133,978
50,1980,"
        T51","
Jim Colbert
",93,13.58,135,994
51,1980,"
        T51","
David Graham
",71,13.58,104,766
52,1980,"
        T53","
Miller Barber
",107,13.57,152,1120
53,1980,"
        T53","
Ed Fiori
",105,13.57,152,1120
54,1980,"
        T55","
Leonard Thompson
",100,13.56,141,1040
55,1980,"
        T55","
Larry Ziegler
",84,13.56,120,885
56,1980,"
        T57","
Bud Allin
",89,13.53,122,902
57,1980,"
        T57","
Tom Jones
",51,13.53,72,532
58,1980,"
        59","
Gary McCord
",60,13.48,86,638
59,1980,"
        T60","
Bobby Cole
",54,13.46,77,572
60,1980,"
        T60","
Raymond Floyd
",103,13.46,147,1092
61,1980,"
        T60","
Steve Melnyk
",75,13.46,109,810
62,1980,"
        63","
Don Pooley
",98,13.45,141,1048
63,1980,"
        64","
Don January
",48,13.42,69,514
64,1980,"
        65","
Gil Morgan
",88,13.39,126,941
65,1980,"
        66","
Roger Calvin
",62,13.35,86,644
66,1980,"
        67","
John Fought
",102,13.33,144,1080
67,1980,"
        68","
Jeff Mitchell
",90,13.32,126,946
68,1980,"
        69","
Wayne Levi
",102,13.31,144,1082
69,1980,"
        70","
Jack Renner
",87,13.3,121,910
