,"year","rank","player_name","rounds","to_par","par4_avg","total_par"
0,1983,"
        1","
Calvin Peete
",87,-7,3.99,3656
1,1983,"
        2","
Lanny Wadkins
",86,3,4,3636
2,1983,"
        3","
Isao Aoki
",57,7,4.01,2360
3,1983,"
        4","
Raymond Floyd
",89,12,4.01,3712
4,1983,"
        5","
Hale Irwin
",82,18,4.02,3480
5,1983,"
        6","
Wayne Levi
",84,20,4.02,3432
6,1983,"
        7","
Lee Trevino
",60,27,4.04,2532
7,1983,"
        8","
Tom Kite
",93,31,4.03,3904
8,1983,"
        9","
Tom Watson
",66,33,4.05,2768
9,1983,"
        T10","
Bruce Lietzke
",77,35,4.04,3248
10,1983,"
        T10","
Johnny Miller
",71,35,4.05,3012
11,1983,"
        12","
Jerry Pate
",53,36,4.07,2208
12,1983,"
        13","
Don Pooley
",107,39,4.03,4472
13,1983,"
        14","
Jack Nicklaus
",58,40,4.06,2464
14,1983,"
        15","
David Graham
",88,42,4.04,3760
15,1983,"
        16","
Scott Hoch
",92,43,4.04,3896
16,1983,"
        17","
Mark McCumber
",99,47,4.04,4240
17,1983,"
        T18","
Gary Koch
",107,48,4.04,4540
18,1983,"
        T18","
Fuzzy Zoeller
",106,48,4.04,4528
19,1983,"
        T20","
Ronnie Black
",82,49,4.06,3424
20,1983,"
        T20","
Danny Edwards
",81,49,4.06,3488
21,1983,"
        22","
Payne Stewart
",111,51,4.04,4680
22,1983,"
        23","
Jack Renner
",94,54,4.05,3940
23,1983,"
        24","
Lance Ten Broeck
",57,55,4.09,2424
24,1983,"
        25","
Gil Morgan
",98,56,4.05,4128
25,1983,"
        26","
Lon Hinkle
",100,57,4.05,4216
26,1983,"
        T27","
Rex Caldwell
",108,58,4.05,4544
27,1983,"
        T27","
Gibby Gilbert
",65,58,4.08,2736
28,1983,"
        T27","
D.A. Weibring
",77,58,4.07,3216
29,1983,"
        30","
David Edwards
",88,59,4.06,3716
30,1983,"
        T31","
Fred Couples
",108,60,4.05,4536
31,1983,"
        T31","
Lee Elder
",87,60,4.07,3684
32,1983,"
        33","
Scott Simpson
",98,61,4.06,4120
33,1983,"
        T34","
George Cadle
",54,62,4.11,2248
34,1983,"
        T34","
Doug Tewell
",87,62,4.07,3704
