,"year","rank","player_name","rounds","putting_avg","gir_putts","greens_hit","birdie_conversion"
0,1986,"
        1","
Greg Norman
",72,1.736,1514,872,3.56
1,1986,"
        2","
Raymond Floyd
",77,1.758,1603,912,3.05
2,1986,"
        3","
Rick Fehr
",85,1.761,1733,984,2.93
3,1986,"
        T4","
Bernhard Langer
",67,1.764,1390,788,3.06
4,1986,"
        T4","
Bob Tway
",110,1.764,2352,1333,3.02
5,1986,"
        T6","
Hal Sutton
",95,1.766,2061,1167,3.02
6,1986,"
        T6","
Lanny Wadkins
",89,1.766,1890,1070,2.93
7,1986,"
        T8","
Jack Renner
",79,1.767,1574,891,2.78
8,1986,"
        T8","
Fuzzy Zoeller
",70,1.767,1468,831,3.08
9,1986,"
        T10","
Jim Colbert
",75,1.768,1540,871,2.82
10,1986,"
        T10","
Kenny Knox
",102,1.768,2019,1142,2.93
11,1986,"
        T10","
Calvin Peete
",87,1.768,1968,1113,2.68
12,1986,"
        T10","
Craig Stadler
",82,1.768,1687,954,3.16
13,1986,"
        T10","
Payne Stewart
",95,1.768,2051,1160,3.09
14,1986,"
        15","
Charles Bolling
",106,1.769,2029,1147,2.89
15,1986,"
        16","
Gary Koch
",88,1.771,1895,1070,2.93
16,1986,"
        T17","
Larry Mize
",86,1.776,1883,1060,2.95
17,1986,"
        T17","
Don Pooley
",93,1.776,1934,1089,2.93
18,1986,"
        T19","
Danny Edwards
",91,1.777,1928,1085,2.74
19,1986,"
        T19","
Dan Forsman
",72,1.777,1400,788,2.74
20,1986,"
        T21","
Ben Crenshaw
",88,1.778,1860,1046,2.79
21,1986,"
        T21","
Mike Sullivan
",82,1.778,1636,920,2.95
22,1986,"
        23","
Bruce Lietzke
",75,1.78,1639,921,2.89
23,1986,"
        T24","
Chip Beck
",100,1.781,2082,1169,2.96
24,1986,"
        T24","
Scott Simpson
",73,1.781,1555,873,2.74
25,1986,"
        T24","
Bobby Wadkins
",107,1.781,2321,1303,2.83
26,1986,"
        27","
Jim Simons
",77,1.782,1493,838,2.78
27,1986,"
        T28","
Hubert Green
",80,1.783,1564,877,2.68
28,1986,"
        T28","
Jeff Sluman
",105,1.783,2138,1199,2.74
29,1986,"
        T28","
D.A. Weibring
",81,1.783,1737,974,2.86
30,1986,"
        31","
Jim Thorpe
",85,1.784,1804,1011,2.89
31,1986,"
        32","
Bobby Clampett
",101,1.785,1985,1112,3.05
32,1986,"
        T33","
Tom Kite
",92,1.787,2021,1131,2.59
33,1986,"
        T33","
Curtis Strange
",88,1.787,1871,1047,2.78
34,1986,"
        T35","
John Cook
",92,1.789,1997,1116,2.71
35,1986,"
        T35","
David Graham
",67,1.789,1404,785,2.75
36,1986,"
        T37","
Dick Mast
",80,1.79,1659,927,2.59
37,1986,"
        T37","
Tom Watson
",61,1.79,1380,771,3
38,1986,"
        T39","
Rod Curl
",88,1.791,1689,943,2.63
39,1986,"
        T39","
Wayne Levi
",89,1.791,1943,1085,2.65
40,1986,"
        T39","
Willie Wood
",96,1.791,1983,1107,2.74
41,1986,"
        T42","
Morris Hatalsky
",92,1.792,1720,960,2.82
42,1986,"
        T42","
Corey Pavin
",92,1.792,1939,1082,2.72
