,"year","rank","player_name","rounds","putt_per_round","total_putts","total_rounds","low_total_putts"
0,1980,"
        1","
Jerry Pate
",95,28.81,2737,95,999
1,1980,"
        2","
Dave Hill
",85,28.86,2453,85,999
2,1980,"
        T3","
George Burns
",106,28.93,3067,106,999
3,1980,"
        T3","
Tom Watson
",88,28.93,2546,88,999
4,1980,"
        T5","
Jim Nelford
",100,28.94,2894,100,999
5,1980,"
        T5","
Lonnie Nielsen
",87,28.94,2373,82,999
6,1980,"
        7","
Don January
",48,28.96,1390,48,999
7,1980,"
        8","
Raymond Floyd
",103,29.05,2992,103,999
8,1980,"
        9","
Morris Hatalsky
",86,29.07,2500,86,999
9,1980,"
        10","
Rod Funseth
",51,29.08,1483,51,999
10,1980,"
        11","
Andy North
",81,29.09,2356,81,999
11,1980,"
        T12","
Ben Crenshaw
",101,29.11,2940,101,999
12,1980,"
        T12","
Mike Morley
",87,29.11,2387,82,999
13,1980,"
        T14","
Bruce Devlin
",55,29.13,1602,55,999
14,1980,"
        T14","
Greg Powers
",71,29.13,2068,71,999
15,1980,"
        16","
Don Pooley
",98,29.15,2857,98,999
16,1980,"
        17","
Steve Melnyk
",75,29.16,2187,75,999
17,1980,"
        18","
George Archer
",112,29.22,3273,112,999
18,1980,"
        T19","
Jack Ferenz
",49,29.24,1433,49,999
19,1980,"
        T19","
Craig Stadler
",91,29.24,2661,91,999
20,1980,"
        21","
Rod Curl
",99,29.26,2897,99,999
21,1980,"
        22","
Andy Bean
",104,29.27,3044,104,999
22,1980,"
        23","
J.C. Snead
",113,29.33,3314,113,999
23,1980,"
        24","
Bud Allin
",89,29.35,2495,85,999
24,1980,"
        25","
Jim Chancey
",66,29.38,1939,66,999
25,1980,"
        26","
Gary Koch
",93,29.4,2734,93,999
26,1980,"
        T27","
Barry Jaeckel
",96,29.41,2823,96,999
27,1980,"
        T27","
Lee Trevino
",82,29.41,2412,82,999
28,1980,"
        29","
Tom Kite
",96,29.43,2825,96,999
29,1980,"
        T30","
Mike McCullough
",56,29.46,1650,56,999
30,1980,"
        T30","
D.A. Weibring
",93,29.46,2740,93,999
31,1980,"
        32","
Mike Hill
",87,29.47,2505,85,999
