,"year","rank","player_name","rounds","scrambling_percent","par_better","missed_gir"
0,1992,"
        1","
Nick Price
",99,68.26,329,482
1,1992,"
        2","
Jay Haas
",104,66.35,349,526
2,1992,"
        3","
Larry Mize
",81,66.05,284,430
3,1992,"
        4","
David Edwards
",94,65.91,350,531
4,1992,"
        5","
Corey Pavin
",89,65.59,305,465
5,1992,"
        6","
Keith Clearwater
",107,65.43,371,567
6,1992,"
        7","
Bruce Fleisher
",102,65.38,374,572
7,1992,"
        8","
D.A. Weibring
",81,64.99,310,477
8,1992,"
        9","
Jeff Maggert
",89,64.75,316,488
9,1992,"
        10","
Nolan Henke
",86,64.67,291,450
10,1992,"
        11","
John Cook
",79,64.6,219,339
11,1992,"
        12","
Loren Roberts
",102,64.45,359,557
12,1992,"
        13","
Don Pooley
",57,64.42,201,312
13,1992,"
        14","
John Inman
",98,64.33,413,642
14,1992,"
        15","
Rick Fehr
",85,64.24,291,453
15,1992,"
        16","
Peter Jacobsen
",93,64.13,345,538
16,1992,"
        17","
Jim McGovern
",101,63.94,383,599
17,1992,"
        T18","
Chip Beck
",89,63.77,294,461
18,1992,"
        T18","
Ronnie Black
",89,63.77,338,530
19,1992,"
        20","
Lee Janzen
",104,63.39,355,560
20,1992,"
        21","
Fred Couples
",84,63.35,242,382
21,1992,"
        22","
Bruce Lietzke
",66,63.28,212,335
22,1992,"
        23","
Brad Faxon
",89,63.13,327,518
23,1992,"
        24","
Raymond Floyd
",60,63.1,183,290
24,1992,"
        25","
Davis Love III
",92,62.93,292,464
25,1992,"
        26","
Bill Britton
",84,62.87,315,501
26,1992,"
        27","
Tom Kite
",91,62.81,282,449
27,1992,"
        28","
Mike Reid
",77,62.8,265,422
28,1992,"
        29","
Tom Sieckmann
",93,62.73,335,534
29,1992,"
        30","
Mark Brooks
",107,62.61,345,551
30,1992,"
        31","
Dan Forsman
",109,62.59,348,556
31,1992,"
        32","
Mark Wiebe
",83,62.35,303,486
32,1992,"
        33","
Ben Crenshaw
",82,62.24,305,490
33,1992,"
        34","
Tom Lehman
",103,62.22,303,487
34,1992,"
        T35","
John Huston
",105,62.15,353,568
35,1992,"
        T35","
Doug Tewell
",76,62.15,243,391
36,1992,"
        37","
Peter Persons
",99,62,341,550
37,1992,"
        38","
Craig Stadler
",82,61.96,246,397
38,1992,"
        39","
Steve Elkington
",86,61.92,252,407
39,1992,"
        40","
Duffy Waldorf
",86,61.8,275,445
40,1992,"
        41","
Brian Claar
",99,61.65,328,532
