,"year","rank","player_name","rounds","sg_app_green_avg","total_sg_app_green","measured_rounds"
0,2004,"
        1","
Sergio Garcia
",65,1.211,60.568,50
1,2004,"
        2","
Vijay Singh
",112,1.116,99.362,89
2,2004,"
        3","
Scott Verplank
",92,0.971,66.045,68
3,2004,"
        4","
David Toms
",80,0.968,57.089,59
4,2004,"
        5","
Justin Rose
",77,0.882,55.557,63
5,2004,"
        6","
Tiger Woods
",78,0.873,47.152,54
6,2004,"
        7","
Jay Haas
",84,0.862,52.561,61
7,2004,"
        8","
Jeff Sluman
",98,0.76,62.321,82
8,2004,"
        9","
Stewart Cink
",103,0.724,57.22,79
9,2004,"
        10","
Scott Hoch
",52,0.721,33.144,46
10,2004,"
        11","
Stephen Ames
",97,0.712,56.928,80
11,2004,"
        12","
Ernie Els
",62,0.709,29.069,41
12,2004,"
        13","
John Huston
",62,0.701,31.528,45
13,2004,"
        14","
Lee Janzen
",84,0.692,48.41,70
14,2004,"
        15","
Tim Clark
",84,0.691,49.042,71
15,2004,"
        16","
Joey Sindelar
",100,0.679,60.427,89
16,2004,"
        17","
Robert Allenby
",93,0.675,48.592,72
17,2004,"
        18","
Chad Campbell
",100,0.66,50.849,77
18,2004,"
        T19","
Jerry Kelly
",113,0.616,54.224,88
19,2004,"
        T19","
Bernhard Langer
",59,0.616,25.89,42
20,2004,"
        21","
Retief Goosen
",56,0.604,24.166,40
21,2004,"
        22","
Phil Mickelson
",83,0.597,32.217,54
22,2004,"
        23","
Tom Lehman
",70,0.596,34.586,58
23,2004,"
        24","
Adam Scott
",55,0.571,22.835,40
24,2004,"
        25","
Duffy Waldorf
",79,0.568,33.518,59
25,2004,"
        26","
Luke Donald
",72,0.563,34.896,62
26,2004,"
        27","
Dudley Hart
",60,0.557,25.625,46
27,2004,"
        28","
Kenny Perry
",79,0.512,31.732,62
28,2004,"
        29","
Chris DiMarco
",105,0.508,39.145,77
29,2004,"
        30","
Shigeki Maruyama
",93,0.493,38.424,78
30,2004,"
        31","
Bart Bryant
",73,0.484,31.442,65
31,2004,"
        32","
Bob Estes
",73,0.48,24.495,51
32,2004,"
        33","
José María Olazábal
",56,0.474,19.91,42
33,2004,"
        34","
Fred Funk
",97,0.456,37.817,83
34,2004,"
        35","
Joe Durant
",85,0.453,34.457,76
35,2004,"
        36","
Vaughn Taylor
",84,0.426,32.836,77
36,2004,"
        37","
Carlos Franco
",99,0.413,37.196,90
37,2004,"
        38","
Justin Leonard
",90,0.379,24.616,65
38,2004,"
        39","
Robert Gamez
",103,0.378,34.022,90
39,2004,"
        40","
Briny Baird
",100,0.374,30.262,81
40,2004,"
        41","
Fred Couples
",54,0.37,16.282,44
41,2004,"
        42","
Cameron Beckman
",99,0.364,31.634,87
42,2004,"
        43","
Robert Damron
",92,0.356,29.906,84
43,2004,"
        44","
Mike Weir
",75,0.351,19.309,55
44,2004,"
        45","
Woody Austin
",94,0.35,29.066,83
45,2004,"
        46","
Steve Lowery
",91,0.339,25.072,74
46,2004,"
        47","
K.J. Choi
",83,0.338,21.308,63
47,2004,"
        T48","
Ted Purdy
",114,0.322,33.129,103
48,2004,"
        T48","
Rory Sabbatini
",89,0.322,23.838,74
49,2004,"
        50","
Jeff Maggert
",60,0.303,15.16,50
50,2004,"
        51","
Danny Briggs
",85,0.298,22.36,75
51,2004,"
        52","
Peter Lonard
",68,0.294,15.899,54
52,2004,"
        53","
Kirk Triplett
",88,0.292,19.267,66
53,2004,"
        54","
Billy Andrade
",104,0.291,26.808,92
54,2004,"
        55","
J.L. Lewis
",106,0.285,25.356,89
55,2004,"
        56","
Loren Roberts
",81,0.277,18.819,68
56,2004,"
        57","
Ben Curtis
",56,0.274,11.251,41
57,2004,"
        58","
Bob Tway
",90,0.269,17.732,66
58,2004,"
        59","
Heath Slocum
",92,0.257,21.33,83
59,2004,"
        60","
Alex Cejka
",76,0.255,14.553,57
60,2004,"
        61","
Brad Faxon
",94,0.251,17.575,70
61,2004,"
        62","
Kent Jones
",99,0.247,21.524,87
62,2004,"
        63","
Rocco Mediate
",53,0.242,8.721,36
63,2004,"
        64","
Steve Flesch
",109,0.24,19.705,82
64,2004,"
        T65","
Davis Love III
",85,0.232,14.169,61
65,2004,"
        T65","
Arron Oberholser
",77,0.232,14.393,62
66,2004,"
        67","
John Riegger
",53,0.231,11.32,49
67,2004,"
        68","
Brian Gay
",96,0.23,20.217,88
68,2004,"
        69","
David Peoples
",82,0.225,16.89,75
69,2004,"
        70","
Tom Pernice Jr.
",103,0.222,19.117,86
70,2004,"
        71","
Tim Herron
",84,0.212,13.963,66
71,2004,"
        72","
Freddie Jacobson
",83,0.209,13.187,63
72,2004,"
        73","
Bo Van Pelt
",107,0.194,15.927,82
73,2004,"
        74","
Chris Riley
",78,0.192,10.174,53
74,2004,"
        75","
Frank Lickliter II
",89,0.191,14.91,78
75,2004,"
        76","
Nick Price
",51,0.182,6.569,36
76,2004,"
        77","
John Senden
",99,0.177,15.225,86
77,2004,"
        78","
John Cook
",57,0.175,8.377,48
78,2004,"
        79","
Tom Byrum
",83,0.174,12.496,72
79,2004,"
        80","
Michael Allen
",87,0.16,12.312,77
80,2004,"
        81","
Omar Uresti
",85,0.147,11.207,76
81,2004,"
        82","
David Branshaw
",84,0.14,10.061,72
82,2004,"
        83","
Neal Lancaster
",106,0.133,12.36,93
83,2004,"
        84","
Zach Johnson
",109,0.128,11.41,89
84,2004,"
        85","
Ryan Palmer
",103,0.12,10.817,90
85,2004,"
        86","
Jason Bohn
",98,0.119,10.434,88
86,2004,"
        T87","
Todd Fischer
",104,0.115,10.615,92
87,2004,"
        T87","
Kevin Na
",100,0.115,9.903,86
88,2004,"
        89","
Olin Browne
",92,0.112,8.88,79
89,2004,"
        90","
Russ Cochran
",61,0.104,5.738,55
90,2004,"
        91","
Patrick Sheehan
",113,0.096,9.558,100
91,2004,"
        92","
Todd Hamilton
",92,0.093,6.53,70
92,2004,"
        93","
Chris Smith
",105,0.082,7.629,93
93,2004,"
        94","
Scott McCarron
",88,0.081,6.051,75
94,2004,"
        95","
Jonathan Kaye
",79,0.08,4.986,62
95,2004,"
        96","
Mark Calcavecchia
",79,0.069,4.149,60
96,2004,"
        97","
Stuart Appleby
",84,0.066,3.879,59
97,2004,"
        98","
Corey Pavin
",83,0.063,4.189,67
98,2004,"
        T99","
Notah Begay III
",71,0.06,3.788,63
99,2004,"
        T99","
Pat Perez
",102,0.06,5.118,86
100,2004,"
        101","
Brett Quigley
",102,0.058,5.065,88
101,2004,"
        102","
John Daly
",79,0.042,2.794,67
102,2004,"
        103","
D.J. Brigman
",79,0.041,2.856,69
103,2004,"
        104","
Lucas Glover
",95,0.036,3.061,84
104,2004,"
        105","
Stephen Leaney
",84,0.032,1.818,57
105,2004,"
        106","
Craig Barlow
",80,0.028,1.916,69
106,2004,"
        107","
José Coceres
",68,0.022,1.367,61
107,2004,"
        108","
Charles Howell III
",104,0.018,1.379,76
108,2004,"
        109","
Rod Pampling
",98,0.014,1.062,78
109,2004,"
        110","
Geoff Ogilvy
",91,0.008,0.63,76
110,2004,"
        111","
Hidemichi Tanaka
",89,0.003,0.212,78
111,2004,"
        112","
Steve Stricker
",81,0.002,0.16,69
112,2004,"
        113","
Shaun Micheel
",93,-0.008,-0.589,70
113,2004,"
        114","
Richard Johnson
",102,-0.028,-2.581,93
114,2004,"
        115","
Steve Elkington
",64,-0.031,-1.749,56
115,2004,"
        116","
Darren Clarke
",54,-0.033,-1.164,35
116,2004,"
        117","
Craig Parry
",52,-0.037,-1.352,37
117,2004,"
        118","
Carl Pettersson
",100,-0.04,-3.191,79
118,2004,"
        119","
J.J. Henry
",103,-0.045,-4.11,91
119,2004,"
        120","
Daniel Chopra
",108,-0.046,-4.215,92
120,2004,"
        121","
Matt Gogel
",86,-0.05,-3.486,70
121,2004,"
        T122","
Dennis Paulson
",71,-0.053,-3.49,66
122,2004,"
        T122","
John Rollins
",90,-0.053,-3.803,72
123,2004,"
        T122","
Jay Williamson
",100,-0.053,-4.746,90
124,2004,"
        125","
Roland Thatcher
",66,-0.057,-3.449,61
125,2004,"
        126","
Steve Allan
",102,-0.058,-5.077,88
126,2004,"
        127","
Billy Mayfair
",109,-0.06,-5.601,93
127,2004,"
        128","
Harrison Frazar
",86,-0.064,-4.539,71
128,2004,"
        129","
Joe Ogilvie
",104,-0.068,-5.743,85
129,2004,"
        T130","
Glen Day
",101,-0.072,-6.302,88
130,2004,"
        T130","
Mark Hensby
",97,-0.072,-5.911,82
131,2004,"
        132","
Mark Wilson
",62,-0.078,-4.537,58
132,2004,"
        133","
Steve Pate
",71,-0.081,-4.929,61
133,2004,"
        134","
Jason Dufner
",79,-0.087,-6.285,72
134,2004,"
        135","
Craig Perks
",75,-0.091,-5.762,63
135,2004,"
        T136","
Arjun Atwal
",85,-0.097,-7.282,75
136,2004,"
        T136","
Gene Sauers
",83,-0.097,-7.099,73
137,2004,"
        138","
Mathias Grönberg
",91,-0.102,-7.539,74
138,2004,"
        139","
Rich Beem
",81,-0.11,-6.708,61
