,"year","rank","player_name","rounds","sg_off_tee_avg","total_sg_off_tee","measured_rounds"
0,2004,"
        1","
Vijay Singh
",112,0.87,77.441,89
1,2004,"
        2","
Kenny Perry
",79,0.73,45.277,62
2,2004,"
        3","
Joe Durant
",85,0.692,52.602,76
3,2004,"
        4","
Darren Clarke
",54,0.626,21.905,35
4,2004,"
        5","
Ernie Els
",62,0.622,25.486,41
5,2004,"
        6","
Sergio Garcia
",65,0.606,30.295,50
6,2004,"
        7","
Phil Mickelson
",83,0.597,32.249,54
7,2004,"
        8","
J.J. Henry
",103,0.574,52.236,91
8,2004,"
        9","
Zach Johnson
",109,0.567,50.421,89
9,2004,"
        10","
Lucas Glover
",95,0.564,47.407,84
10,2004,"
        11","
Robert Allenby
",93,0.541,38.919,72
11,2004,"
        12","
Stuart Appleby
",84,0.538,31.724,59
12,2004,"
        13","
Chris Smith
",105,0.526,48.937,93
13,2004,"
        14","
Bo Van Pelt
",107,0.512,41.966,82
14,2004,"
        15","
Davis Love III
",85,0.491,29.937,61
15,2004,"
        16","
John Daly
",79,0.477,31.941,67
16,2004,"
        17","
Roland Thatcher
",66,0.448,27.311,61
17,2004,"
        18","
Charles Howell III
",104,0.428,32.551,76
18,2004,"
        19","
Dennis Paulson
",71,0.404,26.642,66
19,2004,"
        20","
Tom Lehman
",70,0.392,22.748,58
20,2004,"
        21","
Craig Barlow
",80,0.383,26.422,69
21,2004,"
        22","
Woody Austin
",94,0.381,31.663,83
22,2004,"
        23","
Retief Goosen
",56,0.379,15.156,40
23,2004,"
        24","
Scott Hend
",81,0.375,26.22,70
24,2004,"
        T25","
Jason Bohn
",98,0.369,32.472,88
25,2004,"
        T25","
Ted Purdy
",114,0.369,37.969,103
26,2004,"
        27","
Peter Lonard
",68,0.365,19.683,54
27,2004,"
        28","
John Senden
",99,0.356,30.617,86
28,2004,"
        29","
Pat Perez
",102,0.329,28.252,86
29,2004,"
        30","
Frank Lickliter II
",89,0.328,25.592,78
30,2004,"
        T31","
Rory Sabbatini
",89,0.321,23.785,74
31,2004,"
        T31","
Tiger Woods
",78,0.321,17.355,54
32,2004,"
        33","
Rich Beem
",81,0.32,19.549,61
33,2004,"
        34","
Scott Verplank
",92,0.319,21.708,68
34,2004,"
        35","
Geoff Ogilvy
",91,0.305,23.17,76
35,2004,"
        36","
Ryan Palmer
",103,0.293,26.4,90
36,2004,"
        37","
Jeff Brehaut
",106,0.292,27.467,94
37,2004,"
        38","
Justin Rose
",77,0.283,17.853,63
38,2004,"
        39","
Joey Sindelar
",100,0.281,25.042,89
39,2004,"
        40","
Jonathan Kaye
",79,0.278,17.218,62
40,2004,"
        41","
Harrison Frazar
",86,0.273,19.405,71
41,2004,"
        42","
Jesper Parnevik
",86,0.27,20.005,74
42,2004,"
        43","
Steve Allan
",102,0.246,21.68,88
43,2004,"
        44","
Arron Oberholser
",77,0.243,15.058,62
