,"year","rank","player_name","rounds","sg_putting_avg","sg_putting_total","measured_rounds"
0,2004,"
        1","
Tiger Woods
",78,0.853,46.067,54
1,2004,"
        2","
Adam Scott
",55,0.824,32.95,40
2,2004,"
        3","
Stewart Cink
",103,0.683,53.928,79
3,2004,"
        4","
Greg Chalmers
",70,0.651,42.29,65
4,2004,"
        5","
Shigeki Maruyama
",93,0.63,49.165,78
5,2004,"
        6","
Loren Roberts
",81,0.629,42.762,68
6,2004,"
        7","
Aaron Baddeley
",87,0.579,43.993,76
7,2004,"
        8","
Zach Johnson
",109,0.577,51.383,89
8,2004,"
        9","
Brad Faxon
",94,0.535,37.441,70
9,2004,"
        10","
Freddie Jacobson
",83,0.531,33.427,63
10,2004,"
        11","
Jesper Parnevik
",86,0.522,38.607,74
11,2004,"
        12","
Steve Stricker
",81,0.521,35.96,69
12,2004,"
        13","
Brent Geiberger
",94,0.512,43.034,84
13,2004,"
        14","
José María Olazábal
",56,0.483,20.291,42
14,2004,"
        15","
Darren Clarke
",54,0.467,16.343,35
15,2004,"
        16","
Richard Johnson
",102,0.461,42.898,93
16,2004,"
        17","
Bob Tway
",90,0.443,29.269,66
17,2004,"
        18","
Patrick Sheehan
",113,0.439,43.914,100
18,2004,"
        19","
Stephen Ames
",97,0.438,35.078,80
19,2004,"
        20","
Len Mattiace
",75,0.411,28.786,70
20,2004,"
        21","
Matt Gogel
",86,0.404,28.263,70
21,2004,"
        22","
Mark O'Meara
",58,0.369,15.112,41
22,2004,"
        23","
Brian Bateman
",84,0.364,26.553,73
23,2004,"
        24","
Brian Gay
",96,0.361,31.792,88
24,2004,"
        25","
Ben Crane
",92,0.357,28.892,81
25,2004,"
        26","
Tommy Tolles
",67,0.351,21.385,61
26,2004,"
        27","
Bo Van Pelt
",107,0.346,28.331,82
27,2004,"
        28","
Tag Ridings
",53,0.329,14.785,45
28,2004,"
        29","
David Peoples
",82,0.328,24.635,75
29,2004,"
        30","
Brenden Pappas
",111,0.322,31.836,99
30,2004,"
        31","
Mark Hensby
",97,0.32,26.251,82
31,2004,"
        32","
Tom Byrum
",83,0.318,22.869,72
32,2004,"
        33","
Tim Petrovic
",111,0.315,27.402,87
33,2004,"
        34","
Corey Pavin
",83,0.31,20.752,67
34,2004,"
        35","
Dan Forsman
",79,0.293,19.321,66
35,2004,"
        36","
David Frost
",78,0.292,21.863,75
36,2004,"
        37","
Hunter Mahan
",94,0.28,23.279,83
37,2004,"
        38","
Harrison Frazar
",86,0.277,19.662,71
38,2004,"
        39","
Nick Price
",51,0.275,9.889,36
39,2004,"
        T40","
Frank Lickliter II
",89,0.271,21.12,78
40,2004,"
        T40","
Mike Weir
",75,0.271,14.909,55
41,2004,"
        T40","
Dean Wilson
",99,0.271,24.687,91
42,2004,"
        43","
Scott McCarron
",88,0.269,20.167,75
43,2004,"
        44","
Geoff Ogilvy
",91,0.264,20.034,76
44,2004,"
        45","
Jerry Kelly
",113,0.255,22.461,88
45,2004,"
        46","
Tom Carter
",113,0.254,24.351,96
46,2004,"
        T47","
Jonathan Byrd
",85,0.252,18.377,73
47,2004,"
        T47","
Glen Day
",101,0.252,22.191,88
48,2004,"
        49","
Carl Pettersson
",100,0.247,19.509,79
49,2004,"
        50","
Todd Hamilton
",92,0.233,16.283,70
50,2004,"
        51","
David Morland IV
",73,0.23,14.233,62
51,2004,"
        52","
Stephen Leaney
",84,0.228,13.016,57
52,2004,"
        T53","
José Coceres
",68,0.222,13.518,61
53,2004,"
        T53","
Retief Goosen
",56,0.222,8.876,40
54,2004,"
        55","
Duffy Waldorf
",79,0.221,13.066,59
55,2004,"
        56","
Skip Kendall
",99,0.22,17.604,80
56,2004,"
        57","
Scott Verplank
",92,0.216,14.665,68
57,2004,"
        58","
Michael Allen
",87,0.208,16.02,77
58,2004,"
        59","
Brett Quigley
",102,0.205,18.03,88
59,2004,"
        60","
Danny Ellis
",81,0.204,14.096,69
60,2004,"
        61","
Luke Donald
",72,0.199,12.358,62
