,"year","rank","player_name","rounds","sg_tee_green_avg","sg_off_tee","sg_approach","sg_around_green","measured_rounds"
0,2004,"
        1","
Vijay Singh
",112,2.339,0.87,1.116,0.352,89
1,2004,"
        2","
Sergio Garcia
",65,1.908,0.606,1.211,0.091,50
2,2004,"
        3","
Ernie Els
",62,1.776,0.622,0.709,0.445,41
3,2004,"
        4","
Tiger Woods
",78,1.529,0.321,0.873,0.335,54
4,2004,"
        5","
Phil Mickelson
",83,1.411,0.597,0.597,0.217,54
5,2004,"
        6","
Justin Rose
",77,1.296,0.283,0.882,0.131,63
6,2004,"
        7","
Scott Verplank
",92,1.274,0.319,0.971,-0.016,68
7,2004,"
        8","
Jay Haas
",84,1.233,-0.134,0.862,0.506,61
8,2004,"
        9","
Kenny Perry
",79,1.226,0.73,0.512,-0.017,62
9,2004,"
        10","
Retief Goosen
",56,1.197,0.379,0.604,0.213,40
10,2004,"
        11","
Tom Lehman
",70,1.184,0.392,0.596,0.196,58
11,2004,"
        12","
Jeff Sluman
",98,1.143,0.199,0.76,0.184,82
12,2004,"
        13","
John Huston
",62,1.127,0.205,0.701,0.221,45
13,2004,"
        14","
David Toms
",80,1.045,0.102,0.968,-0.024,59
14,2004,"
        15","
Fred Couples
",54,1.036,0.234,0.37,0.432,44
15,2004,"
        16","
Scott Hoch
",52,1.002,0.237,0.721,0.045,46
16,2004,"
        17","
Robert Allenby
",93,1,0.541,0.675,-0.215,72
17,2004,"
        18","
Stewart Cink
",103,0.973,-0.143,0.724,0.391,79
18,2004,"
        19","
Rory Sabbatini
",89,0.961,0.321,0.322,0.317,74
19,2004,"
        20","
Joe Durant
",85,0.956,0.692,0.453,-0.19,76
20,2004,"
        21","
Jerry Kelly
",113,0.947,0.081,0.616,0.25,88
21,2004,"
        22","
Chris DiMarco
",105,0.942,0.134,0.508,0.299,77
22,2004,"
        23","
Davis Love III
",85,0.879,0.491,0.232,0.156,61
23,2004,"
        24","
Luke Donald
",72,0.878,0.044,0.563,0.271,62
24,2004,"
        25","
Stuart Appleby
",84,0.866,0.538,0.066,0.263,59
25,2004,"
        26","
Stephen Ames
",97,0.851,0.218,0.712,-0.078,80
26,2004,"
        27","
Bo Van Pelt
",107,0.8,0.512,0.194,0.094,82
27,2004,"
        28","
Lee Janzen
",84,0.785,-0.167,0.692,0.26,70
28,2004,"
        29","
Carlos Franco
",99,0.779,0.13,0.413,0.236,90
29,2004,"
        30","
Tim Clark
",84,0.775,0.184,0.691,-0.099,71
30,2004,"
        31","
Justin Leonard
",90,0.75,0.035,0.379,0.336,65
31,2004,"
        32","
Kirk Triplett
",88,0.733,0.192,0.292,0.249,66
32,2004,"
        33","
Chad Campbell
",100,0.711,0.183,0.66,-0.132,77
33,2004,"
        34","
John Daly
",79,0.708,0.477,0.042,0.19,67
34,2004,"
        35","
Bernhard Langer
",59,0.7,0.029,0.616,0.055,42
35,2004,"
        36","
Woody Austin
",94,0.687,0.381,0.35,-0.045,83
36,2004,"
        37","
Ben Curtis
",56,0.669,0.171,0.274,0.223,41
37,2004,"
        38","
Peter Lonard
",68,0.659,0.365,0.294,0.001,54
38,2004,"
        39","
Joey Sindelar
",100,0.634,0.281,0.679,-0.327,89
39,2004,"
        40","
Craig Barlow
",80,0.633,0.383,0.028,0.222,69
40,2004,"
        41","
Zach Johnson
",109,0.629,0.567,0.128,-0.066,89
41,2004,"
        42","
Tim Herron
",84,0.618,0.225,0.212,0.182,66
42,2004,"
        43","
Vaughn Taylor
",84,0.615,0.207,0.426,-0.018,77
43,2004,"
        44","
Duffy Waldorf
",79,0.611,0.157,0.568,-0.114,59
44,2004,"
        45","
Bart Bryant
",73,0.61,0.226,0.484,-0.1,65
45,2004,"
        46","
Ted Purdy
",114,0.609,0.369,0.322,-0.081,103
46,2004,"
        47","
Adam Scott
",55,0.603,0.18,0.571,-0.147,40
47,2004,"
        48","
Arron Oberholser
",77,0.575,0.243,0.232,0.1,62
48,2004,"
        49","
Dudley Hart
",60,0.571,0.064,0.557,-0.051,46
49,2004,"
        50","
Fred Funk
",97,0.566,0.121,0.456,-0.011,83
50,2004,"
        51","
Briny Baird
",100,0.549,0.216,0.374,-0.041,81
51,2004,"
        52","
Charles Howell III
",104,0.541,0.428,0.018,0.095,76
52,2004,"
        53","
Mike Weir
",75,0.511,-0.029,0.351,0.19,55
53,2004,"
        54","
Heath Slocum
",92,0.51,0.13,0.257,0.123,83
54,2004,"
        55","
Bob Estes
",73,0.469,-0.273,0.48,0.262,51
55,2004,"
        56","
J.J. Henry
",103,0.458,0.574,-0.045,-0.071,91
56,2004,"
        57","
John Senden
",99,0.439,0.356,0.177,-0.094,86
57,2004,"
        58","
Robert Damron
",92,0.436,0.054,0.356,0.026,84
58,2004,"
        59","
Robert Gamez
",103,0.433,0.111,0.378,-0.056,90
59,2004,"
        60","
Dennis Paulson
",71,0.428,0.404,-0.053,0.077,66
60,2004,"
        61","
Rod Pampling
",98,0.42,0.183,0.014,0.223,78
61,2004,"
        62","
Kevin Sutherland
",86,0.419,0.241,-0.137,0.315,67
62,2004,"
        63","
Shigeki Maruyama
",93,0.417,-0.198,0.493,0.122,78
63,2004,"
        64","
Alex Cejka
",76,0.394,0.119,0.255,0.02,57
64,2004,"
        65","
Geoff Ogilvy
",91,0.378,0.305,0.008,0.064,76
65,2004,"
        66","
K.J. Choi
",83,0.367,0.009,0.338,0.02,63
66,2004,"
        67","
Cameron Beckman
",99,0.366,0.029,0.364,-0.026,87
67,2004,"
        68","
Frank Lickliter II
",89,0.356,0.328,0.191,-0.163,78
68,2004,"
        69","
Kevin Na
",100,0.345,0.09,0.115,0.14,86
69,2004,"
        70","
Jason Bohn
",98,0.337,0.369,0.119,-0.15,88
70,2004,"
        71","
Notah Begay III
",71,0.329,0.192,0.06,0.077,63
71,2004,"
        72","
Tom Pernice Jr.
",103,0.323,0.096,0.222,0.005,86
72,2004,"
        73","
Billy Mayfair
",109,0.312,0.242,-0.06,0.13,93
73,2004,"
        74","
Pat Perez
",102,0.301,0.329,0.06,-0.087,86
74,2004,"
        75","
Steve Flesch
",109,0.296,-0.066,0.24,0.121,82
75,2004,"
        76","
Jesper Parnevik
",86,0.294,0.27,-0.209,0.233,74
76,2004,"
        77","
Jeff Maggert
",60,0.283,0.157,0.303,-0.177,50
77,2004,"
        78","
Mark Hensby
",97,0.282,0.232,-0.072,0.122,82
78,2004,"
        79","
Rich Beem
",81,0.277,0.32,-0.11,0.067,61
79,2004,"
        80","
Jonathan Kaye
",79,0.262,0.278,0.08,-0.096,62
80,2004,"
        81","
Tom Byrum
",83,0.261,-0.043,0.174,0.13,72
81,2004,"
        82","
Chris Riley
",78,0.255,-0.235,0.192,0.297,53
82,2004,"
        83","
Lucas Glover
",95,0.243,0.564,0.036,-0.358,84
83,2004,"
        84","
Mark Calcavecchia
",79,0.242,0.212,0.069,-0.039,60
84,2004,"
        85","
Darren Clarke
",54,0.24,0.626,-0.033,-0.352,35
85,2004,"
        86","
Nick Price
",51,0.238,-0.301,0.182,0.357,36
86,2004,"
        87","
Carl Pettersson
",100,0.237,0.098,-0.04,0.179,79
87,2004,"
        88","
Rocco Mediate
",53,0.228,0.115,0.242,-0.13,36
88,2004,"
        T89","
José Coceres
",68,0.22,0.113,0.022,0.085,61
89,2004,"
        T89","
Jason Dufner
",79,0.22,0.083,-0.087,0.224,72
90,2004,"
        T91","
Glen Day
",101,0.212,0.028,-0.072,0.256,88
91,2004,"
        T91","
Harrison Frazar
",86,0.212,0.273,-0.064,0.002,71
92,2004,"
        93","
Corey Pavin
",83,0.205,-0.392,0.063,0.535,67
93,2004,"
        94","
Neal Lancaster
",106,0.202,0.118,0.133,-0.049,93
94,2004,"
        95","
Brett Quigley
",102,0.196,0.014,0.058,0.125,88
95,2004,"
        96","
John Riegger
",53,0.189,0.179,0.231,-0.221,49
96,2004,"
        97","
David Peoples
",82,0.185,-0.245,0.225,0.205,75
97,2004,"
        98","
Loren Roberts
",81,0.183,-0.351,0.277,0.257,68
98,2004,"
        T99","
Kent Jones
",99,0.179,0.047,0.247,-0.116,87
99,2004,"
        T99","
Ryan Palmer
",103,0.179,0.293,0.12,-0.235,90
100,2004,"
        101","
Chris Smith
",105,0.178,0.526,0.082,-0.43,93
101,2004,"
        T102","
Craig Parry
",52,0.175,-0.133,-0.037,0.345,37
102,2004,"
        T102","
Omar Uresti
",85,0.175,-0.194,0.147,0.221,76
103,2004,"
        104","
J.L. Lewis
",106,0.167,0.1,0.285,-0.219,89
104,2004,"
        105","
D.J. Brigman
",79,0.157,0.117,0.041,-0.002,69
