,year,rank,player_name,rounds,average,total_sg_T,total_sg_T2G,total_sg_P,measured_rounds
0,2004,"
        1","
Tiger Woods
",78,2.382,128.654,82.583,46.067,54
1,2004,"
        2","
Vijay Singh
",112,2.250,200.221,208.158,-7.937,89
2,2004,"
        3","
Ernie Els
",62,1.899,77.876,72.798,5.075,41
3,2004,"
        4","
Stewart Cink
",103,1.655,130.779,76.847,53.928,79
4,2004,"
        5","
Scott Verplank
",92,1.490,101.328,86.663,14.665,68
5,2004,"
        6","
Adam Scott
",55,1.427,57.077,24.124,32.950,40
6,2004,"
        7","
Retief Goosen
",56,1.419,56.741,47.863,8.876,40
7,2004,"
        8","
Sergio Garcia
",65,1.336,66.787,95.423,-28.638,50
8,2004,"
        9","
Phil Mickelson
",83,1.324,71.477,76.187,-4.713,54
9,2004,"
        10","
Stephen Ames
",97,1.290,103.165,68.085,35.078,80
10,2004,"
        11","
Jay Haas
",84,1.261,76.895,75.217,1.676,61
11,2004,"
        12","
Zach Johnson
",109,1.206,107.358,55.974,51.383,89
12,2004,"
        13","
Jerry Kelly
",113,1.202,105.797,83.336,22.461,88
13,2004,"
        14","
Kenny Perry
",79,1.157,71.705,75.987,-4.284,62
14,2004,"
        15","
Rory Sabbatini
",89,1.154,85.367,71.118,14.247,74
15,2004,"
        16","
Bo Van Pelt
",107,1.146,93.949,65.620,28.331,82
16,2004,"
        17","
Luke Donald
",72,1.078,66.814,54.456,12.358,62
17,2004,"
        18","
Justin Rose
",77,1.065,67.125,81.667,-14.543,63
18,2004,"
        19","
Chris DiMarco
",105,1.063,81.826,72.536,9.291,77
19,2004,"
        20","
Davis Love III
",85,1.059,64.626,53.606,11.016,61
20,2004,"
        21","
Shigeki Maruyama
",93,1.048,81.718,32.551,49.165,78
21,2004,"
        22","
Tom Lehman
",70,.984,57.058,68.696,-11.639,58
22,2004,"
        23","
Stuart Appleby
",84,.974,57.452,51.122,6.327,59
23,2004,"
        24","
David Toms
",80,.947,55.860,61.682,-5.823,59
24,2004,"
        25","
Jeff Sluman
",98,.862,70.700,93.755,-23.053,82
25,2004,"
        26","
Scott Hoch
",52,.861,39.620,46.092,-6.471,46
26,2004,"
        27","
Duffy Waldorf
",79,.832,49.112,36.047,13.066,59
27,2004,"
        28","
Jesper Parnevik
",86,.816,60.372,21.762,38.607,74
28,2004,"
        29","
Tim Clark
",84,.813,57.719,55.034,2.684,71
29,2004,"
        30","
Loren Roberts
",81,.812,55.199,12.436,42.762,68
30,2004,"
        31","
Kirk Triplett
",88,.805,53.128,48.384,4.743,66
31,2004,"
        32","
John Daly
",79,.803,53.831,47.445,6.385,67
32,2004,"
        33","
Mike Weir
",75,.782,43.033,28.122,14.909,55
33,2004,"
        34","
Tim Herron
",84,.738,48.687,40.772,7.915,66
34,2004,"
        35","
Robert Allenby
",93,.733,52.789,72.032,-19.243,72
35,2004,"
        36","
Darren Clarke
",54,.707,24.752,8.405,16.343,35
36,2004,"
        37","
Carlos Franco
",99,.645,58.063,70.142,-12.076,90
37,2004,"
        38","
Geoff Ogilvy
",91,.641,48.725,28.691,20.034,76
38,2004,"
        39","
Frank Lickliter II
",89,.627,48.884,27.763,21.120,78
39,2004,"
        40","
Fred Funk
",97,.617,51.182,46.947,4.231,83
40,2004,"
        41","
Mark Hensby
",97,.602,49.404,23.150,26.251,82
41,2004,"
        42","
Fred Couples
",54,.599,26.348,45.589,-19.241,44
42,2004,"
        43","
Bart Bryant
",73,.580,37.713,39.639,-1.923,65
43,2004,"
        44","
Tom Byrum
",83,.579,41.663,18.794,22.869,72
44,2004,"
        45","
Dennis Paulson
",71,.577,38.105,28.219,9.883,66
45,2004,"
        46","
Justin Leonard
",90,.563,36.615,48.727,-12.112,65
46,2004,"
        47","
Ted Purdy
",114,.551,56.779,62.738,-5.960,103
47,2004,"
        48","
Dudley Hart
",60,.550,25.285,26.253,-.969,46
48,2004,"
        49","
Charles Howell III
",104,.543,41.271,41.127,.143,76
49,2004,"
        50","
Brad Faxon
",94,.536,37.531,.088,37.441,70
50,2004,"
        51","
Freddie Jacobson
",83,.535,33.711,.281,33.427,63
51,2004,"
        52","
Joe Durant
",85,.530,40.306,72.649,-32.344,76
52,2004,"
        53","
Chad Campbell
",100,.525,40.438,54.774,-14.339,77
53,2004,"
        54","
J.J. Henry
",103,.520,47.338,41.636,5.702,91
54,2004,"
        55","
Corey Pavin
",83,.515,34.504,13.749,20.752,67
55,2004,"
        T56","
David Peoples
",82,.513,38.480,13.842,24.635,75
56,2004,"
        T56","
Nick Price
",51,.513,18.474,8.583,9.889,36
