,"year","rank","player_name","rounds","stroke_differential","player_score","field_avg_score"
0,1983,"
        1","
Tom Watson
",66,2.2,70.89,73.09
1,1983,"
        2","
Jack Nicklaus
",58,2.09,70.88,72.97
2,1983,"
        3","
Raymond Floyd
",89,1.98,70.68,72.66
3,1983,"
        4","
Hale Irwin
",82,1.87,70.97,72.84
4,1983,"
        5","
Ben Crenshaw
",79,1.84,70.92,72.76
5,1983,"
        6","
Calvin Peete
",87,1.76,70.62,72.38
6,1983,"
        7","
Lanny Wadkins
",86,1.74,70.88,72.62
7,1983,"
        8","
Hal Sutton
",113,1.72,71.02,72.74
8,1983,"
        T9","
Gil Morgan
",98,1.65,71.04,72.69
9,1983,"
        T9","
Fuzzy Zoeller
",106,1.65,70.95,72.6
10,1983,"
        11","
David Graham
",88,1.62,71.28,72.9
11,1983,"
        12","
Tom Kite
",93,1.61,71.16,72.77
12,1983,"
        13","
Wayne Levi
",84,1.51,71.1,72.61
13,1983,"
        14","
Bruce Lietzke
",77,1.48,71.3,72.78
14,1983,"
        T15","
Andy Bean
",93,1.45,71.44,72.89
15,1983,"
        T15","
Johnny Miller
",71,1.45,70.96,72.41
16,1983,"
        17","
Mark McCumber
",99,1.39,71.15,72.54
17,1983,"
        18","
Peter Jacobsen
",96,1.33,71.41,72.74
18,1983,"
        19","
Don Pooley
",107,1.32,70.93,72.25
19,1983,"
        20","
Craig Stadler
",97,1.3,71.39,72.69
20,1983,"
        T21","
John Cook
",112,1.28,71.14,72.42
21,1983,"
        T21","
Jay Haas
",106,1.28,71.3,72.58
22,1983,"
        T21","
Scott Simpson
",98,1.28,71.47,72.75
23,1983,"
        24","
Lon Hinkle
",100,1.19,71.13,72.32
24,1983,"
        T25","
Scott Hoch
",92,1.16,71.21,72.37
25,1983,"
        T25","
Lee Trevino
",60,1.16,71.32,72.48
26,1983,"
        27","
Fred Couples
",108,1.15,71.48,72.63
27,1983,"
        28","
Tom Purtzer
",96,1.08,71.6,72.68
28,1983,"
        T29","
Danny Edwards
",81,1.07,71.51,72.58
29,1983,"
        T29","
Gary Koch
",107,1.07,71.41,72.48
30,1983,"
        31","
Curtis Strange
",101,1.04,71.73,72.77
31,1983,"
        32","
Jim Colbert
",104,1.03,71.43,72.46
32,1983,"
        33","
Chip Beck
",117,1.01,71.62,72.63
33,1983,"
        T34","
Ed Fiori
",105,1,71.3,72.3
34,1983,"
        T34","
Jack Renner
",94,1,71.46,72.46
35,1983,"
        36","
Isao Aoki
",57,0.97,71.4,72.37
36,1983,"
        T37","
Mark Lye
",104,0.92,71.38,72.3
37,1983,"
        T37","
Mike Reid
",84,0.92,71.79,72.71
38,1983,"
        T37","
Doug Tewell
",87,0.92,71.45,72.37
39,1983,"
        T40","
Dan Pohl
",96,0.91,71.67,72.58
40,1983,"
        T40","
J.C. Snead
",108,0.91,71.72,72.63
41,1983,"
        T42","
Ronnie Black
",82,0.9,71.31,72.21
42,1983,"
        T42","
Keith Fergus
",92,0.9,71.7,72.6
43,1983,"
        T42","
Gibby Gilbert
",65,0.9,71.55,72.45
44,1983,"
        T45","
Rex Caldwell
",108,0.89,71.46,72.35
45,1983,"
        T45","
Payne Stewart
",111,0.89,71.5,72.39
46,1983,"
        47","
Larry Nelson
",73,0.85,72.05,72.9
47,1983,"
        48","
David Edwards
",88,0.84,71.57,72.41
48,1983,"
        T49","
Peter Oosterhuis
",97,0.83,71.99,72.82
49,1983,"
        T49","
Mike Sullivan
",95,0.83,71.54,72.37
50,1983,"
        51","
Joe Inman
",88,0.82,71.83,72.65
51,1983,"
        52","
Tim Simpson
",99,0.81,71.72,72.53
52,1983,"
        53","
D.A. Weibring
",77,0.79,71.71,72.5
53,1983,"
        54","
John Mahaffey
",99,0.76,71.74,72.5
54,1983,"
        T55","
Roger Maltbie
",106,0.71,71.9,72.61
55,1983,"
        T55","
Pat McGowan
",115,0.71,71.76,72.47
56,1983,"
        T55","
Jim Thorpe
",106,0.71,72.07,72.78
57,1983,"
        58","
Nick Price
",68,0.7,72.43,73.13
58,1983,"
        59","
Jim Nelford
",115,0.67,71.94,72.61
59,1983,"
        60","
Ron Streck
",91,0.66,71.85,72.51
60,1983,"
        T61","
Brad Bryant
",102,0.64,71.93,72.57
61,1983,"
        T61","
John Fought
",102,0.64,72,72.64
62,1983,"
        T61","
Andy North
",77,0.64,72.25,72.89
63,1983,"
        64","
Mark Pfeil
",102,0.58,71.82,72.4
64,1983,"
        T65","
Bob Eastwood
",109,0.54,71.93,72.47
