,"year","rank","player_name","rounds","per_round_avg","total_3_plus_putts","total_rounds"
0,1992,"
        1","
Dan Pohl
",60,0.05,3,60
1,1992,"
        T2","
Robert Gamez
",79,0.04,3,79
2,1992,"
        T2","
Greg Lesher
",78,0.04,3,78
3,1992,"
        T2","
Dick Mast
",73,0.04,3,73
4,1992,"
        T2","
Dave Peege
",69,0.04,3,69
5,1992,"
        T2","
Dave Schreyer
",53,0.04,2,53
6,1992,"
        T2","
Tim Simpson
",69,0.04,3,69
7,1992,"
        T8","
Billy Andrade
",86,0.03,3,86
8,1992,"
        T8","
Tom Byrum
",76,0.03,2,76
9,1992,"
        T8","
Bruce Lietzke
",66,0.03,2,66
10,1992,"
        T8","
David Ogrin
",80,0.03,2,80
11,1992,"
        T8","
E.J. Pfister
",58,0.03,2,58
12,1992,"
        T8","
Mike Sullivan
",80,0.03,2,80
13,1992,"
        T8","
Tray Tyner
",67,0.03,2,66
14,1992,"
        T15","
John Adams
",93,0.02,2,92
15,1992,"
        T15","
Ian Baker-Finch
",60,0.02,1,60
16,1992,"
        T15","
Chip Beck
",89,0.02,2,88
17,1992,"
        T15","
Jon Chaffee
",66,0.02,1,66
18,1992,"
        T15","
Russ Cochran
",96,0.02,2,96
19,1992,"
        T15","
Frank Conner
",87,0.02,2,87
20,1992,"
        T15","
Michael Cunning
",82,0.02,2,82
21,1992,"
        T15","
John Elliott
",58,0.02,1,57
22,1992,"
        T15","
Rick Fehr
",85,0.02,2,85
23,1992,"
        T15","
Raymond Floyd
",60,0.02,1,60
24,1992,"
        T15","
Dan Forsman
",109,0.02,2,108
25,1992,"
        T15","
Jerry Haas
",59,0.02,1,59
26,1992,"
        T15","
Dudley Hart
",95,0.02,2,94
27,1992,"
        T15","
Greg Kraft
",81,0.02,2,81
28,1992,"
        T15","
Neal Lancaster
",115,0.02,2,114
29,1992,"
        T15","
Jeff Maggert
",89,0.02,2,89
30,1992,"
        T15","
Doug Martin
",85,0.02,2,85
31,1992,"
        T15","
Billy Mayfair
",114,0.02,2,114
32,1992,"
        T15","
Peter Persons
",99,0.02,2,98
33,1992,"
        T15","
Tom Sieckmann
",93,0.02,2,93
34,1992,"
        T15","
Bob Tway
",65,0.02,1,65
35,1992,"
        T15","
Greg Twiggs
",52,0.02,1,52
36,1992,"
        T15","
Robert Wrenn
",82,0.02,2,82
37,1992,"
        T38","
Fulton Allem
",99,0.01,1,98
38,1992,"
        T38","
Tommy Armour III
",82,0.01,1,81
39,1992,"
        T38","
Paul Azinger
",86,0.01,1,86
40,1992,"
        T38","
Patrick Burke
",90,0.01,1,90
41,1992,"
        T38","
Mark Calcavecchia
",96,0.01,1,95
42,1992,"
        T38","
Mark Carnevale
",83,0.01,1,83
43,1992,"
        T38","
Keith Clearwater
",107,0.01,1,106
44,1992,"
        T38","
John Daly
",78,0.01,1,78
45,1992,"
        T38","
David Edwards
",94,0.01,1,94
46,1992,"
        T38","
Brad Fabel
",94,0.01,1,94
47,1992,"
        T38","
Bob Friend
",97,0.01,1,97
48,1992,"
        T38","
David Frost
",81,0.01,1,81
49,1992,"
        T38","
Fred Funk
",109,0.01,1,109
50,1992,"
        T38","
Jim Gallagher Jr.
",105,0.01,1,105
51,1992,"
        T38","
Buddy Gardner
",89,0.01,1,89
52,1992,"
        T38","
Kelly Gibson
",93,0.01,1,93
53,1992,"
        T38","
Ken Green
",87,0.01,1,86
54,1992,"
        T38","
Jay Haas
",104,0.01,1,104
55,1992,"
        T38","
Nolan Henke
",86,0.01,1,86
56,1992,"
        T38","
Ed Humenik
",100,0.01,1,99
57,1992,"
        T38","
John Huston
",105,0.01,1,105
58,1992,"
        T38","
John Inman
",98,0.01,1,98
59,1992,"
        T38","
Steve Lamontagne
",88,0.01,1,88
60,1992,"
        T38","
Bob Lohr
",89,0.01,1,89
61,1992,"
        T38","
John Mahaffey
",76,0.01,1,76
62,1992,"
        T38","
Mark McCumber
",81,0.01,1,80
63,1992,"
        T38","
Rocco Mediate
",82,0.01,1,81
64,1992,"
        T38","
Larry Mize
",81,0.01,1,81
65,1992,"
        T38","
Gil Morgan
",87,0.01,1,86
66,1992,"
        T38","
John Riegger
",71,0.01,1,70
67,1992,"
        T38","
Larry Rinker
",82,0.01,1,82
68,1992,"
        T38","
Joey Sindelar
",107,0.01,1,107
69,1992,"
        T38","
Craig Stadler
",82,0.01,1,82
70,1992,"
        T38","
Mike Standly
",99,0.01,1,99
71,1992,"
        T38","
Dicky Thompson
",70,0.01,1,70
72,1992,"
        T38","
David Toms
",87,0.01,1,87
73,1992,"
        T38","
Kirk Triplett
",69,0.01,1,69
74,1992,"
        T38","
Stan Utley
",73,0.01,1,72
75,1992,"
        T38","
Lanny Wadkins
",87,0.01,1,87
76,1992,"
        T38","
Bruce Zabriski
",80,0.01,1,79
77,1993,"
        1","
Gene Jones
",57,0.07,4,57
78,1993,"
        2","
Bruce Lietzke
",50,0.06,3,50
79,1993,"
        T3","
Ed Dougherty
",111,0.05,6,110
80,1993,"
        T3","
Eddie Pearce
",62,0.05,3,62
81,1993,"
        T5","
Patrick Burke
",57,0.04,2,57
82,1993,"
        T5","
David Delong
",52,0.04,2,52
83,1993,"
        T5","
Robert Gamez
",81,0.04,3,80
84,1993,"
        T5","
Bob Gilder
",78,0.04,3,78
85,1993,"
        T5","
Wayne Levi
",76,0.04,3,75
86,1993,"
        T5","
Jeff Maggert
",89,0.04,4,89
87,1993,"
        T5","
Brett Ogle
",56,0.04,2,56
88,1993,"
        T5","
Tad Rhyan
",79,0.04,3,79
89,1993,"
        T5","
Tom Watson
",56,0.04,2,56
90,1993,"
        T14","
Fulton Allem
",90,0.03,3,90
91,1993,"
        T14","
Barry Cheesman
",87,0.03,3,87
92,1993,"
        T14","
Keith Clearwater
",104,0.03,3,103
93,1993,"
        T14","
John Daly
",71,0.03,2,71
94,1993,"
        T14","
Kelly Gibson
",102,0.03,3,101
95,1993,"
        T14","
Bill Glasson
",77,0.03,2,76
96,1993,"
        T14","
Paul Goydos
",95,0.03,3,94
97,1993,"
        T14","
Dudley Hart
",91,0.03,3,91
98,1993,"
        T14","
Hale Irwin
",67,0.03,2,67
99,1993,"
        T14","
Massy Kuramoto
",61,0.03,2,61
100,1993,"
        T14","
Larry Mize
",76,0.03,2,76
101,1993,"
        T14","
Marty Schiene
",62,0.03,2,62
102,1993,"
        T14","
Doug Tewell
",63,0.03,2,63
103,1993,"
        T14","
Fuzzy Zoeller
",71,0.03,2,70
104,1993,"
        T28","
Ian Baker-Finch
",61,0.02,1,61
105,1993,"
        T28","
Andy Bean
",61,0.02,1,61
106,1993,"
        T28","
Mark Brooks
",95,0.02,2,95
107,1993,"
        T28","
Brian Claar
",108,0.02,2,107
108,1993,"
        T28","
Russ Cochran
",95,0.02,2,94
109,1993,"
        T28","
Morris Hatalsky
",60,0.02,1,60
110,1993,"
        T28","
Brian Kamm
",86,0.02,2,85
111,1993,"
        T28","
Dick Mast
",87,0.02,2,86
112,1993,"
        T28","
Dave Peege
",57,0.02,1,57
113,1993,"
        T28","
Lee Porter
",51,0.02,1,51
114,1993,"
        T28","
Ted Schulz
",95,0.02,2,95
115,1993,"
        T28","
Jim Thorpe
",56,0.02,1,56
116,1993,"
        T28","
Denis Watson
",62,0.02,1,62
117,1993,"
        T41","
John Adams
",92,0.01,1,92
118,1993,"
        T41","
Michael Allen
",84,0.01,1,83
119,1993,"
        T41","
JC Anderson
",77,0.01,1,76
120,1993,"
        T41","
Billy Andrade
",92,0.01,1,92
121,1993,"
        T41","
Paul Azinger
",81,0.01,1,80
122,1993,"
        T41","
Ronnie Black
",88,0.01,1,87
123,1993,"
        T41","
Bill Britton
",89,0.01,1,88
124,1993,"
        T41","
Mark Calcavecchia
",95,0.01,1,95
125,1993,"
        T41","
Mark Carnevale
",94,0.01,1,94
