,"year","rank","player_name","rounds","three_putt_percent","total_3_putts","total_holes"
0,1992,"
        1","
Rick Fehr
",85,1.44,22,1530
1,1992,"
        2","
Raymond Floyd
",60,1.57,17,1080
2,1992,"
        3","
Nick Price
",99,1.68,30,1782
3,1992,"
        4","
Hale Irwin
",65,1.71,20,1170
4,1992,"
        5","
Steve Elkington
",86,1.81,28,1548
5,1992,"
        6","
John Cook
",79,1.83,26,1422
6,1992,"
        7","
Ben Crenshaw
",82,1.9,28,1476
7,1992,"
        T8","
Larry Mize
",81,1.92,28,1458
8,1992,"
        T8","
Chris Perry
",79,1.92,27,1404
9,1992,"
        T10","
Paul Azinger
",86,1.94,30,1548
10,1992,"
        T10","
Mark Wiebe
",83,1.94,29,1494
11,1992,"
        12","
John Huston
",105,1.96,37,1890
12,1992,"
        13","
Jay Delsing
",93,1.97,33,1674
13,1992,"
        14","
Don Pooley
",57,2.05,21,1026
14,1992,"
        15","
Gil Morgan
",87,2.07,32,1548
15,1992,"
        16","
Jay Haas
",104,2.08,39,1872
16,1992,"
        T17","
Ian Baker-Finch
",60,2.13,23,1080
17,1992,"
        T17","
Scott Simpson
",73,2.13,28,1314
18,1992,"
        19","
Duffy Waldorf
",86,2.16,33,1530
19,1992,"
        T20","
Davis Love III
",92,2.17,36,1656
20,1992,"
        T20","
Lanny Wadkins
",87,2.17,34,1566
21,1992,"
        22","
Bruce Fleisher
",102,2.18,40,1836
22,1992,"
        23","
Jodie Mudd
",66,2.19,26,1188
23,1992,"
        24","
Mike Smith
",106,2.2,42,1908
24,1992,"
        T25","
Wayne Grady
",70,2.22,28,1260
25,1992,"
        T25","
Morris Hatalsky
",75,2.22,30,1350
26,1992,"
        T25","
Steve Pate
",105,2.22,42,1890
27,1992,"
        28","
Lee Janzen
",104,2.24,42,1872
28,1992,"
        29","
Jeff Sluman
",111,2.25,45,1998
29,1992,"
        30","
Roger Maltbie
",64,2.26,26,1152
30,1992,"
        T31","
Corey Pavin
",89,2.31,37,1602
31,1992,"
        T31","
Howard Twitty
",85,2.31,35,1512
32,1992,"
        33","
Frank Conner
",87,2.36,37,1566
33,1992,"
        T34","
Ed Fiori
",97,2.37,41,1728
