rank,player_name,top_ten,first,second,third,year
1,Jon Rahm,15,1,2,2,2021
T2,Abraham Ancer,9,1,1,0,2021
T2,Bryson DeChambeau,9,2,1,1,2021
T2,Dustin Johnson,9,1,1,0,2021
T2,Jordan Spieth,9,1,2,2,2021
T6,Daniel Berger,8,1,0,1,2021
T6,Sam Burns,8,1,2,1,2021
T6,Corey Conners,8,0,0,1,2021
T6,Harris English,8,2,0,1,2021
T6,Tony Finau,8,1,2,0,2021
T6,Brooks Koepka,8,1,2,0,2021
T6,Collin Morikawa,8,2,1,0,2021
T6,Louis Oosthuizen,8,0,4,2,2021
T6,Xander Schauffele,8,0,3,1,2021
T6,Scottie Scheffler,8,0,1,1,2021
T6,Cameron Smith,8,1,2,0,2021
T6,Will Zalatoris,8,0,1,0,2021
T18,Patrick Cantlay,7,4,1,1,2021
T18,Paul Casey,7,0,0,0,2021
T18,Viktor Hovland,7,1,2,2,2021
T18,Rory McIlroy,7,1,0,0,2021
T18,Justin Thomas,7,1,1,1,2021
T23,Billy Horschel,6,1,1,0,2021
T23,Patrick Reed,6,1,0,0,2021
T23,Webb Simpson,6,0,0,0,2021
T26,Matt Fitzpatrick,5,0,0,0,2021
T26,James Hahn,5,0,0,0,2021
T26,Brian Harman,5,0,0,1,2021
T26,Russell Henley,5,0,0,2,2021
T26,Charley Hoffman,5,0,1,1,2021
T26,Max Homa,5,1,0,0,2021
T26,Sungjae Im,5,0,1,1,2021
T26,Si Woo Kim,5,1,1,0,2021
T26,Patton Kizzire,5,0,0,2,2021
T26,Jason Kokrak,5,2,0,0,2021
T26,Luke List,5,0,0,0,2021
T26,Kevin Na,5,1,2,1,2021
T26,Joaquin Niemann,5,0,3,0,2021
T26,Erik van Rooyen,5,1,0,0,2021
T26,Bubba Watson,5,0,0,0,2021
T41,Ryan Armour,4,0,0,0,2021
T41,Keegan Bradley,4,0,1,0,2021
T41,Sergio Garcia,4,1,0,0,2021
T41,Lucas Glover,4,1,0,0,2021
T41,Branden Grace,4,1,1,0,2021
T41,Emiliano Grillo,4,0,1,0,2021
T41,Adam Hadwin,4,0,0,0,2021
T41,Tyrrell Hatton,4,0,1,1,2021
T41,Mackenzie Hughes,4,0,0,1,2021
T41,Chris Kirk,4,0,1,0,2021
T41,Kevin Kisner,4,1,1,0,2021
T41,Marc Leishman,4,1,0,1,2021
T41,Shane Lowry,4,0,0,0,2021
T41,Troy Merritt,4,0,1,0,2021
T41,Keith Mitchell,4,0,0,1,2021
T41,Sebastián Muñoz,4,0,0,1,2021
T41,Ryan Palmer,4,0,1,0,2021
T41,Seamus Power,4,1,0,0,2021
T41,Andrew Putnam,4,0,1,0,2021
T41,Doc Redman,4,0,1,1,2021
T41,Sam Ryder,4,0,1,1,2021
T41,Kevin Streelman,4,0,0,1,2021
T41,Cameron Tringale,4,0,0,2,2021
T41,Jhonattan Vegas,4,0,3,0,2021
T65,Stewart Cink,3,2,0,0,2021
T65,Joel Dahmen,3,1,0,0,2021
T65,Cam Davis,3,1,0,1,2021
T65,Jason Day,3,0,0,0,2021
T65,Dylan Frittelli,3,0,0,0,2021
T65,Brice Garnett,3,0,0,0,2021
T65,Talor Gooch,3,0,0,0,2021
T65,Brandon Hagy,3,0,1,0,2021
T65,Zach Johnson,3,0,0,0,2021
T65,Matt Jones,3,1,0,0,2021
T65,Anirban Lahiri,3,0,0,1,2021
T65,Hank Lebioda,3,0,0,0,2021
T65,K.H. Lee,3,1,1,0,2021
T65,Peter Malnati,3,0,1,0,2021
T65,Hideki Matsuyama,3,1,2,0,2021
T65,Denny McCarthy,3,0,0,1,2021
T65,Francesco Molinari,3,0,0,0,2021
T65,Alex Noren,3,0,0,0,2021
T65,Henrik Norlander,3,0,1,0,2021
T65,Carlos Ortiz,3,1,0,0,2021
T65,Ian Poulter,3,0,0,1,2021
T65,Justin Rose,3,0,0,0,2021
T65,Charl Schwartzel,3,0,2,1,2021
T65,Brendan Steele,3,0,0,1,2021
T65,Sepp Straka,3,0,0,0,2021
T65,Brian Stuard,3,0,0,1,2021
T65,Hudson Swafford,3,1,1,0,2021
T65,Brendon Todd,3,0,0,0,2021
T65,Aaron Wise,3,0,1,0,2021
T65,Gary Woodland,3,0,0,0,2021
T95,Rafael Campos,2,0,1,1,2021
T95,Cameron Champ,2,1,0,0,2021
T95,Wyndham Clark,2,0,1,0,2021
T95,Tommy Fleetwood,2,0,0,0,2021
T95,Lanto Griffin,2,0,0,0,2021
T95,Kramer Hickok,2,0,1,0,2021
T95,Harry Higgs,2,0,1,0,2021
T95,Tom Hoge,2,0,0,1,2021
T95,Russell Knox,2,0,0,0,2021
T95,Nate Lashley,2,0,0,0,2021
T95,Adam Long,2,0,0,1,2021
T95,Robert MacIntyre,2,0,0,0,2021
T95,Tyler McCumber,2,0,1,0,2021
T95,Maverick McNealy,2,0,1,0,2021
T95,Matthew NeSmith,2,0,0,0,2021
T95,C.T. Pan,2,0,0,1,2021
