"rank_total","player_name","rounds_total","avg_drive_total","total_distance_total","num_drives_total","year"
"1","Bryson DeChambeau",83,314.5,300706,956,2021
"2","Rory McIlroy",77,307.6,270109,878,2021
"3","Ryan Brehm",62,306.5,149596,488,2021
"4","Cameron Champ",79,305.3,277839,910,2021
"5","Dustin Johnson",75,304.0,262617,864,2021
"6","Brooks Koepka",66,303.9,220025,724,2021
"7","Matthew Wolff",60,303.7,215600,710,2021
"T8","Sergio Garcia",79,302.7,288822,954,2021
"T8","Jon Rahm",86,302.7,271247,896,2021
"10","Brandon Hagy",82,301.8,243823,808,2021
"11","Keith Mitchell",88,301.7,281170,932,2021
"12","Wyndham Clark",84,301.2,297568,988,2021
"13","Joseph Bramlett",84,301.0,234759,780,2021
"T14","Xander Schauffele",83,300.9,265436,882,2021
"T14","Jhonattan Vegas",90,300.9,279797,930,2021
"16","Luke List",91,300.4,314262,1046,2021
"17","Joaquin Niemann",105,300.2,372855,1242,2021
"18","Dylan Frittelli",78,299.9,250118,834,2021
"19","Will Gordon",92,299.8,284194,948,2021
"20","Patrick Rodgers",106,299.7,326035,1088,2021
"21","Justin Thomas",87,299.2,283630,948,2021
"22","Viktor Hovland",90,298.8,290403,972,2021
"23","Carlos Ortiz",95,298.7,345952,1158,2021
"T24","Cam Davis",94,298.1,373792,1254,2021
"T24","Beau Hossler",92,298.1,290313,974,2021
"26","Stewart Cink",90,298.0,326020,1094,2021
"27","Patrick Cantlay",85,297.9,283602,952,2021
"T28","Adam Scott",72,297.8,246004,826,2021
"T28","Bubba Watson",77,297.8,247739,832,2021
"30","Scottie Scheffler",109,297.7,347670,1168,2021
"T31","Jason Kokrak",95,297.5,315396,1060,2021
"T31","Tyler McCumber",70,297.5,224909,756,2021
"T31","Ryan Palmer",81,297.5,277842,934,2021
"34","Gary Woodland",74,297.2,240724,810,2021
"T35","Sam Burns",88,296.9,301033,1014,2021
"T35","Charley Hoffman",103,296.9,326010,1098,2021
"37","Byeong Hun An",86,296.7,288438,972,2021
"T38","Matt Jones",104,296.5,347502,1172,2021
"T38","Will Zalatoris",90,296.5,282258,952,2021
"40","Martin Trainer",63,296.4,198024,668,2021
"41","Tony Finau",97,296.3,297509,1004,2021
"42","Grayson Murray",53,296.0,147993,500,2021
"43","Kevin Tway",68,295.9,210118,710,2021
"44","Scott Harrington",85,295.6,259248,877,2021
"45","Jordan Spieth",92,295.1,303953,1030,2021
"46","Erik van Rooyen",85,294.4,278470,946,2021
"T47","Tom Lewis",88,294.3,286613,974,2021
"T47","Hideki Matsuyama",96,294.3,344965,1172,2021
"T47","Aaron Wise",82,294.3,287212,976,2021
"T50","J.B. Holmes",50,294.2,180021,612,2021
"T50","Kris Ventura",78,294.2,212403,722,2021
"T52","Tommy Fleetwood",65,294.0,192301,654,2021
"T52","Charl Schwartzel",90,294.0,306900,1044,2021
"54","Jason Day",68,293.9,228103,776,2021
"T55","Tyrrell Hatton",63,293.6,190845,650,2021
"T55","Sepp Straka",100,293.6,315305,1074,2021
"T57","Sebastian Cappelen",60,293.4,155495,530,2021
"T57","Cameron Smith",89,293.4,283421,966,2021
"59","Lanto Griffin",95,293.2,326601,1114,2021
"T60","Danny Lee",61,293.1,230990,788,2021
"T60","Phil Mickelson",74,293.1,247942,846,2021
"62","Rafael Campos",64,293.0,167589,572,2021
"63","Hunter Mahan",59,292.8,166923,570,2021
"T64","Max Homa",93,292.5,272016,930,2021
"T64","Charles Howell III",70,292.5,215886,738,2021
"T66","Sungjae Im",127,292.4,460235,1574,2021
"T66","J.T. Poston",87,292.4,321067,1098,2021
"68","Louis Oosthuizen",81,292.3,244347,836,2021
"69","Shane Lowry",79,292.0,256346,878,2021
"70","Matt Wallace",60,291.8,155234,532,2021
"T71","Corey Conners",107,291.7,339585,1164,2021
"T71","Maverick McNealy",84,291.7,268404,920,2021
"T71","Scott Piercy",85,291.7,275958,946,2021
"74","Si Woo Kim",97,291.5,338114,1160,2021
"T75","Keegan Bradley",90,291.4,316513,1086,2021
"T75","Harry Higgs",82,291.4,304813,1046,2021
"T77","Sean O'Hair",55,291.2,177643,610,2021
"T77","Roger Sloan",88,291.2,252204,866,2021
"T79","Patton Kizzire",102,291.1,368477,1266,2021
"T79","Hudson Swafford",82,291.1,268949,924,2021
"T79","Harold Varner III",96,291.1,320759,1102,2021
"T82","Harris English",95,291.0,317785,1092,2021
"T82","Matt Fitzpatrick",69,291.0,214726,738,2021
"T82","Vince Whaley",88,291.0,235105,808,2021
"T85","Paul Casey",75,290.9,233886,804,2021
"T85","Jimmy Walker",74,290.9,254523,875,2021
"T87","Anirban Lahiri",68,290.8,219873,756,2021
"T87","Adam Schenk",110,290.8,324004,1114,2021
"89","Chris Baker",62,290.6,154611,532,2021
"90","Emiliano Grillo",100,290.5,279415,962,2021
"T91","K.H. Lee",110,290.4,376367,1296,2021
"T91","Scott Stallings",84,290.4,274746,946,2021
"93","Sebastián Muñoz",105,290.3,361666,1246,2021
"94","Billy Horschel",97,290.2,280380,966,2021
"95","Bill Haas",50,290.1,125922,434,2021
"96","Sam Ryder",94,289.9,274794,948,2021
"97","Bronson Burgoon",76,289.8,225485,778,2021
"98","Rickie Fowler",78,289.7,262453,906,2021
"T99","Michael Gligic",88,289.6,242115,836,2021
"T99","Collin Morikawa",83,289.6,267599,924,2021
"T99","Robby Shelton",86,289.6,286737,990,2021
"102","Marc Leishman",83,289.3,255184,882,2021
"T103","Joel Dahmen",88,289.1,266013,920,2021
"T103","Nick Taylor",94,289.1,335365,1160,2021
"T105","Chesson Hadley",78,289.0,234125,810,2021
"T105","Webb Simpson",77,289.0,246774,854,2021
"T105","Brendan Steele",82,289.0,269951,934,2021
"T105","Ben Taylor",56,289.0,125437,434,2021
"109","Patrick Reed",81,288.9,266341,922,2021
"T110","Daniel Berger",87,288.8,295122,1022,2021
"T110","James Hahn",72,288.8,248962,862,2021
"T110","Seamus Power",58,288.8,169813,588,2021
"T113","Brian Harman",105,288.7,341227,1182,2021
"T113","C.T. Pan",82,288.7,261600,906,2021
"115","Bo Van Pelt",78,288.5,220402,764,2021
"T116","Kevin Streelman",102,288.4,336817,1168,2021
"T116","Cameron Tringale",94,288.4,328742,1140,2021
"T118","Peter Malnati",84,288.3,265834,922,2021
"T118","Ben Martin",54,288.3,137253,476,2021
"T120","Branden Grace",87,288.2,252467,876,2021
"T120","Danny Willett",51,288.2,112102,389,2021
"122","Richy Werenski",94,287.9,333913,1160,2021
"T123","Talor Gooch",97,287.8,331519,1152,2021
"T123","Mackenzie Hughes",94,287.8,304449,1058,2021
"T123","Justin Rose",58,287.8,163495,568,2021
"T126","Martin Laird",82,287.7,277939,966,2021
"T126","Alex Noren",86,287.7,295144,1026,2021
"128","Abraham Ancer",101,287.3,324674,1130,2021
"129","D.J. Trahan",70,287.2,184358,642,2021
"130","Lucas Glover",98,287.1,323840,1128,2021
"131","Lee Westwood",65,286.8,204206,712,2021
"T132","Matthew NeSmith",90,286.7,319403,1114,2021
"T132","Xinjun Zhang",72,286.7,199520,696,2021
"T134","Hank Lebioda",74,286.5,215483,752,2021
"T134","Robert Streb",84,286.5,281881,984,2021
"136","Doc Redman",84,286.3,274277,958,2021
"137","Nick Watney",62,286.2,167737,586,2021
"138","Josh Teater",54,286.1,132199,462,2021
"T139","Bo Hoag",93,286.0,299157,1046,2021
"T139","Chase Seiffert",84,286.0,223630,782,2021
"141","Michael Kim",75,285.9,215000,752,2021
"142","Adam Hadwin",90,285.7,314264,1100,2021
"143","Russell Henley",87,285.5,308917,1082,2021
"144","Nate Lashley",78,285.4,234588,822,2021
"T145","Aaron Baddeley",60,285.3,143217,502,2021
"T145","Scott Brown",84,285.3,253360,888,2021
"T145","Camilo Villegas",81,285.3,257937,904,2021
"T148","John Huh",62,285.2,201921,708,2021
"T148","Russell Knox",96,285.2,317094,1112,2021
"T150","Jason Dufner",88,285.1,293638,1030,2021
"T150","Kyle Stanley",96,285.1,294200,1032,2021
"T152","Michael Gellerman",51,284.9,123635,434,2021
"T152","J.J. Spaun",76,284.9,206818,726,2021
"T154","Mark Anderson",62,284.8,135556,476,2021
"T154","Chris Kirk",90,284.8,297319,1044,2021
"T154","Andrew Landry",72,284.8,242040,850,2021
"T154","Denny McCarthy",94,284.8,316680,1112,2021
"158","Kramer Hickok",71,284.7,220892,776,2021
"159","Sung Kang",90,284.6,297654,1046,2021
"T160","Henrik Norlander",88,284.4,296939,1044,2021
"T160","Rory Sabbatini",75,284.4,265909,935,2021
"T162","Austin Cook",78,284.2,256895,904,2021
"T162","Pat Perez",104,284.2,308666,1086,2021
"T164","Tyler Duncan",98,284.1,299482,1054,2021
"T164","Troy Merritt",104,284.1,315958,1112,2021
"166","Matt Kuchar",75,284.0,233459,822,2021
"T167","Nelson Ledesma",54,283.9,138531,488,2021
"T167","Adam Long",87,283.9,279359,984,2021
"T169","Tom Hoge",100,283.8,347404,1224,2021
"T169","Kevin Kisner",83,283.8,273596,964,2021
"171","Jim Herman",66,283.7,232669,820,2021
"172","Rhein Gibson",62,283.5,150249,530,2021
"173","Satoshi Kodaira",80,283.4,243116,858,2021
"174","Rafa Cabrera Bello",76,283.3,237396,838,2021
"175","Zach Johnson",84,283.0,298892,1056,2021
"176","Brian Gay",72,282.8,246078,870,2021
"T177","Cameron Percy",85,282.5,236735,838,2021
"T177","Ted Potter Jr.",68,282.5,227705,806,2021
"179","Ian Poulter",76,282.4,216286,766,2021
"T180","Kevin Na",90,281.9,306740,1088,2021
"T180","Michael Thompson",80,281.9,267199,948,2021
"182","Doug Ghim",90,281.8,283490,1006,2021
"183","Brice Garnett",100,281.7,270957,962,2021
"184","Brandt Snedeker",90,281.5,281527,1000,2021
"185","Fabián Gómez",60,281.3,132772,472,2021
"186","Luke Donald",58,280.2,174818,624,2021
"187","Rob Oppenheim",80,279.3,218407,782,2021
"188","Chez Reavie",90,279.0,276725,992,2021
"189","Ryan Armour",80,278.2,259836,934,2021
"190","Andrew Putnam",95,278.0,286935,1032,2021
"191","Vaughn Taylor",81,277.2,238960,862,2021
"192","Mark Hubbard",102,276.6,341843,1236,2021
"193","Brendon Todd",93,273.8,272170,994,2021
"194","Brian Stuard",108,273.7,335546,1226,2021
"195","David Hearn",68,271.7,173900,640,2021
"196","K.J. Choi",54,267.6,160544,600,2021
"1","Bryson DeChambeau",62,310.4,269441,868,2020
"2","Cameron Champ",70,308.8,264964,858,2020
"3","Ryan Brehm",52,304.3,136339,448,2020
"4","Rory McIlroy",60,303.4,216639,714,2020
"5","Bubba Watson",66,303.1,241864,798,2020
"6","Matthew Wolff",74,302.5,267981,886,2020
"7","Jon Rahm",58,301.8,242070,802,2020
"8","Dustin Johnson",49,301.5,199586,662,2020
"9","Sergio Garcia",44,300.5,134631,448,2020
"10","Brandon Hagy",50,300.3,151354,504,2020
"11","Tony Finau",72,300.2,247985,826,2020
"12","Patrick Cantlay",46,299.9,185910,620,2020
"13","Justin Thomas",66,299.5,244412,816,2020
"14","Xander Schauffele",70,299.0,256573,858,2020
"T15","Luke List",69,298.6,246650,826,2020
"T15","Tyler McCumber",57,298.6,158855,532,2020
"T17","Sam Burns",60,298.5,229867,770,2020
"T17","Grayson Murray",36,298.5,129565,434,2020
"T17","Patrick Rodgers",95,298.5,313415,1050,2020
"20","Jason Kokrak",62,298.3,212985,714,2020
"21","Martin Trainer",48,298.1,163967,550,2020
"T22","Scottie Scheffler",82,297.8,291871,980,2020
"T22","Adam Scott",38,297.8,125056,420,2020
"24","Will Gordon",36,297.6,91655,308,2020
"25","Tommy Fleetwood",40,297.5,116614,392,2020
"26","Zack Sucher",38,297.4,99912,336,2020
"27","Keith Mitchell",64,297.1,209182,704,2020
"28","Byeong Hun An",75,296.8,249305,840,2020
"29","Phil Mickelson",51,296.6,157806,532,2020
"30","Sung Kang",73,296.5,258547,872,2020
"31","Sebastian Cappelen",55,296.4,145223,490,2020
"32","Hideki Matsuyama",74,296.3,253075,854,2020
"33","Beau Hossler",71,295.9,202982,686,2020
"T34","Brooks Koepka",40,295.6,157271,532,2020
"T34","Joaquin Niemann",76,295.6,270179,914,2020
"T34","Gary Woodland",62,295.6,220528,746,2020
"37","Wyndham Clark",65,295.3,190196,644,2020
"38","Danny Lee",69,295.0,227138,770,2020
"39","Si Woo Kim",78,294.5,247344,840,2020
"T40","Scott Harrington",68,294.4,222535,756,2020
"T40","Kevin Tway",52,294.4,144266,490,2020
"42","Jhonattan Vegas",52,294.3,152472,518,2020
"43","Matt Wallace",44,294.2,164733,560,2020
"44","Charles Howell III",69,294.0,205812,700,2020
"45","Kris Ventura",48,293.8,115178,392,2020
"46","Paul Casey",56,293.6,182004,620,2020
"47","Viktor Hovland",74,293.5,238294,812,2020
"48","Cam Davis",62,293.2,188838,644,2020
"49","Carlos Ortiz",72,292.9,266530,910,2020
"T50","Sungjae Im",94,292.8,323827,1106,2020
"T50","Martin Laird",39,292.8,118858,406,2020
"T50","Ryan Palmer",68,292.8,243063,830,2020
"53","Cameron Tringale",63,292.7,217152,742,2020
"T54","Tyrrell Hatton",42,292.6,139300,476,2020
"T54","Cameron Smith",64,292.6,225330,770,2020
"T54","Jordan Spieth",62,292.6,192534,658,2020
"57","Jason Day",53,292.5,163826,560,2020
"T58","Kevin Chappell",41,292.4,130994,448,2020
"T58","Sebastián Muñoz",84,292.4,320499,1096,2020
"60","Max Homa",70,292.3,234442,802,2020
"T61","Harry Higgs",83,292.2,282252,966,2020
"T61","Brendan Steele",68,292.2,229076,784,2020
"63","Danny Willett",40,292.1,130849,448,2020
"64","Sepp Straka",70,292.0,253498,868,2020
"65","Patrick Reed",74,291.9,266820,914,2020
"66","Corey Conners",74,291.8,254423,872,2020
"67","Branden Grace",43,291.5,134675,462,2020
"T68","Billy Horschel",79,291.0,240378,826,2020
"T68","Harold Varner III",74,291.0,232246,798,2020
"70","Keegan Bradley",68,290.9,232130,798,2020
"71","Charley Hoffman",63,290.7,195359,672,2020
"72","Vince Whaley",40,290.6,113918,392,2020
"73","Lucas Glover",67,290.4,203279,700,2020
"74","Lanto Griffin",96,290.3,326262,1124,2020
"75","Adam Schenk",78,290.2,223422,770,2020
"T76","Jimmy Walker",46,290.1,166499,574,2020
"T76","Aaron Wise",49,290.1,138105,476,2020
"T78","Collin Morikawa",80,290.0,289405,998,2020
"T78","Sam Ryder",74,290.0,227368,784,2020
"80","Seamus Power",36,289.9,85241,294,2020
"81","Scott Piercy",66,289.8,202861,700,2020
"82","Louis Oosthuizen",48,289.7,162250,560,2020
"T83","Abraham Ancer",74,289.6,227064,784,2020
"T83","Maverick McNealy",80,289.6,235194,812,2020
"85","J.J. Spaun",62,289.4,194453,672,2020
"T86","Mackenzie Hughes",70,289.3,251093,868,2020
"T86","Matt Jones",76,289.3,259185,896,2020
"T88","Joel Dahmen",79,289.2,255046,882,2020
"T88","James Hahn",36,289.2,109308,378,2020
"T90","Webb Simpson",52,289.1,206428,714,2020
"T90","Nick Taylor",59,289.1,202345,700,2020
"92","Rickie Fowler",44,288.8,166900,578,2020
"93","Peter Uihlein",47,288.7,133402,462,2020
"T94","Shane Lowry",44,288.6,145474,504,2020
"T94","Justin Rose",38,288.6,133325,462,2020
"T96","Daniel Berger",64,288.5,226165,784,2020
"T96","Marc Leishman",61,288.5,210003,728,2020
"T96","Roger Sloan",55,288.5,153496,532,2020
"99","Emiliano Grillo",69,288.4,193817,672,2020
"100","Xinjun Zhang",77,288.3,238166,826,2020
"101","Nelson Ledesma",42,288.2,96848,336,2020
"102","Adam Hadwin",65,287.9,217639,756,2020
"T103","Michael Gligic",52,287.5,136873,476,2020
"T103","Brian Harman",78,287.5,285815,994,2020
"T103","Russell Knox",67,287.5,197237,686,2020
"106","Joseph Bramlett",57,287.4,156947,546,2020
"T107","Dylan Frittelli",82,287.2,274605,956,2020
"T107","Robby Shelton",75,287.2,229179,798,2020
"T109","Anirban Lahiri",35,286.9,92380,322,2020
"T109","Kevin Streelman",73,286.9,228946,798,2020
"111","Richy Werenski",60,286.8,196719,686,2020
"T112","K.H. Lee",76,286.7,216727,756,2020
"T112","J.T. Poston",78,286.7,254038,886,2020
"T114","Bronson Burgoon",55,286.5,180513,630,2020
"T114","Austin Cook",64,286.5,192530,672,2020
"T114","Cameron Percy",49,286.5,132358,462,2020
"T117","Stewart Cink",51,286.4,180416,630,2020
"T117","Matt Every",47,286.4,164411,574,2020
"119","Ben Taylor",44,286.3,112237,392,2020
"120","Harris English",76,286.2,272469,952,2020
"121","Scott Stallings",71,286.0,212192,742,2020
