,"year","rank","player_name","rounds","total_eagles"
0,1980,"
        1","
Dave Eichelberger
",110,16
1,1980,"
        2","
Buddy Gardner
",108,13
2,1980,"
        3","
Bruce Lietzke
",87,12
3,1980,"
        T4","
Keith Fergus
",91,11
4,1980,"
        T4","
Billy Kratzert
",115,11
5,1980,"
        T4","
Bob Murphy
",105,11
6,1980,"
        T4","
Tom Purtzer
",93,11
7,1980,"
        8","
Ron Streck
",110,9
8,1980,"
        T9","
Danny Edwards
",94,8
9,1980,"
        T9","
John Fought
",102,8
10,1980,"
        T11","
Steve Melnyk
",75,7
11,1980,"
        T11","
Jerry Pate
",95,7
12,1980,"
        T11","
Scott Simpson
",108,7
13,1980,"
        T11","
Mike Sullivan
",95,7
14,1980,"
        T11","
Lanny Wadkins
",90,7
15,1980,"
        T11","
Fuzzy Zoeller
",80,7
16,1980,"
        T17","
Andy Bean
",104,6
17,1980,"
        T17","
Chip Beck
",76,6
18,1980,"
        T17","
Brad Bryant
",113,6
19,1980,"
        T17","
Ed Fiori
",105,6
20,1980,"
        T17","
Raymond Floyd
",103,6
21,1980,"
        T17","
Mark Hayes
",97,6
22,1980,"
        T17","
Peter Jacobsen
",102,6
23,1980,"
        T17","
Mark Lye
",104,6
24,1980,"
        T17","
Dan Pohl
",96,6
25,1980,"
        T17","
Don Pooley
",98,6
26,1980,"
        T17","
J.C. Snead
",113,6
27,1980,"
        T17","
Doug Tewell
",91,6
28,1980,"
        T17","
Leonard Thompson
",100,6
29,1980,"
        T17","
Lee Trevino
",82,6
30,1980,"
        T17","
Tom Watson
",88,6
31,1980,"
        T32","
John Adams
",61,5
32,1980,"
        T32","
Bud Allin
",89,5
33,1980,"
        T32","
Stanton Altgelt
",68,5
34,1980,"
        T32","
George Archer
",112,5
35,1980,"
        T32","
George Burns
",106,5
36,1980,"
        T32","
Bill Calfee
",90,5
37,1980,"
        T32","
Jim Colbert
",93,5
38,1980,"
        T32","
Frank Conner
",91,5
39,1980,"
        T32","
Rod Curl
",99,5
40,1980,"
        T32","
Morris Hatalsky
",86,5
41,1980,"
        T32","
Lon Hinkle
",78,5
42,1980,"
        T32","
Wayne Levi
",102,5
43,1980,"
        T32","
John Mahaffey
",89,5
44,1980,"
        T32","
Terry Mauney
",99,5
45,1980,"
        T32","
Mark McCumber
",91,5
46,1980,"
        T32","
Gil Morgan
",88,5
47,1980,"
        T32","
Larry Nelson
",103,5
48,1980,"
        T32","
Calvin Peete
",96,5
49,1980,"
        T32","
Mark Pfeil
",83,5
50,1980,"
        T32","
Victor Regalado
",95,5
