,"year","rank","player_name","events","total_putting"
0,2001,"
        1","
David Toms
",0,99.2
1,2001,"
        2","
José Coceres
",0,99.6
2,2001,"
        T3","
Stewart Cink
",0,100
3,2001,"
        T3","
Scott McCarron
",0,100
4,2001,"
        T5","
Robert Allenby
",0,100.8
5,2001,"
        T5","
Chris DiMarco
",0,100.8
6,2001,"
        T5","
Bob Estes
",0,100.8
7,2001,"
        T5","
Frank Lickliter II
",0,100.8
8,2001,"
        T5","
Davis Love III
",0,100.8
9,2001,"
        T5","
Steve Lowery
",0,100.8
10,2001,"
        T5","
David Peoples
",0,100.8
11,2001,"
        T5","
Vijay Singh
",0,100.8
12,2001,"
        T5","
Jeff Sluman
",0,100.8
13,2002,"
        1","
Bernhard Langer
",16,46.2
14,2002,"
        2","
Billy Andrade
",31,73.4
15,2002,"
        3","
Brad Faxon
",25,88.4
16,2002,"
        4","
Chris Riley
",28,94.7
17,2002,"
        5","
Jim Carter
",29,96.8
18,2002,"
        6","
Carl Paulson
",28,103.8
19,2002,"
        7","
Phil Tataurangi
",25,105.1
20,2002,"
        8","
José María Olazábal
",20,105.7
21,2002,"
        9","
David Frost
",29,106.2
22,2002,"
        10","
Loren Roberts
",25,109.3
23,2002,"
        11","
Pat Bates
",29,110.6
24,2002,"
        T12","
Brandel Chamblee
",30,112.3
25,2002,"
        T12","
Geoff Ogilvy
",27,112.3
26,2002,"
        14","
Ben Crane
",30,112.9
27,2002,"
        15","
Matt Kuchar
",27,119.6
28,2002,"
        16","
Mark O'Meara
",24,125.4
29,2002,"
        17","
Shigeki Maruyama
",24,125.8
30,2002,"
        18","
Jonathan Byrd
",32,129.1
31,2002,"
        19","
Bryce Molder
",22,130.2
32,2002,"
        20","
Brad Elder
",26,132.9
33,2002,"
        21","
Retief Goosen
",15,133.8
34,2002,"
        22","
Donnie Hammond
",17,135.8
35,2002,"
        23","
Brandt Jobe
",28,138
36,2002,"
        24","
Tim Herron
",30,140.8
37,2002,"
        25","
Scott Hoch
",21,143.3
38,2002,"
        26","
Jim Furyk
",25,144
39,2002,"
        T27","
David Duval
",24,145.1
40,2002,"
        T27","
John Rollins
",34,145.1
41,2002,"
        29","
Skip Kendall
",31,146.2
42,2002,"
        30","
Steve Allan
",30,146.5
43,2002,"
        31","
Steve Elkington
",23,147
44,2002,"
        32","
Scott Verplank
",26,147.5
45,2002,"
        T33","
Brent Geiberger
",29,149.1
46,2002,"
        T33","
Corey Pavin
",24,149.1
47,2002,"
        35","
Scott Simpson
",25,149.9
48,2002,"
        36","
Rocco Mediate
",23,150.6
49,2002,"
        37","
Ernie Els
",18,153
50,2002,"
        38","
Dan Forsman
",25,153.3
51,2002,"
        39","
Craig Parry
",21,153.9
52,2002,"
        40","
Jeff Sluman
",32,156
53,2002,"
        41","
Justin Leonard
",26,158
54,2002,"
        42","
Davis Love III
",26,165.3
55,2002,"
        43","
John Riegger
",29,165.6
56,2002,"
        44","
Lee Janzen
",29,166.7
57,2002,"
        45","
Robert Damron
",28,166.8
58,2002,"
        46","
Jay Don Blake
",34,169.4
59,2002,"
        47","
Mathew Goggin
",20,170
60,2002,"
        48","
Bob May
",30,170.3
61,2002,"
        49","
Matt Gogel
",25,170.4
62,2002,"
        50","
Michael Muehr
",27,170.7
63,2002,"
        51","
David Peoples
",30,170.8
