10/23/22,THE CJ CUP in South Carolina,10500000,267,-17,Rory McIlroy,,1890000,Congaree Golf Club, Ridgeland, SC ,,71,7655,,
10/17/21,THE CJ CUP @ SUMMIT,9750000,263,-25,Rory McIlroy,,1755000,The Summit Club, Las Vegas, NV ,,72,7431,,
10/18/20,THE CJ CUP @ SHADOW CREEK,9750000,268,-20,Jason Kokrak,,1755000,Shadow Creek Golf Course, Las Vegas, NV ,,72,7527,,
10/20/19,THE CJ CUP @ NINE BRIDGES,9750000,268,-20,Justin Thomas,,1755000,Nine Bridges, ,,,72,7241,,
10/21/18,THE CJ CUP @ NINE BRIDGES,9500000,267,-21,Brooks Koepka,,1710000,Nine Bridges, ,,,72,7196,,
10/22/17,THE CJ CUP @ NINE BRIDGES,9250000,279,-9,Justin Thomas ,p,1665000,Club at Nine Bridges, ,,,72,7184,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
10/30/22,Butterfield Bermuda Championship,6500000,265,-19,Seamus Power,,1170000,Port Royal Golf Course, ,,,71,6828,,
10/31/21,Butterfield Bermuda Championship,6500000,269,-15,Lucas Herbert,,1170000,Port Royal Golf Course, ,,,71,6828,,
11/1/20,Bermuda Championship,4000000,269,-15,Brian Gay ,p,720000,Port Royal Golf Course, ,,,71,6828,,
11/3/19,Bermuda Championship,3000000,260,-24,Brendon Todd,,540000,Port Royal Golf Club, ,,,71,6828,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11/6/22,World Wide Technology Championship at Mayakoba,8200000,261,-23,Russell Henley,,1476000,El Camaleón Golf Course at Mayakoba, ,,,71,7034,,
11/7/21,World Wide Technology Championship at Mayakoba,7200000,261,-23,Viktor Hovland,,1296000,El Camaleón Golf Course at Mayakoba, ,,,71,7017,,
12/6/20,Mayakoba Golf Classic presented by UNIFIN,7200000,264,-20,Viktor Hovland,,1296000,El Camaleon Golf Club, ,,,71,7017,,
11/17/19,Mayakoba Golf Classic,7200000,264,-20,Brendon Todd,,1296000,El Camaleon Golf Club, ,,,71,7017,,
11/11/18,Mayakoba Golf Classic,7200000,262,-22,Matt Kuchar,,1296000,El Camaleon GC, ,,,71,6987,,
11/12/17,OHL Classic at Mayakoba,7100000,265,-19,Patton Kizzire,,1278000,El Camaleon GC, ,,,71,6987,,
11/13/16,OHL Classic at Mayakoba,7000010,263,-21,Pat Perez,,1260002,El Camaleon GC, ,,,71,6987,,
11/15/15,OHL Classic at Mayakoba,6200000,266,-18,Graeme McDowell ,p,1116000,El Camaleon GC, ,,,71,6987,,
11/16/14,OHL Classic at Mayakoba,6100000,267,-17,Charley Hoffman,,1098000,El Camaleon GC, ,,,71,6987,,
11/17/13,OHL Classic at Mayakoba,6000000,263,-21,Harris English,,1080000,El Camaleon GC, ,,,71,6987,,
2/26/12,Mayakoba Golf Classic,3700000,271,-13,John Huh ,p,666000,El Camaleon GC, ,,,71,6987,,
2/27/11,Mayakoba Golf Classic at Riviera Maya-Cancun,3700000,267,-17,Johnson Wagner ,p,666000,El Camaleon GC, ,,,71,6923,,
2/21/10,Mayakoba Golf Classic at Riviera Maya-Cancun,3600000,269,-15,Cameron Beckman,,648000,El Camaleon GC, ,,,71,6923,,
3/1/09,Mayakoba Golf Classic at Riviera Maya-Cancun,3600000,267,-13,Mark Wilson,,648000,El Camaleon GC, ,,,70,6923,,
2/24/08,Mayakoba Golf Classic at Riviera Maya-Cancun,3500000,264,-16,Brian Gay,,630000,El Camaleon GC, ,,,70,6923,,
2/25/07,Mayakoba Golf Classic at Riviera Maya-Cancun,3500000,266,-14,Fred Funk ,p,630000,El Camaleon GC, ,,,70,6923,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11/13/22,Cadence Bank Houston Open,8400000,264,-16,Tony Finau,,1512000,Memorial Park Golf Course, Houston, TX ,,70,7412,,
11/14/21,Hewlett Packard Enterprise Houston Open,7500000,270,-10,Jason Kokrak,,1350000,Memorial Park Golf Course, Houston, TX ,,70,7412,,
11/8/20,Vivint Houston Open,7000000,267,-13,Carlos Ortiz,,1260000,Memorial Park Golf Course, Houston, TX ,,70,7432,,
10/13/19,Houston Open,7500000,274,-14,Lanto Griffin,,1350000,GC of Houston, Humble, TX ,,72,7441,,
4/1/18,Houston Open,7000000,269,-19,Ian Poulter ,p,1260000,GC of Houston, Humble, TX ,,72,7441,,
4/2/17,Shell Houston Open,7000000,268,-20,Russell Henley,,1260000,GC of Houston, Humble, TX ,,72,7441,,
4/3/16,Shell Houston Open,6800000,273,-15,Jim Herman,,1224000,GC of Houston, Humble, TX ,,72,7441,,
4/5/15,Shell Houston Open,6600000,272,-16,J.B. Holmes ,p,1188000,GC of Houston, Humble, TX ,,72,7441,,
4/6/14,Shell Houston Open,6400000,273,-15,Matt Jones ,p,1152000,GC of Houston, Humble, TX ,,72,7441,,
3/31/13,Shell Houston Open,6200000,272,-16,D.A. Points,,1116000,Redstone GC (Tournament), Humble, TX ,,72,7441,,
4/1/12,Shell Houston Open,6000000,272,-16,Hunter Mahan,,1080000,Redstone GC (Tournament), Humble, TX ,,72,7457,,
4/3/11,Shell Houston Open,5900000,268,-20,Phil Mickelson,,1062000,Redstone GC (Tournament), Humble, TX ,,72,7457,,
4/4/10,Shell Houston Open,5800000,276,-12,Anthony Kim ,p,1044000,Redstone GC (Tournament), Humble, TX ,,72,7457,,
4/5/09,Shell Houston Open,5700000,277,-11,Paul Casey ,p,1026000,Redstone GC (Tournament), Humble, TX ,,72,7457,,
4/6/08,Shell Houston Open,5600000,272,-16,Johnson Wagner,,1008000,Redstone GC (Tournament), Humble, TX ,,72,7457,,
4/1/07,Shell Houston Open,5500000,271,-17,Adam Scott,,990000,Redstone GC (Tournament), Humble, TX ,,72,7457,,
4/23/06,Shell Houston Open,5500000,269,-19,Stuart Appleby,,990000,Redstone GC (Tournament), Humble, TX ,,72,7457,,
4/24/05,Shell Houston Open,5000000,275,-13,Vijay Singh ,p,900000,Redstone GC (Tournament), Humble, TX ,,72,7508,,
4/25/04,Shell Houston Open,5000000,277,-11,Vijay Singh,,900000,Redstone GC (Tournament), Humble, TX ,,72,7508,,
4/27/03,Shell Houston Open,4500000,267,-21,Fred Couples,,810000,Redstone GC (Tournament), Humble, TX ,,72,7508,,
3/31/02,Shell Houston Open,4000000,266,-22,Vijay Singh,,720000,TPC Woodlands, The Woodlands, TX ,,72,7018,,
4/22/01,Shell Houston Open,3400000,278,-10,Hal Sutton,,612000,TPC Woodlands, The Woodlands, TX ,,72,7018,,
4/30/00,Shell Houston Open,2800000,275,-13,Robert Allenby ,p,504000,TPC Woodlands, The Woodlands, TX ,,72,7018,,
5/2/99,Shell Houston Open,2500000,279,-9,Stuart Appleby,,450000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/3/98,Shell Houston Open,2000000,276,-12,David Duval,,360000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
