stat_id,year,player_id,events,rounds_total,rounds_measured,sg_total_avg_m,sg_total,sg_tee2green_avg_m,sg_tee2green_total,sg_putting_avg_m,sg_putting_total,sg_app_green_avg_m,sg_app_green_total,sg_off_tee_avg_m,sg_off_tee_total,sg_approach_avg_m,sg_around_green_avg_m,app_avg_proximity,app_total_distance,app_attempts,avg_score_stroke_differential,avg_score_player,avg_score_field,finish_top_10,finish_1st,finish_2nd,finish_3rd,distance_measured_avg,distance_measured_total,distance_measured_num_drives,distance_all_rank_total,distance_all_avg,distance_all_total,distance_all_num_drives,fairway_accuracy_percent,fairways_hit,fairways_possible,fairways_missed_other_percent,fairways_missed_other_total,fairways_missed_other_possible,fairways_missed_other_relative_to_par,total_putting
2,1980,2256,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,7,1,3,266,46277,174,NULL,NULL,NULL,NULL,65.5,807,1232,NULL,NULL,NULL,NULL,NULL
3,1980,1996,NULL,111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,0,0,4,244.1,51750,212,NULL,NULL,NULL,NULL,79.45,1187,1494,NULL,NULL,NULL,NULL,NULL
4,1980,2213,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,3,3,1,259.2,40961,158,NULL,NULL,NULL,NULL,72.28,824,1140,NULL,NULL,NULL,NULL,NULL
5,1980,1150,NULL,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,1,1,1,263.2,55265,210,NULL,NULL,NULL,NULL,62.21,922,1482,NULL,NULL,NULL,NULL,NULL
6,1980,1925,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,0,3,2,264.7,49226,186,NULL,NULL,NULL,NULL,65.11,866,1330,NULL,NULL,NULL,NULL,NULL
7,1980,1235,NULL,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,1,2,1,259.1,51301,198,NULL,NULL,NULL,NULL,63.15,893,1414,NULL,NULL,NULL,NULL,NULL
8,1980,1633,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,0,1,0,252.6,46740,185,NULL,NULL,NULL,NULL,69.48,931,1340,NULL,NULL,NULL,NULL,NULL
9,1980,1068,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,1,3,0,264.9,53518,202,NULL,NULL,NULL,NULL,67.31,980,1456,NULL,NULL,NULL,NULL,NULL
10,1980,1355,NULL,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,1,1,0,258,52641,204,NULL,NULL,NULL,NULL,63.28,910,1438,NULL,NULL,NULL,NULL,NULL
11,1980,1559,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,0,0,1,250.2,42030,168,NULL,NULL,NULL,NULL,72.69,865,1190,NULL,NULL,NULL,NULL,NULL
12,1980,1648,NULL,115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,1,2,2,263.6,60106,228,NULL,NULL,NULL,NULL,63.5,1021,1608,NULL,NULL,NULL,NULL,NULL
13,1980,1864,NULL,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,1,0,1,254.9,51244,201,NULL,NULL,NULL,NULL,73.92,1063,1438,NULL,NULL,NULL,NULL,NULL
14,1980,2016,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,0,2,0,251.5,48045,191,NULL,NULL,NULL,NULL,77.92,1069,1372,NULL,NULL,NULL,NULL,NULL
15,1980,2159,NULL,114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2,1,2,255.6,57762,226,NULL,NULL,NULL,NULL,70.29,1119,1592,NULL,NULL,NULL,NULL,NULL
16,1980,1522,NULL,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,0,4,266.5,40775,153,NULL,NULL,NULL,NULL,62.36,681,1092,NULL,NULL,NULL,NULL,NULL
17,1980,1851,NULL,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,0,1,251.6,52836,210,NULL,NULL,NULL,NULL,71.14,1040,1462,NULL,NULL,NULL,NULL,NULL
18,1980,2167,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,1,2,1,260.2,48399,186,NULL,NULL,NULL,NULL,65.54,869,1326,NULL,NULL,NULL,NULL,NULL
19,1980,1457,NULL,112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,0,1,253.7,55805,220,NULL,NULL,NULL,NULL,72.41,1131,1562,NULL,NULL,NULL,NULL,NULL
20,1980,1837,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,1,2,255.9,43763,171,NULL,NULL,NULL,NULL,72.36,890,1230,NULL,NULL,NULL,NULL,NULL
21,1980,1960,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1,1,1,246.6,47850,194,NULL,NULL,NULL,NULL,66.15,905,1368,NULL,NULL,NULL,NULL,NULL
22,1980,2133,NULL,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,2,1,0,266.1,47105,177,NULL,NULL,NULL,NULL,60.55,769,1270,NULL,NULL,NULL,NULL,NULL
23,1980,2195,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,2,0,261.5,52039,199,NULL,NULL,NULL,NULL,62.97,879,1396,NULL,NULL,NULL,NULL,NULL
24,1980,2268,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,0,0,269.1,46015,171,NULL,NULL,NULL,NULL,62.99,776,1232,NULL,NULL,NULL,NULL,NULL
25,1980,2321,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,0,2,271.5,43167,159,NULL,NULL,NULL,NULL,64.34,718,1116,NULL,NULL,NULL,NULL,NULL
