c_stat_id,player_id,tour,year,season,events,wins,seconds,thirds,top_10,top_25,cuts_made,earnings
1,45486,R,2022,2021-22,24,1,0,1,5,12,19,5076060
2,45486,R,2021,2020-21,27,0,3,0,5,13,26,3936912
3,45486,R,2020,2019-20,23,1,0,1,4,5,15,2914136
4,45486,R,2019,2018-19,28,0,0,0,4,6,21,1434519
5,45486,R,2018,2017-18,12,0,0,0,4,6,9,1209957
6,45486,R,2018,2017-18,1,0,0,0,0,0,0,1209957
7,45486,R,2017,2016-17,2,0,0,0,0,0,1,0
8,56320,R,2023,2022-23,1,0,0,0,0,0,0,0
9,56320,R,2022,2021-22,5,0,0,0,0,1,3,112131
10,56320,R,2021,2020-21,3,0,0,0,0,0,2,44299
11,56320,R,2020,2019-20,1,0,0,0,0,0,0,0
12,56320,R,2019,2018-19,1,0,0,0,0,0,1,0
13,29289,R,2023,2022-23,8,0,0,0,0,1,5,220138
14,29289,R,2022,2021-22,22,0,0,0,0,0,13,291033
15,29289,R,2021,2020-21,6,0,0,0,0,0,1,17941
16,29289,R,2020,2019-20,8,0,0,0,0,1,2,157008
17,29289,R,2018,2017-18,1,0,0,0,0,0,1,44516
18,29289,R,2017,2016-17,31,0,0,0,3,7,15,1080706
19,29289,R,2016,2015-16,28,0,0,0,1,5,16,661711
20,29289,R,2015,2014-15,21,0,0,1,1,4,13,711609
21,29289,R,2014,2013-14,27,1,0,0,3,6,20,2115234
22,29289,R,2013,2013,25,0,0,0,1,3,11,391763
23,29289,R,2012,2012,28,0,0,0,3,13,24,1629751
24,29289,R,2011,2011,6,0,0,0,0,0,5,119070
25,29289,R,2010,2010,5,0,0,0,0,0,2,81422
26,27349,R,2023,2022-23,7,0,0,0,1,1,5,488077
27,27349,R,2022,2021-22,22,0,1,0,3,7,15,1971531
28,27349,R,2021,2020-21,25,0,0,0,3,12,18,2085051
29,27349,R,2020,2019-20,17,0,0,1,4,8,13,1274003
30,27349,R,2019,2018-19,18,0,0,0,0,5,14,913446
31,27349,R,2018,2017-18,18,0,1,2,3,10,14,2699150
32,27349,R,2017,2016-17,11,0,0,0,3,4,9,649954
33,27349,R,2016,2015-16,4,0,0,0,0,0,3,50227
34,27349,R,2015,2014-15,2,0,0,0,0,0,1,48000
35,27349,R,2013,2013,5,0,0,0,0,2,2,184000
36,27349,R,2012,2012,4,0,0,0,1,1,3,139693
37,27349,R,2011,2011,4,0,0,0,0,0,3,64708
38,27349,R,2010,2010,3,0,0,0,0,0,2,92250
39,27349,R,2008,2008,1,0,0,0,0,1,1,75485
40,30163,R,2023,2022-23,10,0,0,0,0,2,3,226340
41,30163,R,2022,2021-22,27,0,0,0,1,2,12,613966
42,30163,R,2021,2020-21,29,0,1,0,3,7,15,1377085
43,30163,R,2020,2019-20,23,0,0,0,3,6,14,1175431
44,30163,R,2019,2018-19,1,0,0,0,0,0,1,14592
45,30163,R,2018,2017-18,1,0,0,0,0,0,1,14012
46,30163,R,2017,2016-17,5,0,1,0,1,2,4,498914
47,30163,R,2016,2015-16,21,0,0,0,0,1,15,290889
48,30163,R,2014,2013-14,1,0,0,0,0,0,0,0
49,30163,R,2013,2013,22,0,0,0,0,3,13,401958
50,51070,R,2023,2022-23,10,0,0,0,0,0,4,98243
51,51997,R,2023,2022-23,7,0,0,0,0,3,5,381494
52,51997,R,2022,2021-22,26,0,0,0,0,4,12,513881
53,51997,R,2020,2019-20,2,0,0,0,0,0,1,31159
54,51997,R,2018,2017-18,2,0,0,0,0,0,1,14850
55,36724,R,2023,2022-23,12,0,0,0,0,0,5,132490
56,36724,R,2018,2017-18,1,0,0,0,0,0,1,6480
57,24140,R,2023,2022-23,5,0,0,0,0,1,2,153865
58,24140,R,2022,2021-22,13,0,0,0,1,4,7,345547
59,24140,R,2021,2020-21,21,0,0,0,1,3,8,427268
60,24140,R,2020,2019-20,2,0,0,0,0,0,1,19204
61,24140,R,2019,2018-19,9,0,0,0,1,1,4,201352
62,24140,R,2018,2017-18,22,0,1,0,2,4,12,1104865
63,24140,R,2017,2016-17,25,0,1,0,5,8,19,1873856
64,24140,R,2016,2015-16,27,0,1,0,2,7,18,1702713
65,24140,R,2015,2014-15,26,0,1,0,3,8,18,1662300
66,24140,R,2014,2013-14,25,0,0,0,1,2,14,408793
67,24140,R,2013,2013,22,0,0,0,0,2,7,268614
68,24140,R,2012,2012,24,0,1,0,2,7,19,1160981
69,24140,R,2011,2011,24,1,0,0,1,6,13,1483948
70,24140,R,2010,2010,25,0,0,0,3,11,19,1859040
71,24140,R,2009,2009,23,1,1,1,9,14,18,4316493
72,24140,R,2008,2008,25,1,0,2,3,6,17,2089857
73,24140,R,2007,2007,28,0,0,0,5,14,21,1921226
74,24140,R,2006,2006,30,0,0,1,2,7,20,1411387
75,24140,R,2005,2005,29,1,1,0,4,9,24,2461482
76,52575,R,2023,2022-23,1,0,0,0,0,0,1,17550
77,20628,R,2021,2020-21,0,0,0,0,0,0,0,0
78,20628,R,2020,2019-20,0,0,0,0,0,0,0,0
79,20628,R,2019,2018-19,0,0,0,0,0,0,0,0
80,20628,R,2016,2015-16,0,0,0,0,0,0,0,0
81,20628,R,2013,2013,2,0,0,0,0,0,0,0
82,20628,R,2012,2012,2,0,0,0,0,0,0,0
83,20628,R,2009,2009,4,0,0,0,0,0,2,48017
84,20628,R,2008,2008,10,0,0,0,1,3,8,454881
85,20628,R,2007,2007,21,0,1,0,5,8,18,1797458
86,20628,R,2006,2006,23,1,0,0,4,13,20,2467772
87,20628,R,2005,2005,21,0,0,0,4,6,13,921796
88,20628,R,2004,2004,23,0,1,0,3,5,17,1355433
89,20628,R,2003,2003,25,0,0,0,2,4,15,619865
90,20628,R,2001,2001,1,0,0,0,0,0,0,0
91,20628,R,2000,2000,1,0,0,0,0,0,0,0
92,20628,R,1999,1999,1,0,0,0,0,0,0,0
93,21949,R,2014,2013-14,13,0,0,0,0,0,4,52035
94,21949,R,2013,2013,15,0,0,0,0,0,4,54173
95,21949,R,2012,2012,17,0,0,0,0,1,7,152376
96,21949,R,2011,2011,24,0,0,1,1,3,13,726866
97,21949,R,2010,2010,32,0,0,0,1,4,17,641797
98,21949,R,2009,2009,29,0,0,0,1,4,15,613700
99,21949,R,2008,2008,29,0,0,0,4,7,22,1035831
100,21949,R,2007,2007,31,1,0,0,2,7,19,1339153
101,21949,R,2006,2006,29,0,0,1,3,9,18,1073111
102,21949,R,2005,2005,30,0,2,0,5,10,21,1819547
103,21949,R,2004,2004,32,0,1,1,4,9,20,1443363
104,21949,R,2003,2003,1,0,0,0,0,0,0,0
105,21949,R,2002,2002,20,0,0,0,0,1,5,47696
106,21949,R,2001,2001,34,0,0,0,0,4,20,343189
107,21949,R,2000,2000,30,0,0,0,3,7,17,519740
108,21949,R,1999,1999,31,0,0,0,2,5,14,287346
109,21949,R,1998,1998,1,0,0,0,0,0,0,0
110,21949,R,1996,1996,1,0,0,0,0,0,0,0
111,22046,R,2023,2022-23,2,0,0,0,0,0,2,33270
112,22046,R,2022,2021-22,2,0,0,0,0,0,0,0
113,22046,R,2018,2017-18,18,0,0,0,0,1,4,93947
114,22046,R,2017,2016-17,25,0,0,0,1,6,15,867249
115,22046,R,2016,2015-16,22,0,0,0,1,3,9,397595
116,22046,R,2015,2014-15,15,0,0,0,1,3,10,653925
117,22046,R,2014,2013-14,26,1,1,0,2,4,16,1809632
