Course_ID,Course,City,State,Country
1,49er CC,Tucson,AZ,USA
2,Accordia Golf Narashino CC,Narashino,NULL,Japan
3,Almaden Country Club,San Jose,CA,USA
4,Angus Glen GC (North),Markham,NULL,Canada
5,Annandale GC,Madison,MS,USA
6,Arizona CC,Phoenix,AZ,USA
7,Arnold Palmer's Bay Hill Club & Lodge,Orlando,FL,USA
8,Aronimink GC,Newtown Square,PA,USA
9,Atlanta Athletic Club,Johns Creek,GA,USA
10,Atlanta CC,Atlanta,GA,USA
11,Atunyote Golf Club,Vernon,NY,USA
12,Augusta National Golf Club,Augusta,GA,USA
13,Austin Country Club,Austin,TX,USA
14,Bakersfield Country Club,Bakersfield,CA,USA
15,Baltimore CC,Baltmiore,NC,USA
16,Baltusrol GC,Springfield,NC,USA
17,Baton Rouge Country Club,Baton Rouge,LA,USA
18,Bayshore CC,Miami Beach,FL,USA
19,Beaconsfield GC,Montreal,NULL,Canada
20,Bear's Best,Las Vegas,NV,USA
21,Bellerive CC,St. Louis,MO,USA
22,Bermuda Dunes CC,Bermuda Dunes,CA,USA
23,Bethpage State Park (Black),Farmingdale,NY,USA
24,Beverly CC,Chicago,IL,USA
25,Big Spring CC,Louisville,KY,USA
26,Birmingham CC,Birmingham,MI,USA
27,Blue Hill CC,Boston,MA,USA
28,Blue Hills Country Club,Kansas City,MO,USA
29,Blue Mound CC,Milwaukee,WI,USA
30,Blyrhefield CC,Belmont,MI,USA
31,Board of Trade CC,Toronto,NULL,Canada
32,Brackenridge Park GC,San Antonio,TX,USA
33,Brae Burn CC,West Newton,MA,USA
34,Braemar GC,Edina,MN,USA
35,Brentwood CC,Brentwood,CA,USA
36,Broadmoor Golf Club,Seattle,WA,USA
37,Brook Hollow CC,Dallas,TX,USA
38,Brookfield CC,Buffalo,NY,USA
39,Brookside GC,Pasadena,CA,USA
40,Brown Deer Park GC,Milwaukee,WI,USA
41,Butler National GC,Oak Brook,IL,USA
42,Callaway Gardens Resort,Pine Mountain,GA,USA
43,Calumet CC,Homewood,IL,USA
44,Canterbury GC,Beachwood,OH,USA
45,Canyon Club,Palm Springs,CA,USA
46,Cape Fear Country Club,Wilmington,NC,USA
47,Capital City Club (Crabapple),Atlanta,GA,USA
48,Carnoustie GC,Carnoustie,NULL,Scotland
49,Castle Pines GC,Castle Rock,CO,USA
50,Caves Valley Golf Club,Owings Mills,MD,USA
51,CC at Mirasol (Sunset),Palm Beach Gardens,FL,USA
52,CC of Buffalo,Buffalo,NY,USA
53,CC of Peoria,Peoria,IL,USA
54,Cedar Crest CC,Dallas,TX,USA
55,Chambers Bay GC,University Place,NULL,USA
56,Champions GC,Houston,TX,USA
57,Cherokee Town,NULL,GA,USA
58,Cherry Hill GC,Ridgeway,NULL,Canada
59,Cherry Hills CC,Englewood,CO,USA
60,Chicago GC,Wheaton,IL,USA
61,Cincinnati GC,Cincinnati,OH,USA
62,City Park GC,New Orleans,LA,USA
63,Nine Bridges,Jeju Island,NULL,South Korea
64,Club de Golf Chapultepec,Mexico City,NULL,Mexico
65,Grand Reserve Golf Club,Canovanas,PR,USA
66,Cog Hill G&CC,Lemont,IL,USA
67,Colonial Country Club,Fort Worth,TX,USA
68,Colonial CC (South),Memphis,TN,USA
69,Columbia CC,Chevy Chase,MD,USA
70,Columbia Edgewater CC,Portland,OR,USA
71,Columbus CC,Columbus,OH,USA
72,Congaree Golf Club,Ridgland,SC,USA
73,Congressional CC (Blue),Bethesda,MD,USA
74,Conway Farms GC,Lake Forest,IL,USA
75,Coral Springs CC,Coral Springs,FL,USA
