id,year,season,rank,player_id,player_name,distance_after_tee_shot,total_distance_after_tee_shot,total_drives
1,2005,2005,1,23063,Scott Hend,155.1,4869599,872
2,2005,2005,2,23322,Brett Wetterich,157.5,5223335,921
3,2005,2005,3,8793,Tiger Woods,158.0,4340447,763
4,2005,2005,4,1249,John Daly,158.5,4337181,760
5,2005,2005,5,21209,Sergio Garcia,161.1,4232524,730
6,2005,2005,6,6567,Vijay Singh,161.5,7042486,1211
7,2005,2005,7,24980,Scott Gutschewski,162.6,5748742,982
8,2005,2005,8,1945,Kenny Perry,162.8,4875768,832
9,2005,2005,9,20663,Brenden Pappas,163.0,3867202,659
10,2005,2005,10,23552,Hank Kuehne,163.1,5859764,998
11,2005,2005,11,20378,Mathias Grönberg,163.6,4559320,774
12,2005,2005,12,20396,Lee Westwood,164.8,2723122,459
13,2005,2005,13,6599,John Elliott,164.9,4143897,698
14,2005,2005,14,23725,Brendan Jones,165.1,5895882,992
15,2005,2005,15,25900,Lucas Glover,165.8,6435418,1078
16,2005,2005,16,21805,Harrison Frazar,165.9,7640940,1279
17,2005,2005,17,1810,Phil Mickelson,166.0,4100720,686
18,2005,2005,18,20098,Stuart Appleby,166.1,5227139,874
19,2005,2005,18,20572,Rod Pampling,166.1,5739526,960
20,2005,2005,20,26679,Kevin Stadler,166.6,6727915,1122
21,2005,2005,21,2106,Chris Smith,166.7,6972861,1162
22,2005,2005,22,1706,Davis Love III,166.9,4650118,774
23,2005,2005,22,23497,Tag Ridings,166.9,6831297,1137
24,2005,2005,24,23349,Charles Warren,167.0,6660648,1108
25,2005,2005,26,24925,Jonathan Byrd,167.7,7719972,1279
26,2005,2005,27,24912,Will MacKenzie,167.9,5608211,928
27,2005,2005,28,22913,John Rollins,168.0,6869430,1136
28,2005,2005,28,23788,D.J. Trahan,168.0,5874206,971
29,2005,2005,30,23540,Jason Allred,168.5,5173913,853
30,2005,2005,31,24502,Adam Scott,168.6,4387923,723
31,2005,2005,32,23621,Rory Sabbatini,168.7,5011010,825
32,2005,2005,33,20433,Mark Hensby,168.8,4143399,682
33,2005,2005,34,20157,Retief Goosen,168.9,3617238,595
34,2005,2005,35,27095,Nick Watney,169.0,6621309,1088
35,2005,2005,36,24781,Hunter Mahan,169.2,7803113,1281
36,2005,2005,37,21633,Steve Allan,169.3,7333547,1203
37,2005,2005,38,26758,David Hearn,169.4,5146243,844
38,2005,2005,39,20850,Daniel Chopra,169.5,7749861,1270
39,2005,2005,39,6573,Brandt Jobe,169.5,6865102,1125
40,2005,2005,41,24140,Sean O'Hair,169.8,7194565,1177
41,2005,2005,42,1226,Fred Couples,169.9,3662979,599
42,2005,2005,43,20502,Michael Long,170.0,5367788,877
43,2005,2005,44,24024,Zach Johnson,170.3,7064501,1152
44,2005,2005,44,21959,Ted Purdy,170.3,8484634,1384
45,2005,2005,46,1553,John Huston,170.6,6683790,1088
46,2005,2005,47,6034,Marco Dawson,170.7,6611962,1076
47,2005,2005,47,1927,Dennis Paulson,170.7,4724790,769
48,2005,2005,49,20094,Jonathan Kaye,170.9,5500899,894
49,2005,2005,50,10885,Robert Allenby,171.2,6157625,999
50,2005,2005,51,24361,Pat Perez,171.5,6224114,1008
51,2005,2005,52,21407,Arjun Atwal,171.7,5199186,841
52,2005,2005,52,23353,J.J. Henry,171.7,7369029,1192
53,2005,2005,52,22046,Geoff Ogilvy,171.7,6335315,1025
54,2005,2005,52,26287,Roland Thatcher,171.7,5742558,929
55,2005,2005,56,23541,Ben Crane,171.9,5519634,892
56,2005,2005,56,1361,Dan Forsman,171.9,3936441,636
57,2005,2005,56,22405,Justin Rose,171.9,7507740,1213
58,2005,2005,59,6332,Neal Lancaster,172.1,7299648,1178
59,2005,2005,60,23623,Bo Van Pelt,172.2,7891661,1273
60,2005,2005,61,10117,Bob Heintz,172.5,5266799,848
61,2005,2005,61,20645,John Senden,172.5,7748211,1248
62,2005,2005,63,21961,Charles Howell III,172.7,6205045,998
63,2005,2005,64,7867,Woody Austin,172.8,7774240,1250
64,2005,2005,65,24507,Jason Bohn,172.9,6932648,1114
65,2005,2005,65,23409,James Driscoll,172.9,5323238,855
66,2005,2005,65,11032,Frank Lickliter II,172.9,7299651,1173
67,2005,2005,68,19824,Craig Barlow,173.1,5396276,866
68,2005,2005,69,21951,Joey Snyder III,173.2,7906080,1268
69,2005,2005,70,1161,Mark Calcavecchia,173.3,6550251,1050
70,2005,2005,70,1707,Steve Lowery,173.3,7373141,1182
71,2005,2005,72,12782,Tim Herron,173.5,6627005,1061
72,2005,2005,73,12823,Carlos Franco,173.6,5782499,925
73,2005,2005,73,1723,Andrew Magee,173.6,6005593,961
74,2005,2005,75,24227,Justin Bolli,173.7,5076840,812
75,2005,2005,75,23325,Vaughn Taylor,173.7,7727491,1236
76,2005,2005,77,25240,D.A. Points,173.8,7076195,1131
77,2005,2005,78,20691,Greg Owen,173.9,6098364,974
78,2005,2005,78,7749,Brett Quigley,173.9,7275315,1162
79,2005,2005,80,12510,Chad Campbell,174.0,6502636,1038
80,2005,2005,80,1797,Rocco Mediate,174.0,5620282,897
81,2005,2005,80,2206,David Toms,174.0,5493389,877
82,2005,2005,83,6197,Michael Allen,174.1,6625563,1057
83,2005,2005,83,7223,Brian Bateman,174.1,7314556,1167
84,2005,2005,83,12660,Jesper Parnevik,174.1,5772067,921
85,2005,2005,86,10962,Bradley Hughes,174.3,4249085,677
86,2005,2005,87,8931,Glen Day,174.4,6340756,1010
87,2005,2005,87,1685,J.L. Lewis,174.4,7026997,1119
88,2005,2005,89,20766,Padraig Harrington,174.5,3504401,558
89,2005,2005,90,20498,Briny Baird,174.6,7752009,1233
90,2005,2005,91,22548,Patrick Sheehan,174.8,8281097,1316
91,2005,2005,92,1724,Jeff Maggert,174.9,5195635,825
92,2005,2005,92,21949,Joe Ogilvie,174.9,6798337,1080
93,2005,2005,94,1142,Bart Bryant,175.1,6681787,1060
94,2005,2005,95,8123,Jeff Brehaut,175.3,5465600,866
95,2005,2005,95,25345,Carl Pettersson,175.3,7994860,1267
96,2005,2005,97,24290,D.J. Brigman,175.4,5330195,844
97,2005,2005,98,21350,Ryuji Imada,175.6,5792007,916
98,2005,2005,98,20634,Peter Lonard,175.6,5726416,906
99,2005,2005,98,21498,Hideto Tanihara,175.6,3881147,614
100,2005,2005,101,24357,K.J. Choi,175.8,4739059,749
101,2005,2005,101,1948,Tim Petrovic,175.8,6868201,1085
102,2005,2005,103,2101,Joey Sindelar,175.9,8600629,1358
103,2005,2005,103,12454,Mario Tiziani,175.9,5300051,837
104,2005,2005,105,12645,Brent Geiberger,176.1,4525490,714
105,2005,2005,105,10912,Craig Perks,176.1,4944660,780
106,2005,2005,107,24604,Hunter Haas,176.2,6338600,999
107,2005,2005,108,23135,Tim Clark,176.4,5634374,887
108,2005,2005,109,1941,Tom Pernice Jr.,176.5,7727775,1216
109,2005,2005,110,1473,Todd Hamilton,176.6,6592803,1037
110,2005,2005,111,21731,Freddie Jacobson,176.7,4859284,764
111,2005,2005,111,20628,Arron Oberholser,176.7,4492100,706
112,2005,2005,113,1766,Billy Mayfair,176.8,8965905,1409
113,2005,2005,114,23614,Rich Beem,176.9,4229752,664
114,2005,2005,114,8725,Tom Gillis,176.9,5998370,942
115,2005,2005,114,12680,Shigeki Maruyama,176.9,7463433,1172
116,2005,2005,114,20812,Tjaart van der Walt,176.9,4725266,742
117,2005,2005,118,22295,Darron Stiles,177.0,6093205,956
118,2005,2005,119,6004,Stephen Ames,177.2,5391060,845
119,2005,2005,119,28088,Matt Davidson,177.2,4402777,690
120,2005,2005,119,10860,Justin Leonard,177.2,4803108,753
