row_id,player_id,player_name,year,age_end_yr,events,distance_measured_avg,finish_top_10,finish_1st,percentile_rank,avg_score_stroke_differential,sg_putting_avg_m,sg_tee2green_avg_m,sg_total_avg_m,sg_off_tee_avg_m,sg_approach_avg_m,sg_around_green_avg_m,distance_all_avg,fairway_accuracy_percent,fairways_missed_other_percent,total_putting,distance_measured_total,distance_measured_num_drives,distance_all_rank_total,distance_all_total,distance_all_num_drives,fairways_hit,fairways_possible,finish_2nd,finish_3rd,avg_score_player,avg_score_field,app_attempts,app_total_distance,app_avg_proximity,percentile_rank_all
1,1001,Tommy Aaron,1980,43,NULL,245.3,0,0,0.046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55.21,NULL,NULL,33365,136,NULL,NULL,NULL,540,978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2,1001,Tommy Aaron,1981,44,NULL,246.3,0,0,0.024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59.25,NULL,NULL,33739,137,NULL,NULL,NULL,570,962,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
3,1006,John Adams,1980,26,NULL,264.7,1,0,0.822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54.53,NULL,NULL,31762,120,NULL,NULL,NULL,457,838,0,0,NULL,NULL,NULL,NULL,NULL,0
4,1006,John Adams,1981,27,NULL,263.1,1,0,0.663,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.22,NULL,NULL,34996,133,NULL,NULL,NULL,496,932,0,0,NULL,NULL,NULL,NULL,NULL,0
5,1006,John Adams,1982,28,NULL,264,2,0,0.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.73,NULL,NULL,39596,150,NULL,NULL,NULL,673,1056,1,0,NULL,NULL,NULL,NULL,NULL,0
6,1006,John Adams,1983,29,NULL,264,3,0,0.792,-0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59.97,NULL,NULL,54379,206,NULL,NULL,NULL,860,1434,0,1,72.7,72.54,NULL,NULL,NULL,0
7,1006,John Adams,1984,30,NULL,266,2,0,0.812,0.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.3,NULL,NULL,48407,182,NULL,NULL,NULL,767,1272,0,1,71.73,72.25,NULL,NULL,NULL,0
8,1006,John Adams,1985,31,NULL,262.7,0,0,0.652,-1.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.02,NULL,NULL,35200,134,NULL,NULL,NULL,563,938,NULL,NULL,73.21,72.1,NULL,NULL,NULL,0
9,1006,John Adams,1986,32,NULL,268.1,2,0,0.785,0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,45585,170,NULL,NULL,NULL,714,1190,0,0,72.15,72.31,NULL,NULL,NULL,0
10,1006,John Adams,1987,33,NULL,268.8,0,0,0.807,-0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59.2,NULL,NULL,52138,194,NULL,NULL,NULL,801,1353,NULL,NULL,71.88,71.76,NULL,NULL,NULL,0
11,1006,John Adams,1988,34,NULL,276.1,1,0,0.967,0.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.47,NULL,NULL,35065,127,NULL,NULL,NULL,537,888,0,0,70.52,71.11,NULL,NULL,NULL,0
12,1006,John Adams,1989,35,NULL,270.8,2,0,0.87,0.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59.9,NULL,NULL,46044,170,NULL,NULL,NULL,729,1217,0,0,71.38,71.59,NULL,NULL,NULL,0
13,1006,John Adams,1990,36,NULL,279.4,2,0,0.995,-0.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.23,NULL,NULL,48050,172,NULL,NULL,NULL,744,1215,0,0,72.26,71.77,NULL,NULL,NULL,0
14,1006,John Adams,1991,37,NULL,274.3,2,0,0.957,-0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.37,NULL,NULL,50476,184,NULL,NULL,NULL,746,1278,0,0,71.4,71.29,NULL,NULL,NULL,0
15,1006,John Adams,1992,38,NULL,275.8,1,0,0.989,0.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.48,NULL,NULL,51016,185,NULL,NULL,NULL,776,1283,0,1,71.09,71.47,NULL,NULL,NULL,0
