avg_id,YEAR,ADJ SCORING AVG,ACTUAL SCORING AVG,player_id_1st,PLAYER NAME 1ST,ROUNDS 1ST,AVG 1ST,TOTAL STROKES 1ST,TOTAL ROUNDS 1ST,player_id_2nd,PLAYER NAME 2ND,ROUNDS 2ND,AVG 2ND,TOTAL STROKES 2ND,TOTAL ROUNDS 2ND,Difference1st-2nd,player_id_adj_1st,PLAYER NAME ADJ 1ST,AVG ADJ 1ST,TOTAL STROKES ADJ 1ST,Total ADJ 1ST,TOTAL ROUNDS ADJ 1ST
1,1980,NULL,72.59,2213,Lee Trevino,82,69.73,5718,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1981,NULL,72.33,1633,Tom Kite,103,69.8,7189,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1982,NULL,72.32,1633,Tom Kite,99,70.21,6951,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1983,NULL,72.5,1355,Raymond Floyd,89,70.61,6284,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1984,NULL,72.59,1935,Calvin Peete,82,70.56,5786,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1985,NULL,72.32,1960,Don Pooley,97,70.36,6825,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1986,NULL,72.18,1527,Scott Hoch,86,70.08,6307,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1987,NULL,72.03,1378,David Frost,98,70.09,6869,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1988,71.415,71.82,1072,Chip Beck,93,69.83,6494,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1876,Greg Norman,69.382,3674,-66.139,52
10,1989,71.343,71.75,2146,Payne Stewart,85,70.28,5974,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2146,Payne Stewart,69.485,5974,-67.759,85
11,1990,71.375,72.02,1823,Larry Mize,87,70.2,6107,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1876,Greg Norman,69.099,4218,-72.078,60
12,1991,71.413,71.5,1928,Corey Pavin,99,69.82,6912,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1226,Fred Couples,69.594,5751,-44.256,82
13,1992,71.479,71.62,1226,Fred Couples,84,69.71,5856,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1226,Fred Couples,69.375,5856,-28.491,84
14,1993,71.418,71.85,1876,Greg Norman,54,69.48,3752,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1876,Greg Norman,68.896,3752,-31.594,54
