tourn_id,Tourn_Yr_ID,Tourn_Num,Year,Date,Tournament Name Iteration,Purse,Score,To Par,player_id,Winner Name Specific,Playoff,Prize,Course_ID,Course Name Specific,Par,Yardage
1,1,1,2023,2022-10-23,THE CJ CUP in South Carolina,10500000,267,-17,28237,Rory McIlroy,NULL,1890000,72,Congaree Golf Club,71,7655
2,2,1,2022,2021-10-17,THE CJ CUP @ SUMMIT,9750000,263,-25,28237,Rory McIlroy,NULL,1755000,395,The Summit Club,72,7431
3,3,1,2021,2020-10-18,THE CJ CUP @ SHADOW CREEK,9750000,268,-20,30944,Jason Kokrak,NULL,1755000,340,Shadow Creek Golf Course,72,7527
4,4,1,2020,2019-10-20,THE CJ CUP @ NINE BRIDGES,9750000,268,-20,33448,Justin Thomas,NULL,1755000,63,Nine Bridges,72,7241
5,5,1,2019,2018-10-21,THE CJ CUP @ NINE BRIDGES,9500000,267,-21,36689,Brooks Koepka,NULL,1710000,63,Nine Bridges,72,7196
6,6,1,2018,2017-10-22,THE CJ CUP @ NINE BRIDGES,9250000,279,-9,33448,Justin Thomas,p,1665000,63,Club at Nine Bridges,72,7184
7,7,2,2023,2022-10-30,Butterfield Bermuda Championship,6500000,265,-19,28252,Seamus Power,NULL,1170000,289,Port Royal Golf Course,71,6828
8,8,2,2022,2021-10-31,Butterfield Bermuda Championship,6500000,269,-15,39058,Lucas Herbert,NULL,1170000,289,Port Royal Golf Course,71,6828
9,9,2,2021,2020-11-01,Bermuda Championship,4000000,269,-15,19846,Brian Gay,p,720000,289,Port Royal Golf Course,71,6828
10,10,2,2020,2019-11-03,Bermuda Championship,3000000,260,-24,30927,Brendon Todd,NULL,540000,289,Port Royal Golf Club,71,6828
11,11,3,2023,2022-11-06,World Wide Technology Championship at Mayakoba,8200000,261,-23,34098,Russell Henley,NULL,1476000,101,El Camaleón Golf Course at Mayakoba,71,7034
12,12,3,2022,2021-11-07,World Wide Technology Championship at Mayakoba,7200000,261,-23,46717,Viktor Hovland,NULL,1296000,101,El Camaleón Golf Course at Mayakoba,71,7017
13,13,3,2021,2020-12-06,Mayakoba Golf Classic presented by UNIFIN,7200000,264,-20,46717,Viktor Hovland,NULL,1296000,101,El Camaleon Golf Club,71,7017
14,14,3,2020,2019-11-17,Mayakoba Golf Classic,7200000,264,-20,30927,Brendon Todd,NULL,1296000,101,El Camaleon Golf Club,71,7017
15,15,3,2019,2018-11-11,Mayakoba Golf Classic,7200000,262,-22,23108,Matt Kuchar,NULL,1296000,101,El Camaleon GC,71,6987
