win_id,cal_year,player_id,winner,wins,team_wins
1,1958,1910,Arnold Palmer,3,NULL
2,1958,2247,Art Wall,2,NULL
3,1958,1591,Bill Johnston,1,NULL
4,1958,1177,Billy Casper,3,NULL
5,1958,1763,Billy Maxwell,1,NULL
6,1958,1422,Bob Goalby,1,NULL
7,1958,1811,Cary Middlecoff,1,NULL
8,1958,1359,Doug Ford,1,NULL
9,1958,2042,Doug Sanders,1,NULL
10,1958,1345,Dow Finsterwald,2,NULL
11,1958,10,Dutch Harrison,1,NULL
12,1958,9,Ed Oliver,1,NULL
13,1958,5627,Ernie Vossler,1,NULL
14,1958,11,Frank Stranahan,1,NULL
15,1958,1955,Gary Player,1,NULL
16,1958,1067,George Bayer,2,NULL
17,1958,1588,Howie Johnson,1,NULL
18,1958,13668,Jack Burke Jr,1,NULL
19,1958,1504,Jay Hebert,1,NULL
20,1958,1337,Jim Ferree,1,NULL
21,1958,1,John McMullin,1,NULL
22,1958,1108,Julius Boros,2,NULL
23,1958,2236,Ken Venturi,4,NULL
24,1958,1505,Lionel Hebert,1,NULL
25,1958,2125,Mike Souchak,1,NULL
26,1958,2,Pete Cooper,1,NULL
27,1958,2199,Peter Thomson,1,NULL
28,1958,2119,Sam Snead,1,NULL
29,1958,1679,Stan Leonard,1,NULL
30,1958,1104,Tommy Bolt,2,NULL
31,1958,1570,Tommy Jacobs,1,NULL
32,1958,3,Wes Ellis,1,NULL
33,1959,1910,Arnold Palmer,3,NULL
34,1959,2247,Art Wall,4,NULL
35,1959,1528,Ben Hogan,1,NULL
36,1959,1209,Bill Collins,1,NULL
37,1959,1177,Billy Casper,4,NULL
38,1959,2022,Bob Rosburg,1,NULL
39,1959,1811,Cary Middlecoff,1,NULL
40,1959,1982,Dave Ragan,1,NULL
41,1959,5643,Don Whitt,2,NULL
42,1959,1359,Doug Ford,1,NULL
43,1959,2042,Doug Sanders,1,NULL
44,1959,1345,Dow Finsterwald,3,NULL
45,1959,5428,Eric Monti,1,NULL
46,1959,5627,Ernie Vossler,1,NULL
47,1959,1955,Gary Player,1,NULL
48,1959,1695,Gene Littler,5,NULL
49,1959,1588,Howie Johnson,1,NULL
50,1959,13668,Jack Burke Jr,1,NULL
51,1959,1504,Jay Hebert,1,NULL
52,1959,1108,Julius Boros,1,NULL
53,1959,2236,Ken Venturi,2,NULL
54,1959,1383,Marty Furgol,2,NULL
55,1959,2032,Mason Rudolph,1,NULL
56,1959,2125,Mike Souchak,3,NULL
57,1959,1483,Paul Harney,1,NULL
58,1959,1873,Tom Nieporte,1,NULL
59,1959,3,Wes Ellis,1,NULL
60,1960,1910,Arnold Palmer,8,NULL
61,1960,2247,Art Wall,1,NULL
62,1960,1209,Bill Collins,2,NULL
63,1960,1591,Bill Johnston,1,NULL
64,1960,1177,Billy Casper,3,NULL
65,1960,1422,Bob Goalby,1,NULL
66,1960,1325,Don Fairfield,1,NULL
67,1960,1576,Don January,1,NULL
68,1960,1359,Doug Ford,1,NULL
69,1960,1345,Dow Finsterwald,2,NULL
