winner_id,cal_year,player_id,winner,wins
1,1958,1910,Arnold Palmer,3
2,1958,2247,Art Wall,2
3,1958,1591,Bill Johnston,1
4,1958,1177,Billy Casper,3
5,1958,1763,Billy Maxwell,1
6,1958,1422,Bob Goalby,1
7,1958,1811,Cary Middlecoff,1
8,1958,1359,Doug Ford,1
9,1958,2042,Doug Sanders,1
10,1958,1345,Dow Finsterwald,2
11,1958,10,Dutch Harrison,1
12,1958,9,Ed Oliver,1
13,1958,5627,Ernie Vossler,1
14,1958,11,Frank Stranahan,1
15,1958,1955,Gary Player,1
16,1958,1067,George Bayer,2
17,1958,1588,Howie Johnson,1
18,1958,13668,Jack Burke Jr,1
19,1958,1504,Jay Hebert,1
20,1958,1337,Jim Ferree,1
21,1958,1,John McMullin,1
22,1958,1108,Julius Boros,2
23,1958,2236,Ken Venturi,4
24,1958,1505,Lionel Hebert,1
25,1958,2125,Mike Souchak,1
26,1958,2,Pete Cooper,1
27,1958,2199,Peter Thomson,1
28,1958,2119,Sam Snead,1
29,1958,1679,Stan Leonard,1
30,1958,1104,Tommy Bolt,2
31,1958,1570,Tommy Jacobs,1
32,1958,3,Wes Ellis,1
33,1959,1910,Arnold Palmer,3
34,1959,2247,Art Wall,4
35,1959,1528,Ben Hogan,1
36,1959,1209,Bill Collins,1
37,1959,1177,Billy Casper,4
38,1959,2022,Bob Rosburg,1
39,1959,1811,Cary Middlecoff,1
40,1959,1982,Dave Ragan,1
41,1959,5643,Don Whitt,2
42,1959,1359,Doug Ford,1
43,1959,2042,Doug Sanders,1
44,1959,1345,Dow Finsterwald,3
45,1959,5428,Eric Monti,1
46,1959,5627,Ernie Vossler,1
47,1959,1955,Gary Player,1
48,1959,1695,Gene Littler,5
49,1959,1588,Howie Johnson,1
50,1959,13668,Jack Burke Jr,1
51,1959,1504,Jay Hebert,1
52,1959,1108,Julius Boros,1
53,1959,2236,Ken Venturi,2
54,1959,1383,Marty Furgol,2
55,1959,2032,Mason Rudolph,1
56,1959,2125,Mike Souchak,3
57,1959,1483,Paul Harney,1
58,1959,1873,Tom Nieporte,1
59,1959,3,Wes Ellis,1
60,1960,1910,Arnold Palmer,8
61,1960,2247,Art Wall,1
62,1960,1209,Bill Collins,2
63,1960,1591,Bill Johnston,1
64,1960,1177,Billy Casper,3
65,1960,1422,Bob Goalby,1
66,1960,1325,Don Fairfield,1
67,1960,1576,Don January,1
68,1960,1359,Doug Ford,1
69,1960,1345,Dow Finsterwald,2
70,1960,5627,Ernie Vossler,1
71,1960,1695,Gene Littler,2
72,1960,1067,George Bayer,1
73,1960,1351,Jack Fleck,1
74,1960,1504,Jay Hebert,1
75,1960,1055,Jerry Barber,2
76,1960,1962,Johnny Pott,2
